GEO_ID,C27001F_001E,C27001F_001M,C27001F_002E,C27001F_002M,C27001F_003E,C27001F_003M,C27001F_004E,C27001F_004M,C27001F_005E,C27001F_005M,C27001F_006E,C27001F_006M,C27001F_007E,C27001F_007M,C27001F_008E,C27001F_008M,C27001F_009E,C27001F_009M,C27001F_010E,C27001F_010M,NAME,C27001F_001MA,C27001F_001EA,C27001F_002EA,C27001F_002MA,C27001F_003EA,C27001F_003MA,C27001F_004MA,C27001F_004EA,C27001F_005EA,C27001F_005MA,C27001F_006MA,C27001F_006EA,C27001F_007EA,C27001F_007MA,C27001F_008EA,C27001F_008MA,C27001F_009MA,C27001F_009EA,C27001F_010EA,C27001F_010MA,state
0400000US01,54061,6443,19037,2814,16274,2822,2763,1301,34273,4391,13397,2856,20876,3214,751,563,520,458,231,292,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8617,1961,2634,1254,2112,1138,522,447,5594,991,3503,866,2091,698,389,268,389,268,0,147,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,401829,18543,126215,8314,104102,7381,22113,3693,253406,12063,155284,8204,98122,8735,22208,2699,21384,2602,824,478,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66362,6097,25245,3143,22005,2918,3240,1330,39758,3807,19698,2523,20060,3564,1359,774,1253,752,106,199,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4908328,60120,1506116,22156,1340315,23000,165801,10349,3156164,43023,1874135,32836,1282029,29074,246048,8090,228584,8556,17464,2638,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,247232,13731,83277,6808,73034,7046,10243,2357,153255,8951,96474,6867,56781,5220,10700,1284,10638,1288,62,72,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,179208,11623,53098,5327,49625,5174,3473,1109,119093,7645,65622,5116,53471,6508,7017,1477,6107,1241,910,786,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22713,4112,6220,1752,5413,1710,807,584,16056,2975,10587,2042,5469,1716,437,282,437,282,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21506,4426,5413,1770,5413,1770,0,203,15190,2902,12221,2536,2969,1519,903,593,903,593,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,480485,23141,130226,10677,102088,9395,28138,4272,320694,15084,173557,10712,147137,11338,29565,3476,27477,3384,2088,1149,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
