B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,GEO_ID,B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005EA,B17010A_005MA,B17010A_006MA,B17010A_006EA,B17010A_007EA,B17010A_007MA,B17010A_008MA,B17010A_008EA,B17010A_009EA,B17010A_009MA,B17010A_010MA,B17010A_010EA,B17010A_011MA,B17010A_011EA,B17010A_012MA,B17010A_012EA,B17010A_013MA,B17010A_013EA,B17010A_014EA,B17010A_014MA,B17010A_015EA,B17010A_015MA,B17010A_016EA,B17010A_016MA,B17010A_017MA,B17010A_017EA,B17010A_018MA,B17010A_018EA,B17010A_019MA,B17010A_019EA,B17010A_020EA,B17010A_020MA,B17010A_021MA,B17010A_021EA,B17010A_022MA,B17010A_022EA,B17010A_023MA,B17010A_023EA,B17010A_024MA,B17010A_024EA,B17010A_025MA,B17010A_025EA,B17010A_026EA,B17010A_026MA,B17010A_027EA,B17010A_027MA,B17010A_028MA,B17010A_028EA,B17010A_029EA,B17010A_029MA,B17010A_030MA,B17010A_030EA,B17010A_031EA,B17010A_031MA,B17010A_032EA,B17010A_032MA,B17010A_033MA,B17010A_033EA,B17010A_034EA,B17010A_034MA,B17010A_035MA,B17010A_035EA,B17010A_036EA,B17010A_036MA,B17010A_037EA,B17010A_037MA,B17010A_038EA,B17010A_038MA,B17010A_039MA,B17010A_039EA,B17010A_040EA,B17010A_040MA,B17010A_041MA,B17010A_041EA,NAME,B17010A_001MA,B17010A_001EA,B17010A_002EA,B17010A_002MA,B17010A_003MA,B17010A_003EA,B17010A_004EA,B17010A_004MA,state
3636,1105,5311,1154,10829,1811,14404,1611,50881,4096,10305,1777,7283,1431,1573,568,1835,713,3875,1084,3022,885,40576,3553,34251,3198,5968,1238,8150,1677,20133,2494,6325,1199,797636,10179,663694,10242,242401,7041,46417,3551,41164,2899,154820,5972,421293,7315,133942,5977,43693,3428,21328,2576,3749,995,2384,747,15195,2438,22365,2638,90249,5016,45358,4100,7189,1727,6014,1538,32155,3429,44891,3156,0400000US01,882697,10472,85061,4580,34180,2896,19776,2372,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,01
159,151,384,225,470,282,539,299,2797,609,473,273,424,264,133,95,0,147,291,257,49,57,2324,590,2278,579,711,305,579,374,988,396,46,47,119347,2964,99038,3363,40550,2534,8393,1382,8227,1312,23930,1965,58488,2559,20309,2112,8121,1439,4595,1035,836,458,1097,581,2662,695,3526,1046,12188,1486,7258,1171,718,278,816,485,5724,1019,4930,917,0400000US02,123696,3052,4349,780,1552,464,1013,398,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,02
6435,1441,14906,2414,19355,2447,28180,2705,81043,4778,17829,2151,13102,2035,3585,1193,3811,928,5706,1301,4727,1046,63214,4128,54275,3839,8749,1510,16688,2419,28838,2752,8939,1648,1150752,12309,909999,10385,330666,6845,58401,3617,69462,3650,202803,5692,579333,8033,240753,8068,79674,5065,43276,4095,9063,1845,5830,1501,28383,3268,36398,3280,161079,6536,94966,4710,13327,1919,10449,1651,71190,4246,66113,3683,0400000US04,1300671,11967,149919,6207,68876,4688,40696,3834,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,04
3405,992,6254,1314,8570,1408,10580,1465,40618,3120,7871,1434,5387,1100,901,446,1697,727,2789,797,2484,930,32747,2538,27652,2420,5834,1241,6263,1324,15555,1858,5095,1088,544462,7654,449935,7649,169010,5162,28907,2641,31178,2383,108925,4592,280925,5929,94527,4057,30833,2578,15992,2195,3431,912,1889,864,10672,1767,14841,1689,63694,3645,32132,3020,5018,1062,2757,1014,24357,2828,31562,2580,0400000US05,613889,8601,69427,3803,28809,2513,18229,2210,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,05
22490,2490,65939,4063,99640,5324,84209,4757,336811,9089,73942,3943,56770,3823,11473,1901,15796,2382,29501,2747,17172,2014,262869,8105,218147,7727,34335,2989,63963,4445,119849,5906,44722,3238,4999809,25561,3903130,24404,1666233,17004,308214,8660,321762,8317,1036257,15332,2236897,17447,1096679,17017,368326,10839,181220,7616,35285,3211,26667,2968,119268,5890,187106,8102,728353,12540,377126,8945,52848,3574,50262,3792,274016,7514,351227,8286,0400000US06,5608898,25941,609089,11601,272278,8338,188069,6681,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,06
3135,906,9380,1656,9547,1630,13376,1811,46547,3453,8674,1491,5958,1275,1637,711,1497,669,2824,815,2716,998,37873,3315,33587,3234,5884,1455,7894,1647,19809,2609,4286,922,1029703,10014,838797,10469,349512,8047,71029,4180,62305,3341,216178,6747,489285,8282,190906,6926,64712,4743,37757,3629,6657,1252,4023,1214,27077,3168,26955,2565,126194,5519,76675,4945,11362,1569,8788,1603,56525,4491,49519,3347,0400000US08,1111688,9903,81985,4839,35438,3170,22062,2453,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,08
1032,628,1147,392,3816,1035,6699,1224,24581,2430,3395,976,2359,782,683,406,620,546,1056,465,1036,544,21186,2322,17209,1907,3019,872,4858,1315,9332,1725,3977,1182,681944,8960,553680,9121,217591,5954,40038,3055,33972,3069,143581,5480,336089,7494,128264,5453,38891,3149,17275,2291,2719,756,1552,619,13004,2060,21616,2473,89373,4578,49370,3902,5842,1311,4955,1276,38573,3275,40003,2901,0400000US09,719219,9126,37275,3077,12694,1789,5995,1312,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,09
634,399,905,560,723,346,1734,603,6547,1272,1143,500,694,418,149,160,224,224,321,258,449,300,5404,1146,4027,994,552,367,1319,471,2156,794,1377,553,153933,3732,124680,3807,41524,2623,7211,1269,7753,1197,26560,2231,83156,2997,29253,2233,8275,1216,4404,867,1105,493,1007,508,2292,683,3871,821,20978,2061,10709,1522,1844,666,771,357,8094,1477,10269,1574,0400000US10,164476,3411,10543,1405,3996,942,2262,749,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,10
129,214,71,125,211,189,638,546,667,660,0,203,0,203,0,203,0,203,0,203,0,203,667,660,667,660,0,203,0,203,667,660,0,203,42382,2358,36824,2032,14390,1421,6060,1004,1904,712,6426,998,22434,1600,5558,1315,2439,962,1302,641,400,304,172,171,730,559,1137,684,3119,823,2287,761,365,296,0,203,1922,636,832,421,0400000US11,44098,2459,1716,888,1049,605,411,314,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,11
10902,1748,27101,2924,50548,4062,89980,5252,192799,9625,38319,3567,27657,2820,5274,1422,7175,1650,15208,2181,10662,1913,154480,8635,124652,7999,20624,2396,29512,3281,74516,6358,29828,2699,3313919,25328,2649923,23511,852595,14911,152823,6828,140347,6519,559425,12300,1797328,18686,663996,13567,207714,8630,98314,5834,24795,3313,10432,2317,63087,5008,109400,6135,456282,10806,229053,8109,34366,3067,28403,3208,166284,6991,227229,8349,0400000US12,3685249,21922,371330,12482,178531,7566,88551,5546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,12
