GEO_ID,C15010A_001E,C15010A_001M,C15010A_002E,C15010A_002M,C15010A_003E,C15010A_003M,C15010A_004E,C15010A_004M,C15010A_005E,C15010A_005M,C15010A_006E,C15010A_006M,NAME,C15010A_001EA,C15010A_001MA,C15010A_002MA,C15010A_002EA,C15010A_003EA,C15010A_003MA,C15010A_004EA,C15010A_004MA,C15010A_005MA,C15010A_005EA,C15010A_006EA,C15010A_006MA,state
0400000US01,594586,11545,176988,6569,58983,3687,130177,5088,112806,4740,115632,5381,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,110182,4353,45641,3286,10273,1349,14035,1893,16298,1775,23935,2123,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1025207,14508,332563,9299,92802,4718,218481,6776,164459,5196,216902,7339,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,345596,9642,94104,4795,37043,2916,73015,4293,74719,4553,66715,4417,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5146101,28801,1999873,23347,357110,9298,906529,15446,408871,8855,1473718,19567,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1204406,11931,447079,8671,95524,4668,242996,6937,128649,4701,290158,8055,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,787203,12045,270553,6950,65451,4131,161053,6283,94472,3914,195674,5807,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,140899,4313,47256,2998,11382,1904,31059,2833,21866,2087,29336,2549,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,174292,2969,87296,4101,6268,1403,14248,1772,4735,894,61745,3465,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3116803,28764,952098,14615,283994,9937,763224,14795,477318,13786,640169,13938,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1272288,14599,379211,8894,108645,5815,312297,8920,198621,7792,273514,8071,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,113015,4363,43503,3113,10112,1735,19458,2239,11731,1622,28211,2571,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,256344,8083,82130,5301,26260,2273,44683,3233,47034,3896,56237,3895,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2186739,19741,658800,9712,193940,6536,497474,10534,318218,7848,518307,9867,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,912652,13081,246642,7617,112544,5196,184052,6004,174864,6243,194550,7689,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,508189,9606,145415,5692,48703,2398,105972,4514,100894,4547,107205,4702,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
