GEO_ID,C27014_001E,C27014_001M,C27014_002E,C27014_002M,C27014_003E,C27014_003M,C27014_004E,C27014_004M,C27014_005E,C27014_005M,C27014_006E,C27014_006M,C27014_007E,C27014_007M,C27014_008E,C27014_008M,C27014_009E,C27014_009M,C27014_010E,C27014_010M,C27014_011E,C27014_011M,C27014_012E,C27014_012M,C27014_013E,C27014_013M,C27014_014E,C27014_014M,C27014_015E,C27014_015M,C27014_016E,C27014_016M,C27014_017E,C27014_017M,C27014_018E,C27014_018M,C27014_019E,C27014_019M,C27014_020E,C27014_020M,C27014_021E,C27014_021M,C27014_022E,C27014_022M,NAME,C27014_001EA,C27014_001MA,C27014_002MA,C27014_002EA,C27014_003EA,C27014_003MA,C27014_004EA,C27014_004MA,C27014_005EA,C27014_005MA,C27014_006MA,C27014_006EA,C27014_007MA,C27014_007EA,C27014_008EA,C27014_008MA,C27014_009EA,C27014_009MA,C27014_010EA,C27014_010MA,C27014_011MA,C27014_011EA,C27014_012MA,C27014_012EA,C27014_013EA,C27014_013MA,C27014_014EA,C27014_014MA,C27014_015MA,C27014_015EA,C27014_016MA,C27014_016EA,C27014_017MA,C27014_017EA,C27014_018EA,C27014_018MA,C27014_019MA,C27014_019EA,C27014_020MA,C27014_020EA,C27014_021MA,C27014_021EA,C27014_022MA,C27014_022EA,state
0400000US01,3647537,3371,1443438,16734,1388370,16286,61207,4053,1327163,16029,55068,3990,46640,3581,8428,1503,789246,13587,720727,13363,80633,4929,640094,12717,68519,3816,66606,3582,1913,734,1414853,14414,836369,12437,335193,9682,501176,10180,578484,5776,571333,5524,7151,1690,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,524363,2065,231589,5912,221795,5643,14181,2032,207614,5237,9794,1504,7838,1249,1956,745,169253,4699,159082,4441,19141,1776,139941,4597,10171,1355,9424,1354,747,365,123521,4327,78899,3775,25983,2543,52916,3212,44622,1912,43501,1882,1121,534,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4907721,1948,1925101,17003,1861997,17578,123387,5922,1738610,17648,63104,3445,53614,3090,9490,1372,1148117,18548,1035052,17247,161047,6380,874005,16342,113065,5325,109267,5290,3798,973,1834503,15737,1003851,14461,372234,10358,631617,11506,830652,5989,811436,6770,19216,2321,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2197889,2534,895469,11142,859312,10480,38521,3096,820791,10474,36157,2791,30924,2754,5233,1327,466296,9974,418076,9281,48886,3141,369190,9284,48220,2957,47211,2885,1009,423,836124,12404,482512,10650,211331,7426,271181,8389,353612,4285,351548,4384,2064,541,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28673598,5547,11376821,48529,10964462,45798,573960,13464,10390502,46423,412359,9128,316598,7357,95761,5639,7455091,41595,6926859,41683,972029,17113,5954830,38157,528232,10583,490134,9783,38098,3150,9841686,37814,6085197,34981,2012937,26151,4072260,29152,3756489,13208,3633085,14159,123404,5680,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3934081,4210,1754226,15821,1698662,15084,81297,5570,1617365,15187,55564,2700,45404,2603,10160,1307,1107035,15790,1010330,14746,126518,6813,883812,11780,96705,3693,92608,3758,4097,968,1072820,12726,595948,11850,190091,7528,405857,10438,476872,4995,468339,4988,8533,1419,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2757250,1455,1184273,12438,1129153,12312,63431,5354,1065722,12644,55120,2514,43382,2277,11738,1524,749657,12600,675696,11822,114772,5744,560924,10339,73961,3178,70798,3152,3163,699,823320,9510,430846,8432,164640,8046,266206,7398,392474,3979,384755,4320,7719,1316,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,708163,1158,301052,6737,291313,6545,17965,2853,273348,6441,9739,1179,8225,1031,1514,462,177726,5674,157824,5236,36196,3474,121628,5262,19902,1621,19472,1649,430,367,229385,4788,116001,4532,53691,3642,62310,3912,113384,1957,111065,1927,2319,724,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,524546,632,249938,5705,240827,5542,20151,2380,220676,5882,9111,1212,6933,987,2178,606,127053,5515,117354,5346,29142,3134,88212,4850,9699,1296,9279,1251,420,222,147555,4721,94972,4623,52745,3692,42227,3133,52583,1506,49458,1682,3125,743,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15225292,4755,5888749,33035,5641211,31195,260797,10137,5380414,32306,247538,8880,203156,7810,44382,3888,3378977,31319,3005034,29436,359482,10965,2645552,28919,373943,10842,357353,10855,16590,2128,5957566,30547,3000650,30641,1011104,19100,1989546,26861,2956916,13534,2870753,14719,86163,5866,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7313808,5304,3122273,25795,3021850,26095,107612,5401,2914238,26649,100423,5001,82693,4599,17730,2084,1664196,24381,1539489,23937,136358,6628,1403131,22706,124707,4793,119644,4548,5063,1181,2527339,22326,1590551,21428,498425,12375,1092126,17727,936788,7673,915179,7644,21609,2832,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
