GEO_ID,C27001G_001E,C27001G_001M,C27001G_002E,C27001G_002M,C27001G_003E,C27001G_003M,C27001G_004E,C27001G_004M,C27001G_005E,C27001G_005M,C27001G_006E,C27001G_006M,C27001G_007E,C27001G_007M,C27001G_008E,C27001G_008M,C27001G_009E,C27001G_009M,C27001G_010E,C27001G_010M,NAME,C27001G_001MA,C27001G_001EA,C27001G_002MA,C27001G_002EA,C27001G_003EA,C27001G_003MA,C27001G_004EA,C27001G_004MA,C27001G_005MA,C27001G_005EA,C27001G_006EA,C27001G_006MA,C27001G_007MA,C27001G_007EA,C27001G_008MA,C27001G_008EA,C27001G_009EA,C27001G_009MA,C27001G_010EA,C27001G_010MA,state
0400000US01,80651,6609,40351,4634,39420,4703,931,576,35775,3169,29105,2813,6670,1575,4525,963,4525,963,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55557,4954,25955,3014,22179,3001,3776,1010,28215,2900,18910,2347,9305,1650,1387,557,1387,557,0,147,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,207794,11748,100582,7041,91172,6536,9410,1818,96351,6683,74342,5799,22009,2799,10861,1257,10668,1250,193,243,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64867,4863,31063,3831,29896,3819,1167,662,28456,2408,20108,2075,8348,1425,5348,1089,5348,1089,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1705785,28556,767121,16456,729169,15849,37952,4585,857359,18727,679020,16093,178339,9138,81305,4164,79925,4084,1380,571,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,185438,9872,83282,6041,78832,5969,4450,1401,95013,5799,75918,4759,19095,2795,7143,1354,6985,1340,158,216,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,102984,7921,50964,4196,49221,4123,1743,1041,47817,4643,41726,3978,6091,1706,4203,1014,4203,1014,0,201,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26344,4367,14808,2899,14714,2918,94,152,10300,2692,8540,2082,1760,1444,1236,525,1236,525,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20725,3323,6422,1581,5625,1283,797,1034,13255,2210,11857,1930,1398,845,1048,520,1048,520,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,454043,17495,197436,10318,178622,9486,18814,3110,229815,12005,160879,8454,68936,6616,26792,2611,25960,2548,832,663,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,206069,11561,109089,7507,97878,7065,11211,2280,90987,6797,65168,5492,25819,4148,5993,1644,5862,1634,131,212,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,323767,11686,127390,6615,123726,6164,3664,1473,175331,7635,158990,7301,16341,2409,21046,2049,20904,2050,142,120,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37641,4194,17699,2741,16289,2725,1410,761,18350,2841,12812,2220,5538,1366,1592,492,1479,486,113,169,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,285889,10783,139899,8366,135821,8239,4078,1141,134912,6159,109535,5609,25377,2709,11078,1549,11021,1549,57,96,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,140256,6256,77308,3991,73050,4025,4258,1111,56612,3857,42643,3497,13969,2239,6336,1395,6134,1342,202,292,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,52076,4613,29854,3322,28103,3212,1751,707,20249,1920,16409,1718,3840,1040,1973,670,1973,670,0,157,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,93266,5273,46592,3878,43776,3689,2816,1026,41973,3007,32921,2590,9052,1806,4701,978,4701,978,0,170,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,86096,6681,44046,5068,41378,4791,2668,1190,37433,2895,26851,2494,10582,2047,4617,968,4493,922,124,194,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,74978,6055,36716,3623,34236,3577,2480,1012,34164,3792,25439,3033,8725,1763,4098,1114,4098,1114,0,203,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,27332,2235,11979,1271,11395,1241,584,320,13374,1706,10619,1569,2755,839,1979,615,1979,615,0,165,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,166617,11167,82661,6016,79552,5858,3109,1225,75464,5990,64123,5856,11341,2014,8492,1745,7968,1670,524,459,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,196386,9322,85692,5871,84017,5917,1675,837,102677,5969,91506,5992,11171,2196,8017,1348,7957,1351,60,104,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,262385,10383,129365,7484,124765,7312,4600,1254,120586,4948,95862,4660,24724,2236,12434,1336,12408,1336,26,61,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,144509,7920,79132,5162,74501,5246,4631,1405,60816,3837,52521,3547,8295,1410,4561,871,4430,828,131,151,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,31167,4076,17305,3103,15677,2992,1628,1158,11401,2169,7922,1759,3479,1004,2461,894,2461,894,0,208,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
