GEO_ID,B25003G_001E,B25003G_001M,B25003G_002E,B25003G_002M,B25003G_003E,B25003G_003M,NAME,B25003G_001MA,B25003G_001EA,B25003G_002EA,B25003G_002MA,B25003G_003MA,B25003G_003EA,state
0400000US01,19336,2118,12473,1926,6863,1219,Alabama,null,null,null,null,null,null,01
0400000US02,12241,1915,5244,1032,6997,1619,Alaska,null,null,null,null,null,null,02
0400000US04,45794,3828,23912,2262,21882,2837,Arizona,null,null,null,null,null,null,04
0400000US05,16229,1655,9888,1422,6341,1205,Arkansas,null,null,null,null,null,null,05
0400000US06,378503,9584,162059,6672,216444,6351,California,null,null,null,null,null,null,06
0400000US08,49603,3260,23104,2051,26499,2501,Colorado,null,null,null,null,null,null,08
0400000US09,20117,1952,8605,1200,11512,2078,Connecticut,null,null,null,null,null,null,09
0400000US10,5496,1336,2406,760,3090,1052,Delaware,null,null,null,null,null,null,10
0400000US11,7451,1542,2453,811,4998,1131,District of Columbia,null,null,null,null,null,null,11
0400000US12,107543,5789,58269,3953,49274,3547,Florida,null,null,null,null,null,null,12
0400000US13,45963,3704,23820,2796,22143,2750,Georgia,null,null,null,null,null,null,13
0400000US15,68768,3702,36237,2781,32531,2584,Hawaii,null,null,null,null,null,null,15
0400000US16,9441,1709,4953,1028,4488,1219,Idaho,null,null,null,null,null,null,16
0400000US17,62424,3548,31032,2609,31392,2798,Illinois,null,null,null,null,null,null,17
0400000US18,30597,2655,16322,2070,14275,2015,Indiana,null,null,null,null,null,null,18
0400000US19,10270,1460,4824,983,5446,1060,Iowa,null,null,null,null,null,null,19
0400000US20,18483,1995,9781,1353,8702,1565,Kansas,null,null,null,null,null,null,20
0400000US21,19115,1985,10162,1505,8953,1391,Kentucky,null,null,null,null,null,null,21
0400000US22,19678,2065,9481,1308,10197,1620,Louisiana,null,null,null,null,null,null,22
0400000US23,6676,976,3888,866,2788,712,Maine,null,null,null,null,null,null,23
0400000US24,38197,3032,21882,2192,16315,2179,Maryland,null,null,null,null,null,null,24
0400000US25,46610,3350,15785,1759,30825,2792,Massachusetts,null,null,null,null,null,null,25
0400000US26,56356,3157,29472,2043,26884,2493,Michigan,null,null,null,null,null,null,26
0400000US27,28240,2016,12740,1437,15500,1710,Minnesota,null,null,null,null,null,null,27
0400000US28,7121,1308,4273,977,2848,841,Mississippi,null,null,null,null,null,null,28
0400000US29,33614,3011,15507,2140,18107,2225,Missouri,null,null,null,null,null,null,29
0400000US30,6537,1077,3585,795,2952,789,Montana,null,null,null,null,null,null,30
0400000US31,8890,1357,4251,1058,4639,1007,Nebraska,null,null,null,null,null,null,31
0400000US32,27161,2417,12215,1641,14946,1872,Nevada,null,null,null,null,null,null,32
0400000US33,5879,1137,2415,726,3464,830,New Hampshire,null,null,null,null,null,null,33
0400000US34,46029,3822,22519,2267,23510,2851,New Jersey,null,null,null,null,null,null,34
0400000US35,16311,1969,9820,1635,6491,1256,New Mexico,null,null,null,null,null,null,35
0400000US36,135581,6274,48297,3247,87284,4876,New York,null,null,null,null,null,null,36
0400000US37,50687,3459,25088,2205,25599,2753,North Carolina,null,null,null,null,null,null,37
0400000US38,3630,904,1640,748,1990,664,North Dakota,null,null,null,null,null,null,38
0400000US39,61929,4299,28123,2513,33806,3325,Ohio,null,null,null,null,null,null,39
0400000US40,76537,3053,42707,2352,33830,2492,Oklahoma,null,null,null,null,null,null,40
0400000US41,42053,3063,19311,1820,22742,2535,Oregon,null,null,null,null,null,null,41
0400000US42,57487,3809,26129,2865,31358,2821,Pennsylvania,null,null,null,null,null,null,42
0400000US44,5518,1228,2205,606,3313,1040,Rhode Island,null,null,null,null,null,null,44
0400000US45,19566,2459,10201,1501,9365,1816,South Carolina,null,null,null,null,null,null,45
0400000US46,5930,1233,2676,719,3254,1039,South Dakota,null,null,null,null,null,null,46
0400000US47,31092,2776,14620,1795,16472,2023,Tennessee,null,null,null,null,null,null,47
0400000US48,162771,7656,82810,5188,79961,5186,Texas,null,null,null,null,null,null,48
0400000US49,11229,1647,6324,1299,4905,1013,Utah,null,null,null,null,null,null,49
0400000US50,3415,693,2194,682,1221,451,Vermont,null,null,null,null,null,null,50
0400000US51,57385,4161,30998,2806,26387,3045,Virginia,null,null,null,null,null,null,51
0400000US53,81145,4267,35798,3116,45347,3403,Washington,null,null,null,null,null,null,53
0400000US54,8762,1546,4980,1163,3782,1035,West Virginia,null,null,null,null,null,null,54
0400000US55,25088,2436,10145,1505,14943,1873,Wisconsin,null,null,null,null,null,null,55
0400000US56,3448,1210,2106,928,1342,629,Wyoming,null,null,null,null,null,null,56
0400000US72,108153,4503,70484,3881,37669,3209,Puerto Rico,null,null,null,null,null,null,72
