GEO_ID,B22005A_001E,B22005A_001M,B22005A_002E,B22005A_002M,B22005A_003E,B22005A_003M,NAME,B22005A_001EA,B22005A_001MA,B22005A_002MA,B22005A_002EA,B22005A_003EA,B22005A_003MA,state
0400000US01,1292500,9446,131074,5151,1161426,9256,Alabama,null,null,null,null,null,null,01
0400000US02,183992,2701,10934,1458,173058,3366,Alaska,null,null,null,null,null,null,02
0400000US04,2007134,11179,232204,7267,1774930,11493,Arizona,null,null,null,null,null,null,04
0400000US05,907067,6482,111242,4918,795825,7356,Arkansas,null,null,null,null,null,null,05
0400000US06,8500341,20393,688076,13266,7812265,21357,California,null,null,null,null,null,null,06
0400000US08,1745390,8598,126473,5668,1618917,9553,Colorado,null,null,null,null,null,null,08
0400000US09,1088563,7503,100808,4248,987755,8446,Connecticut,null,null,null,null,null,null,09
0400000US10,246749,3058,24053,2709,222696,3693,Delaware,null,null,null,null,null,null,10
0400000US11,122616,3161,2982,890,119634,3068,District of Columbia,null,null,null,null,null,null,11
0400000US12,5807003,23278,731308,13131,5075695,24430,Florida,null,null,null,null,null,null,12
0400000US13,2249924,12824,241922,7424,2008002,14318,Georgia,null,null,null,null,null,null,13
0400000US15,152035,3024,13289,1781,138746,2925,Hawaii,null,null,null,null,null,null,15
0400000US16,549927,5365,66122,4553,483805,5733,Idaho,null,null,null,null,null,null,16
0400000US17,3673301,12359,329702,8569,3343599,13484,Illinois,null,null,null,null,null,null,17
0400000US18,2158026,9926,228064,7375,1929962,10705,Indiana,null,null,null,null,null,null,18
0400000US19,1159986,6871,127472,4892,1032514,8219,Iowa,null,null,null,null,null,null,19
0400000US20,983297,5728,84739,3505,898558,6313,Kansas,null,null,null,null,null,null,20
0400000US21,1523738,8797,244709,6138,1279029,10435,Kentucky,null,null,null,null,null,null,21
0400000US22,1140590,8618,113792,5853,1026798,9428,Louisiana,null,null,null,null,null,null,22
0400000US23,528650,5464,92681,4203,435969,5929,Maine,null,null,null,null,null,null,23
0400000US24,1327378,8664,88344,4119,1239034,9502,Maryland,null,null,null,null,null,null,24
0400000US25,2119170,10124,213061,7017,1906109,9560,Massachusetts,null,null,null,null,null,null,25
0400000US26,3132180,10083,410112,8502,2722068,12133,Michigan,null,null,null,null,null,null,26
0400000US27,1890613,6699,129174,5194,1761439,8242,Minnesota,null,null,null,null,null,null,27
0400000US28,680486,5877,73077,4374,607409,6296,Mississippi,null,null,null,null,null,null,28
0400000US29,2009505,9286,225134,8043,1784371,10524,Missouri,null,null,null,null,null,null,29
0400000US30,376248,3861,35551,2761,340697,3569,Montana,null,null,null,null,null,null,30
0400000US31,662838,4257,51331,3279,611507,5010,Nebraska,null,null,null,null,null,null,31
0400000US32,744741,6423,69843,3572,674898,6171,Nevada,null,null,null,null,null,null,32
0400000US33,493720,4342,40250,3046,453470,4665,New Hampshire,null,null,null,null,null,null,33
0400000US34,2285935,11106,148841,5126,2137094,10955,New Jersey,null,null,null,null,null,null,34
0400000US35,601789,6551,90764,4588,511025,7054,New Mexico,null,null,null,null,null,null,35
0400000US36,5043946,16363,530732,10368,4513214,18651,New York,null,null,null,null,null,null,36
0400000US37,2733759,13688,273456,8485,2460303,15328,North Carolina,null,null,null,null,null,null,37
0400000US38,274583,2850,16219,2105,258364,3346,North Dakota,null,null,null,null,null,null,38
0400000US39,3841759,12580,467211,9413,3374548,15298,Ohio,null,null,null,null,null,null,39
0400000US40,1124889,6580,131956,4510,992933,6543,Oklahoma,null,null,null,null,null,null,40
0400000US41,1359882,8319,254948,7039,1104934,8961,Oregon,null,null,null,null,null,null,41
0400000US42,4192523,13575,400844,10320,3791679,15003,Pennsylvania,null,null,null,null,null,null,42
0400000US44,344478,4050,44105,2995,300373,4324,Rhode Island,null,null,null,null,null,null,44
0400000US45,1258931,8517,129484,6145,1129447,9430,South Carolina,null,null,null,null,null,null,45
0400000US46,299148,3243,27985,2111,271163,3816,South Dakota,null,null,null,null,null,null,46
0400000US47,1997194,11879,279970,7848,1717224,13698,Tennessee,null,null,null,null,null,null,47
0400000US48,6984710,19174,846022,16884,6138688,24362,Texas,null,null,null,null,null,null,48
0400000US49,816829,5436,66822,3423,750007,6377,Utah,null,null,null,null,null,null,49
0400000US50,245181,2562,35994,2207,209187,3035,Vermont,null,null,null,null,null,null,50
0400000US51,2237070,10627,153399,5472,2083671,11483,Virginia,null,null,null,null,null,null,51
0400000US53,2190021,11612,287034,8388,1902987,12523,Washington,null,null,null,null,null,null,53
0400000US54,703521,5286,110221,4904,593300,6148,West Virginia,null,null,null,null,null,null,54
0400000US55,2058633,7437,218637,5833,1839996,8604,Wisconsin,null,null,null,null,null,null,55
0400000US56,209105,3564,11063,1482,198042,3935,Wyoming,null,null,null,null,null,null,56
0400000US72,896346,9563,326761,8422,569585,9350,Puerto Rico,null,null,null,null,null,null,72
