GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001EA,B12001_001MA,B12001_002MA,B12001_002EA,B12001_003EA,B12001_003MA,B12001_004MA,B12001_004EA,B12001_005MA,B12001_005EA,B12001_006EA,B12001_006MA,B12001_007EA,B12001_007MA,B12001_008MA,B12001_008EA,B12001_009MA,B12001_009EA,B12001_010EA,B12001_010MA,B12001_011MA,B12001_011EA,B12001_012EA,B12001_012MA,B12001_013EA,B12001_013MA,B12001_014EA,B12001_014MA,B12001_015MA,B12001_015EA,B12001_016MA,B12001_016EA,B12001_017EA,B12001_017MA,B12001_018EA,B12001_018MA,B12001_019EA,B12001_019MA,state
0400000US33,1103721,1201,541785,1783,172825,4810,297859,5927,282088,6071,15771,2297,6665,1475,9106,1658,12482,1343,58619,3530,561936,1716,149781,4948,290080,6676,271895,6560,18185,2491,8833,1822,9352,1657,47446,2942,74629,4662,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,7232903,1008,3492050,1876,1304207,12351,1854425,14563,1687019,15357,167406,6312,58475,3718,108931,5727,91309,4811,242109,8135,3740853,1535,1170129,10869,1826908,15927,1645573,16607,181335,6365,85654,4199,95681,5560,359753,6545,384063,10014,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1660531,2438,816904,2075,313146,6112,391821,7683,355500,8271,36321,3166,12747,1916,23574,3005,24998,2881,86939,4925,843627,2006,266305,6201,382265,7925,339192,8978,43073,3780,20822,2620,22251,2671,75593,3330,119464,5615,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,16147773,2664,7743068,3777,3198632,19874,3774676,24824,3307921,24260,466755,11853,162266,6805,304489,9731,202224,5792,567536,11403,8404705,3320,2981083,19027,3795942,26494,3250489,24887,545453,12912,265507,8922,279946,9215,784608,11493,843072,12440,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,7938624,4795,3823442,5160,1326796,13435,2036604,15058,1833157,17156,203447,7657,99792,4838,103655,5857,96901,4322,363141,10968,4115182,4444,1185472,12880,2039440,18312,1803815,18395,235625,7931,140998,5920,94627,5412,391056,8571,499214,11043,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,587479,1396,299510,1908,109938,3424,156163,4152,146632,4293,9531,1501,2805,865,6726,1221,6482,966,26927,2481,287969,1484,79293,2890,153322,3583,145106,4011,8216,1565,2828,974,5388,1184,27011,1319,28343,2401,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9386353,3494,4540388,4518,1580390,12763,2328662,17595,2154436,19185,174226,7986,77091,5654,97135,5473,134711,4923,496625,10857,4845965,3750,1407273,13246,2333336,19396,2149825,19295,183511,7264,95881,5757,87630,4548,469392,7072,635964,12267,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3053500,1978,1497900,2484,470332,6443,795922,8480,721754,8651,74168,3466,25912,2169,48256,2856,45082,2353,186564,5526,1555600,2099,381976,6585,797614,7072,717945,7466,79669,3805,39282,3219,40387,2979,154234,4425,221776,5532,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3219159,2530,1581553,3138,535034,8367,822502,9475,754668,10195,67834,4888,24239,3023,43595,3716,41246,3152,182771,6730,1637606,2638,438915,8079,822963,11188,744136,11169,78827,5566,37431,3611,41396,4071,136931,4365,238797,7457,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10539705,2653,5101281,3423,1865351,12406,2636925,15802,2417978,15969,218947,7462,99502,5180,119445,6183,155845,5232,443160,11143,5438424,2901,1674861,11695,2609441,16432,2377362,17817,232079,7203,131754,5404,100325,5731,574630,8896,579492,10972,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
