GEO_ID,C17001F_001E,C17001F_001M,C17001F_002E,C17001F_002M,C17001F_003E,C17001F_003M,C17001F_004E,C17001F_004M,C17001F_005E,C17001F_005M,C17001F_006E,C17001F_006M,C17001F_007E,C17001F_007M,C17001F_008E,C17001F_008M,C17001F_009E,C17001F_009M,C17001F_010E,C17001F_010M,C17001F_011E,C17001F_011M,C17001F_012E,C17001F_012M,C17001F_013E,C17001F_013M,C17001F_014E,C17001F_014M,C17001F_015E,C17001F_015M,C17001F_016E,C17001F_016M,C17001F_017E,C17001F_017M,C17001F_018E,C17001F_018M,C17001F_019E,C17001F_019M,NAME,C17001F_001EA,C17001F_001MA,C17001F_002MA,C17001F_002EA,C17001F_003MA,C17001F_003EA,C17001F_004MA,C17001F_004EA,C17001F_005MA,C17001F_005EA,C17001F_006EA,C17001F_006MA,C17001F_007EA,C17001F_007MA,C17001F_008MA,C17001F_008EA,C17001F_009MA,C17001F_009EA,C17001F_010EA,C17001F_010MA,C17001F_011MA,C17001F_011EA,C17001F_012MA,C17001F_012EA,C17001F_013EA,C17001F_013MA,C17001F_014MA,C17001F_014EA,C17001F_015EA,C17001F_015MA,C17001F_016EA,C17001F_016MA,C17001F_017MA,C17001F_017EA,C17001F_018EA,C17001F_018MA,C17001F_019MA,C17001F_019EA,state
0400000US01,53340,6507,15294,4428,7877,2371,4200,1552,3677,1322,0,192,7417,2628,3230,1377,4187,1511,0,192,38046,6108,20947,3729,6323,1937,14530,2416,94,122,17099,3329,4870,1498,11572,2101,657,575,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8918,2079,1956,1293,1001,583,541,470,443,323,17,29,955,826,550,616,384,290,21,37,6962,1613,4261,1056,909,461,3243,835,109,134,2701,916,498,337,1961,595,242,225,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,398882,18549,126662,13128,57215,6424,26479,3980,28921,3209,1815,747,69447,8107,27860,4547,38496,4495,3091,970,272220,15643,139494,9274,34654,3394,96501,6885,8339,1342,132726,8241,35243,3966,88520,5795,8963,1462,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,65322,6190,24298,5698,11733,3196,6552,2128,5071,1411,110,134,12565,2996,5265,1752,6964,1617,336,406,41024,5599,24095,3308,6786,1516,16860,2598,449,450,16929,2981,5696,1680,10769,1769,464,453,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4872643,60013,1233334,32470,570760,18567,268149,10901,286114,11073,16497,2104,662574,17933,257739,10945,377288,10071,27547,2795,3639309,60084,1896457,35975,482441,14054,1326318,25770,87698,4460,1742852,29156,472728,12691,1155818,20157,114306,5442,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,247056,13848,67990,8302,31842,4628,17110,3096,14274,2481,458,291,36148,4205,14295,2284,20340,2531,1513,560,179066,11935,93344,6501,26344,3055,63398,4735,3602,806,85722,6951,24860,3561,55735,4438,5127,997,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,176159,11444,48481,6174,19149,3045,7073,1733,10960,1991,1116,732,29332,4350,12014,2571,15781,2359,1537,692,127678,9940,69068,6164,15602,2683,51436,4546,2030,750,58610,5780,16041,2671,40235,4025,2334,814,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22849,4146,8891,3544,4089,1684,1385,861,2704,1135,0,189,4802,2151,1586,942,3135,1489,81,139,13958,3042,8761,2043,2061,854,6447,1629,253,207,5197,1431,1188,565,3906,1130,103,99,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21401,4418,2835,1351,1085,794,155,250,830,693,100,161,1750,873,341,351,1282,792,127,162,18566,4135,9554,2393,1902,897,7208,1796,444,426,9012,2308,2965,1147,5815,1449,232,250,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,477761,22995,121729,12425,55756,6881,22434,4320,30362,4203,2960,1042,65973,7499,22553,3687,39091,4784,4329,1210,356032,18818,186223,11697,46040,6079,130503,8401,9680,1871,169809,10694,37364,3867,119849,8388,12596,2137,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
