GEO_ID,B25027_001E,B25027_001M,B25027_002E,B25027_002M,B25027_003E,B25027_003M,B25027_004E,B25027_004M,B25027_005E,B25027_005M,B25027_006E,B25027_006M,B25027_007E,B25027_007M,B25027_008E,B25027_008M,B25027_009E,B25027_009M,B25027_010E,B25027_010M,B25027_011E,B25027_011M,B25027_012E,B25027_012M,B25027_013E,B25027_013M,B25027_014E,B25027_014M,B25027_015E,B25027_015M,B25027_016E,B25027_016M,B25027_017E,B25027_017M,NAME,B25027_001EA,B25027_001MA,B25027_002EA,B25027_002MA,B25027_003EA,B25027_003MA,B25027_004EA,B25027_004MA,B25027_005EA,B25027_005MA,B25027_006EA,B25027_006MA,B25027_007EA,B25027_007MA,B25027_008EA,B25027_008MA,B25027_009EA,B25027_009MA,B25027_010EA,B25027_010MA,B25027_011MA,B25027_011EA,B25027_012EA,B25027_012MA,B25027_013MA,B25027_013EA,B25027_014MA,B25027_014EA,B25027_015EA,B25027_015MA,B25027_016MA,B25027_016EA,B25027_017EA,B25027_017MA,state
0400000US37,2414717,16856,1575578,16515,189579,7088,354897,7443,406737,7311,192208,5919,159400,4927,198968,5345,73789,3239,839139,12253,39510,3340,60362,3922,117997,5454,83956,4429,102503,4844,212767,5596,222044,4252,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,193389,3714,102470,3776,25442,1961,25629,1684,24816,1753,11998,1286,6318,1122,6180,998,2087,593,90919,3129,6183,1208,6634,964,13572,1331,12284,1276,12283,1181,19756,1132,20207,1245,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3015795,17826,1950671,14156,260413,8737,407046,8337,511583,7815,249580,5439,203660,5657,225503,4758,92886,3177,1065124,12451,45104,2782,62484,3892,145250,5736,116043,3488,135211,3986,258325,5795,302707,5565,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,948540,8048,545484,7811,97935,4372,116210,3663,129157,3869,70229,2844,49393,2514,60156,2227,22404,2050,403056,6390,21735,2076,31471,2018,58374,2613,43819,2393,50001,2467,99667,2877,97989,2681,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,926930,9344,625278,9910,63686,4433,132841,5035,150237,4431,82834,4439,77525,3873,87677,3257,30478,2540,301652,7203,8348,1323,16900,2091,33257,2493,26306,2254,46028,3054,85217,3593,85596,3195,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3405170,15735,2078019,14241,264986,5705,454984,7461,579980,8491,272401,6403,208217,5558,219356,4485,78095,3425,1327151,12133,42664,2698,77517,4105,176527,5072,149984,5105,177324,5627,332989,5271,370146,6483,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,245409,4846,169107,5026,17178,1877,33610,2345,50996,2720,23916,2117,18082,1833,18654,1417,6671,988,76302,3770,1893,668,3997,1155,8653,1410,7316,1058,10998,1499,18700,1494,24745,1636,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1223614,11969,732079,10997,94622,4554,151018,4949,175726,5793,91571,4138,84099,3854,100808,4152,34235,2528,491535,9281,24116,2503,39208,2960,71375,4613,49087,2743,62743,2998,126711,4295,118295,3680,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,222809,3636,126067,3111,25620,1629,29292,1702,30160,1699,14196,1771,12216,1269,11019,1102,3564,750,96742,2643,5962,1095,7052,1074,16412,1283,10555,1123,12885,1411,21952,1237,21924,1247,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1652976,14369,1003052,13349,140873,5247,225405,5847,261767,6212,118664,4380,102902,4715,115213,4644,38228,2368,649924,10111,24029,2394,45996,2883,94920,4518,67207,3345,83902,3361,172104,4825,161766,3648,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,5634317,28687,3334646,25522,511396,11268,845870,12200,905033,12053,388008,9200,283604,7840,301559,7641,99176,4557,2299671,22085,122489,6079,220354,7520,388700,8932,268513,6960,283945,7548,536941,8798,478729,6719,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,622572,6557,442912,6509,91683,3625,113542,3482,101348,3450,45244,2292,34322,2762,40941,2010,15832,1619,179660,4493,10070,1477,14189,1680,23939,2074,20119,1660,22412,1924,41986,2384,46945,1943,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,179791,3471,112832,2870,11940,1252,23006,1320,31756,1514,16158,1328,13352,1138,13065,1106,3555,585,66959,2568,2312,622,3644,918,9384,998,7591,911,10320,1150,17184,958,16524,1252,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2005192,18287,1413887,17897,172614,5886,298903,7041,388832,7282,180468,5300,146224,4736,171532,4363,55314,3134,591305,9078,20218,2438,37591,2894,76347,3932,62901,3505,70474,3416,155522,4326,168252,4123,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1638028,14592,1136878,13225,139737,5489,242137,5859,306416,6350,143726,4192,122585,4990,137634,4660,44643,2717,501150,10573,18606,2395,31492,2933,60919,4011,54112,3092,66919,3892,133920,4040,135182,4243,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,534266,6150,257534,5965,36232,2793,56801,3341,63428,2814,30540,2184,28348,2110,30757,2053,11428,1340,276732,6429,15521,1913,19154,2101,41027,3003,33203,2046,37073,2607,66152,2801,64602,2664,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1537926,9764,1000484,8902,150198,4160,222671,4623,278299,4469,124466,3560,96437,3213,96303,3362,32110,1981,537442,6519,16545,1416,25817,2229,73303,2630,63674,2541,76546,3073,131717,3149,149840,3485,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,154699,3888,91945,3556,16006,1569,20980,1734,21956,2112,11276,1523,10225,1355,9270,1403,2232,634,62754,2858,3764,939,4402,1170,8896,1014,7573,1101,8534,1007,15742,1216,13843,1066,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,865343,7669,349616,6939,37896,3244,97062,4260,88432,3687,33826,2756,32090,2472,42467,2360,17843,2110,515727,6139,19544,2114,45041,2819,82440,4939,57834,4013,65940,3579,132377,3787,112551,3728,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
