GEO_ID,B13002H_001E,B13002H_001M,B13002H_002E,B13002H_002M,B13002H_003E,B13002H_003M,B13002H_004E,B13002H_004M,B13002H_005E,B13002H_005M,B13002H_006E,B13002H_006M,B13002H_007E,B13002H_007M,NAME,B13002H_001EA,B13002H_001MA,B13002H_002EA,B13002H_002MA,B13002H_003MA,B13002H_003EA,B13002H_004MA,B13002H_004EA,B13002H_005MA,B13002H_005EA,B13002H_006EA,B13002H_006MA,B13002H_007MA,B13002H_007EA,state
0400000US01,726348,3156,36159,3476,27056,2850,9103,1687,690189,4510,356663,6409,333526,6140,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,105114,982,5619,1310,3917,1055,1702,637,99495,1733,50990,2312,48505,2173,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,778348,2667,35452,3041,25705,2350,9747,1769,742896,4363,326046,6208,416850,6815,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,485206,1904,26974,2780,18453,2240,8521,1519,458232,3633,231525,6304,226707,5691,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3241223,6270,136858,5646,106788,4916,30070,2956,3104365,7572,1354203,13188,1750162,13435,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,851854,2775,39921,2889,31054,2414,8867,1563,811933,4211,392758,7451,419175,7198,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,546678,1894,21497,2025,16898,1641,4599,1204,525181,2557,233294,5056,291887,5145,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,129744,950,6903,1234,4590,921,2313,668,122841,1580,52098,2406,70743,2694,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,79262,406,3071,840,2703,820,368,367,76191,939,17917,1691,58274,1915,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2184008,5877,92521,5690,61527,5140,30994,3351,2091487,7448,913974,12542,1177513,12906,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1270438,3709,59262,4819,44554,4197,14708,2328,1211176,5643,600313,8083,610863,8798,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,65538,691,3877,989,3395,985,482,356,61661,1309,30341,2108,31320,2069,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,299808,1568,17754,2329,13729,1789,4025,1309,282054,2488,139803,4896,142251,4676,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1852677,3441,86043,4066,63600,3585,22443,2520,1766634,5275,823904,9092,942730,9597,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1228144,3109,59995,4051,38556,3204,21439,2503,1168149,4714,545593,8738,622556,9008,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,604137,2168,31643,2789,22490,2093,9153,1648,572494,3554,277028,5708,295466,5274,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,499703,1483,29794,2253,21292,2015,8502,1575,469909,2765,234443,4895,235466,4723,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,877841,3043,42802,3334,29556,2886,13246,1754,835039,4716,413902,6717,421137,7564,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,636323,2320,36242,3164,23933,2613,12309,1685,600081,4082,290764,7994,309317,8108,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,273893,1471,12335,1647,7661,1373,4674,1031,261558,2307,110420,3578,151138,4023,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,716622,2311,34843,2877,26746,2425,8097,1628,681779,3577,323949,6251,357830,6134,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1171079,3085,47529,3448,36417,3116,11112,1938,1123550,4324,462334,7416,661216,7851,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1684776,3200,84072,4428,55215,3404,28857,3173,1600704,5599,734048,7899,866656,9178,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1007922,2410,50831,3541,38202,2891,12629,1877,957091,4090,456589,6541,500502,7406,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,383879,2410,20545,2436,14619,2086,5926,1275,363334,3432,188362,4679,174972,4817,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1104909,3151,60143,3809,41418,3188,18725,2334,1044766,4685,506395,7284,538371,7532,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,190019,1313,10210,1528,6995,1219,3215,903,179809,2137,84520,3376,95289,3787,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,341202,1536,20147,2068,15425,1803,4722,1002,321055,2293,155888,3639,165167,3453,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,310154,1809,14574,1926,10496,1621,4078,1113,295580,2826,133149,4356,162431,4581,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,277202,1598,14231,2086,9493,1559,4738,1437,262971,2537,115569,4675,147402,4999,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1102596,3135,42160,3149,34837,2811,7323,1362,1060436,4084,498470,7481,561966,7274,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
