GEO_ID,B25003F_001E,B25003F_001M,B25003F_002E,B25003F_002M,B25003F_003E,B25003F_003M,NAME,B25003F_001EA,B25003F_001MA,B25003F_002MA,B25003F_002EA,B25003F_003EA,B25003F_003MA,state
0400000US01,13630,1907,5837,1473,7793,1662,Alabama,null,null,null,null,null,null,01
0400000US02,2371,666,1144,383,1227,565,Alaska,null,null,null,null,null,null,02
0400000US04,109012,4723,49447,3418,59565,3896,Arizona,null,null,null,null,null,null,04
0400000US05,14842,1767,6382,1238,8460,1545,Arkansas,null,null,null,null,null,null,05
0400000US06,1200187,14851,449338,9162,750849,13354,California,null,null,null,null,null,null,06
0400000US08,71142,4005,29196,2538,41946,3654,Colorado,null,null,null,null,null,null,08
0400000US09,54924,4168,13465,2030,41459,3344,Connecticut,null,null,null,null,null,null,09
0400000US10,7214,1412,2611,734,4603,1188,Delaware,null,null,null,null,null,null,10
0400000US11,7461,1643,1823,744,5638,1542,District of Columbia,null,null,null,null,null,null,11
0400000US12,133065,7540,58473,4067,74592,6678,Florida,null,null,null,null,null,null,12
0400000US13,66822,4669,24904,2821,41918,4201,Georgia,null,null,null,null,null,null,13
0400000US15,4405,1012,871,366,3534,957,Hawaii,null,null,null,null,null,null,15
0400000US16,11310,1594,5918,1313,5392,1291,Idaho,null,null,null,null,null,null,16
0400000US17,180443,6336,87066,4739,93377,4945,Illinois,null,null,null,null,null,null,17
0400000US18,42319,2533,19960,1882,22359,2303,Indiana,null,null,null,null,null,null,18
0400000US19,10082,1810,4159,1024,5923,1450,Iowa,null,null,null,null,null,null,19
0400000US20,15874,1751,8367,1364,7507,1165,Kansas,null,null,null,null,null,null,20
0400000US21,9162,1424,2021,565,7141,1239,Kentucky,null,null,null,null,null,null,21
0400000US22,12492,1938,3583,918,8909,1841,Louisiana,null,null,null,null,null,null,22
0400000US23,780,423,479,362,301,213,Maine,null,null,null,null,null,null,23
0400000US24,49084,3502,19385,2379,29699,2882,Maryland,null,null,null,null,null,null,24
0400000US25,87218,4566,18298,2491,68920,4473,Massachusetts,null,null,null,null,null,null,25
0400000US26,28159,2325,15156,1798,13003,1874,Michigan,null,null,null,null,null,null,26
0400000US27,20976,2165,6926,1110,14050,1942,Minnesota,null,null,null,null,null,null,27
0400000US28,5830,1174,2303,784,3527,940,Mississippi,null,null,null,null,null,null,28
0400000US29,17652,1964,9165,1385,8487,1720,Missouri,null,null,null,null,null,null,29
0400000US30,1290,689,632,559,658,446,Montana,null,null,null,null,null,null,30
0400000US31,10018,1323,5797,966,4221,1037,Nebraska,null,null,null,null,null,null,31
0400000US32,67929,4305,26091,2615,41838,3231,Nevada,null,null,null,null,null,null,32
0400000US33,2765,878,1393,662,1372,651,New Hampshire,null,null,null,null,null,null,33
0400000US34,162298,6475,48054,3765,114244,5156,New Jersey,null,null,null,null,null,null,34
0400000US35,61526,4120,41192,3260,20334,2769,New Mexico,null,null,null,null,null,null,35
0400000US36,477784,8817,84355,5099,393429,9089,New York,null,null,null,null,null,null,36
0400000US37,76070,4116,27832,2749,48238,3981,North Carolina,null,null,null,null,null,null,37
0400000US38,1367,492,640,309,727,414,North Dakota,null,null,null,null,null,null,38
0400000US39,28244,2554,11021,1411,17223,2156,Ohio,null,null,null,null,null,null,39
0400000US40,27769,2140,14173,1396,13596,1620,Oklahoma,null,null,null,null,null,null,40
0400000US41,29854,2562,11100,1708,18754,2237,Oregon,null,null,null,null,null,null,41
0400000US42,68564,4700,26489,2407,42075,3892,Pennsylvania,null,null,null,null,null,null,42
0400000US44,22208,2474,6029,1459,16179,2025,Rhode Island,null,null,null,null,null,null,44
0400000US45,18221,2410,6010,1326,12211,2200,South Carolina,null,null,null,null,null,null,45
0400000US46,1625,681,294,249,1331,663,South Dakota,null,null,null,null,null,null,46
0400000US47,24735,2405,7911,1665,16824,2088,Tennessee,null,null,null,null,null,null,47
0400000US48,441929,11287,234417,7831,207512,8185,Texas,null,null,null,null,null,null,48
0400000US49,31048,2819,14298,1958,16750,2228,Utah,null,null,null,null,null,null,49
0400000US50,310,191,177,162,133,108,Vermont,null,null,null,null,null,null,50
0400000US51,42967,3647,16211,2084,26756,2844,Virginia,null,null,null,null,null,null,51
0400000US53,64959,4057,26081,2681,38878,3799,Washington,null,null,null,null,null,null,53
0400000US54,1222,523,403,315,819,440,West Virginia,null,null,null,null,null,null,54
0400000US55,26143,2722,7781,1228,18362,2431,Wisconsin,null,null,null,null,null,null,55
0400000US56,3775,1106,2438,864,1337,773,Wyoming,null,null,null,null,null,null,56
0400000US72,133295,4643,84633,3693,48662,3947,Puerto Rico,null,null,null,null,null,null,72
