GEO_ID,B05010_001E,B05010_001M,B05010_002E,B05010_002M,B05010_003E,B05010_003M,B05010_004E,B05010_004M,B05010_005E,B05010_005M,B05010_006E,B05010_006M,B05010_007E,B05010_007M,B05010_008E,B05010_008M,B05010_009E,B05010_009M,B05010_010E,B05010_010M,B05010_011E,B05010_011M,B05010_012E,B05010_012M,B05010_013E,B05010_013M,B05010_014E,B05010_014M,B05010_015E,B05010_015M,B05010_016E,B05010_016M,B05010_017E,B05010_017M,B05010_018E,B05010_018M,B05010_019E,B05010_019M,B05010_020E,B05010_020M,B05010_021E,B05010_021M,B05010_022E,B05010_022M,B05010_023E,B05010_023M,B05010_024E,B05010_024M,B05010_025E,B05010_025M,NAME,B05010_001EA,B05010_001MA,B05010_002EA,B05010_002MA,B05010_003MA,B05010_003EA,B05010_004EA,B05010_004MA,B05010_005MA,B05010_005EA,B05010_006EA,B05010_006MA,B05010_007MA,B05010_007EA,B05010_008MA,B05010_008EA,B05010_009EA,B05010_009MA,B05010_010MA,B05010_010EA,B05010_011EA,B05010_011MA,B05010_012MA,B05010_012EA,B05010_013MA,B05010_013EA,B05010_014EA,B05010_014MA,B05010_015MA,B05010_015EA,B05010_016MA,B05010_016EA,B05010_017EA,B05010_017MA,B05010_018EA,B05010_018MA,B05010_019EA,B05010_019MA,B05010_020MA,B05010_020EA,B05010_021EA,B05010_021MA,B05010_022EA,B05010_022MA,B05010_023EA,B05010_023MA,B05010_024EA,B05010_024MA,B05010_025MA,B05010_025EA,state
0400000US01,1035638,6328,274243,11072,61695,6093,49123,5300,9574,2747,2998,1443,212069,10428,203308,9885,8761,2218,245831,11458,128030,9265,110469,7839,11259,3062,6302,2123,117801,7897,112985,8025,4816,1683,515564,11861,417359,10681,391354,10433,14338,3130,11667,2244,97461,7356,94913,7372,2548,1213,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,178926,1905,20933,2530,6365,1635,5377,1470,829,730,159,115,14568,2131,12948,2023,1620,1095,37198,4703,21810,3790,19053,3222,1811,1171,946,777,15388,2992,12383,2463,3005,2164,120795,5059,96299,4919,84834,4557,4674,1491,6791,1982,24471,3485,22381,3172,2090,1093,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1525864,5468,394571,15833,151362,11990,64801,7971,67041,8125,19520,3997,243005,12590,164389,12303,78616,7346,379356,14749,215548,13193,116774,10464,70401,7647,28373,3852,163391,8909,130873,8856,32518,4741,751937,16839,587855,15138,461226,13689,62817,6401,63812,5621,163462,9536,144610,9049,18852,3018,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,665231,5056,189492,9397,61680,6165,44439,5200,13637,3549,3604,1576,127690,7586,119304,6813,8386,2570,175663,9994,102643,7551,81992,7462,15340,2936,5311,1505,72877,6900,67113,6209,5764,2197,300076,8900,247842,8719,226236,8173,10052,2229,11554,2764,52234,5147,50581,5086,1653,1005,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8744206,17423,2003936,32716,794489,22903,161302,12124,531851,19565,101336,10101,1207924,25926,671637,21184,536287,19471,2076631,34352,1244426,29012,346056,18110,693994,23345,204376,11398,829631,24836,496747,17224,332884,16141,4663639,36217,3659533,35300,1998675,28921,1014415,21120,646443,18920,992670,19885,740434,18115,252236,9467,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1191159,5504,194799,10684,76729,7560,30663,4024,37844,5169,8222,2827,117717,8079,88044,7826,29673,4535,250987,13263,142270,9629,81634,6801,43090,5698,17546,4128,108119,9195,90411,7859,17708,3697,745373,12267,611622,13521,509796,12018,51276,5928,50550,4955,132900,7892,118615,7104,14285,2534,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,757910,3534,106927,7214,22323,3681,10281,2467,8179,1856,3863,1889,84604,5787,70382,5758,14222,3320,120327,7990,56023,5852,25784,4302,23987,3991,6252,2416,63893,6790,51819,5598,12074,2976,530656,9589,427693,10152,327318,8846,55723,4830,44652,3958,101577,7186,84848,6072,16729,2880,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,190832,2576,33834,5204,8391,2591,3974,1576,4008,2050,409,516,25443,4202,22500,3888,2943,1287,40466,4083,17983,2912,12600,2512,3727,1419,1656,1076,22483,3336,19925,3183,2558,1193,116532,5310,88850,5205,74912,5015,9283,1814,4655,1571,27617,3393,25986,3350,1631,723,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,103260,1629,27311,3737,2142,856,733,519,988,603,421,392,25169,3697,22659,3316,2510,1282,20948,3378,7646,1977,2162,1036,5014,1664,470,533,13129,3057,11170,2814,1959,958,55001,3404,36109,2877,22964,2353,7002,1756,6143,1644,18238,2510,15226,2162,3012,1191,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3810226,10857,904636,29040,288511,17098,134308,10918,124903,10974,29300,5356,615966,24274,463156,20688,152810,11299,962556,22126,510047,19536,267378,14584,176359,11345,66310,7367,450513,17857,329372,16124,121141,9612,1943034,27710,1488471,24551,1011587,21719,259706,11817,217178,10987,450665,15762,357930,15619,92735,6772,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
