GEO_ID,C17015_001E,C17015_001M,C17015_002E,C17015_002M,C17015_003E,C17015_003M,C17015_004E,C17015_004M,C17015_005E,C17015_005M,C17015_006E,C17015_006M,C17015_007E,C17015_007M,C17015_008E,C17015_008M,C17015_009E,C17015_009M,C17015_010E,C17015_010M,C17015_011E,C17015_011M,C17015_012E,C17015_012M,C17015_013E,C17015_013M,C17015_014E,C17015_014M,C17015_015E,C17015_015M,NAME,C17015_001MA,C17015_001EA,C17015_002MA,C17015_002EA,C17015_003MA,C17015_003EA,C17015_004MA,C17015_004EA,C17015_005EA,C17015_005MA,C17015_006EA,C17015_006MA,C17015_007MA,C17015_007EA,C17015_008MA,C17015_008EA,C17015_009EA,C17015_009MA,C17015_010MA,C17015_010EA,C17015_011MA,C17015_011EA,C17015_012EA,C17015_012MA,C17015_013EA,C17015_013MA,C17015_014MA,C17015_014EA,C17015_015EA,C17015_015MA,state
0400000US01,1222568,14007,174593,5454,37978,2917,9973,1586,28005,2510,136615,5199,23264,2355,113351,5002,1047975,12811,351936,6620,32069,2709,319867,5860,696039,11005,33666,2608,662373,11063,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165431,3617,9814,1095,977,226,411,177,566,152,8837,1069,2231,598,6606,853,155617,3391,28381,1804,3358,792,25023,1746,127236,3545,5255,1259,121981,3679,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1572310,12708,213512,6823,34554,2991,5184,1040,29370,2768,178958,6362,22964,2276,155994,5946,1358798,12983,446046,7071,32046,2598,414000,6769,912752,11256,37149,2695,875603,10922,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751124,10710,108793,4870,24050,2686,7295,1384,16755,2318,84743,4295,15534,1928,69209,3857,642331,9468,230727,4569,21528,1915,209199,4607,411604,7832,24610,2527,386994,7819,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8645970,31516,1092977,14174,137428,5594,37456,2925,99972,5224,955549,12500,231422,8678,724127,11912,7552993,30734,1928228,14115,241151,7436,1687077,13775,5624765,29863,344600,8532,5280165,29380,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1279941,10970,111594,5324,15436,1952,3051,791,12385,1703,96158,5182,11044,1607,85114,4739,1168347,10778,277027,4980,18987,1781,258040,5222,891320,10008,32069,2818,859251,10048,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890293,9252,67625,4089,10374,1672,2470,792,7904,1653,57251,3686,12205,1902,45046,3449,822668,9009,217313,4899,16985,1894,200328,4831,605355,8054,21461,2631,583894,8340,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,228364,4558,19335,2274,3476,878,648,286,2828,808,15859,2100,2512,704,13347,2084,209029,4873,69765,2377,5511,1038,64254,2299,139264,4374,7666,1253,131598,4322,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,120467,4214,18901,2027,4084,947,962,411,3122,892,14817,1931,7196,1287,7621,1544,101566,3750,22706,1548,2161,687,20545,1430,78860,3615,6548,1338,72312,3490,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4626388,25285,573647,14621,114355,5517,22106,2401,92249,5021,459292,12957,68727,4818,390565,12147,4052741,29605,1451664,14987,115275,4877,1336389,14436,2601077,25511,122299,6136,2478778,25455,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
