GEO_ID,B08008_001E,B08008_001M,B08008_002E,B08008_002M,B08008_003E,B08008_003M,B08008_004E,B08008_004M,B08008_005E,B08008_005M,B08008_006E,B08008_006M,B08008_007E,B08008_007M,B08008_008E,B08008_008M,B08008_009E,B08008_009M,B08008_010E,B08008_010M,B08008_011E,B08008_011M,B08008_012E,B08008_012M,B08008_013E,B08008_013M,B08008_014E,B08008_014M,B08008_015E,B08008_015M,NAME,B08008_001MA,B08008_001EA,B08008_002EA,B08008_002MA,B08008_003EA,B08008_003MA,B08008_004MA,B08008_004EA,B08008_005MA,B08008_005EA,B08008_006EA,B08008_006MA,B08008_007MA,B08008_007EA,B08008_008EA,B08008_008MA,B08008_009EA,B08008_009MA,B08008_010EA,B08008_010MA,B08008_011MA,B08008_011EA,B08008_012EA,B08008_012MA,B08008_013MA,B08008_013EA,B08008_014EA,B08008_014MA,B08008_015MA,B08008_015EA,state
0400000US01,1983610,17231,1302704,17285,584474,11293,718230,13116,680906,12859,1046364,12452,669269,12177,285012,8438,384257,10121,377095,8720,937246,10719,633435,9933,299462,7963,333973,7322,303811,8123,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,357776,5366,347624,5684,247569,5174,100055,4115,10152,1481,198944,4270,192996,4477,133164,3763,59832,3141,5948,1258,158832,3389,154628,3404,114405,3086,40223,2222,4204,678,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2754451,16364,2583913,17403,1196367,19249,1387546,21073,170538,7149,1479371,10648,1385990,10857,618621,13500,767369,12494,93381,4640,1275080,13402,1197923,13023,577746,10942,620177,13550,77157,4310,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1223214,12038,835295,11957,422769,10018,412526,9817,387919,8967,648747,7053,436945,7629,212638,6661,224307,7488,211802,6403,574467,8503,398350,8727,210131,6644,188219,5154,176117,4661,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16745843,39207,15954135,41829,5852112,35143,10102023,41617,791708,19081,9169586,28684,8713184,29060,3014073,22730,5699111,26849,456402,12826,7576257,29819,7240951,30425,2838039,23248,4402912,28956,335306,9533,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2577184,15140,2216324,14691,962778,12758,1253546,14096,360860,9666,1398953,9988,1201276,11139,496557,9869,704719,11043,197677,6203,1178231,10760,1015048,9691,466221,8160,548827,9594,163183,5634,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1736156,10689,1033853,11413,319686,10444,714167,12801,702303,9837,901635,6819,532260,7220,154039,6477,378221,8940,369375,6920,834521,9022,501593,7825,165647,6508,335946,6793,332928,6689,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,423542,6339,178035,7462,40861,3182,137174,6574,245507,7515,216143,3911,87855,4087,18061,2235,69794,3855,128288,4728,207399,4240,90180,4845,22800,2255,67380,4029,117219,4411,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,330087,4834,330087,4834,249800,5870,80287,4564,0,203,161808,3025,161808,3025,119451,4245,42357,3498,0,203,168279,3935,168279,3935,130349,4250,37930,2858,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8353263,33034,6507210,31415,2083303,26117,4423907,33996,1846053,24207,4373311,24646,3396438,21447,1062000,17359,2334438,25176,976873,17236,3979952,24303,3110772,24761,1021303,16856,2089469,20297,869180,13999,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
