GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001EA,B16009_001MA,B16009_002MA,B16009_002EA,B16009_003MA,B16009_003EA,B16009_004EA,B16009_004MA,B16009_005EA,B16009_005MA,B16009_006EA,B16009_006MA,B16009_007EA,B16009_007MA,B16009_008MA,B16009_008EA,B16009_009EA,B16009_009MA,B16009_010EA,B16009_010MA,B16009_011EA,B16009_011MA,B16009_012EA,B16009_012MA,B16009_013EA,B16009_013MA,B16009_014MA,B16009_014EA,B16009_015EA,B16009_015MA,B16009_016EA,B16009_016MA,B16009_017EA,B16009_017MA,B16009_018EA,B16009_018MA,B16009_019MA,B16009_019EA,B16009_020EA,B16009_020MA,B16009_021EA,B16009_021MA,B16009_022EA,B16009_022MA,B16009_023MA,B16009_023EA,B16009_024MA,B16009_024EA,B16009_025MA,B16009_025EA,B16009_026EA,B16009_026MA,B16009_027EA,B16009_027MA,state
0400000US01,4428010,3418,791877,18928,206097,9520,189886,8903,13885,2709,664,486,1345,811,317,268,585780,14218,548835,12604,27104,4520,3584,1126,3941,1352,2316,995,3636133,19326,600290,9491,568512,8711,21691,3626,3269,1027,4759,1044,2059,1120,3035843,14175,2894912,13700,77975,6351,27822,3613,25210,3143,9924,3848,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,664210,1481,59501,4390,14862,2107,11731,2091,585,561,582,454,284,344,1680,370,44639,3209,32803,2698,2282,856,1215,690,980,511,7359,1085,604709,4978,115650,2538,101397,3141,2781,1142,2317,906,5051,1711,4104,1006,489059,3369,416056,4452,13757,1995,10810,1835,27413,2425,21023,1615,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6054886,2728,1084669,29517,299309,12809,152270,11024,130509,8707,1478,693,3112,1234,11940,1882,785360,20816,459975,13485,249092,11340,13599,2728,15398,2632,47296,4509,4970217,29356,867988,12312,670003,13574,160404,8768,10284,1938,12575,1716,14722,2858,4102229,21009,3155694,21108,692758,15518,89771,5748,85139,4827,78867,6132,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2687495,3348,504761,14604,141748,7248,123878,6288,16216,3010,569,689,598,355,487,580,363013,11080,327924,10105,27514,3309,2730,1078,3403,1085,1442,861,2182734,15281,369829,7521,340308,7202,23339,3804,2741,1533,2877,1151,564,583,1812905,11580,1708628,11315,70510,4847,14136,2436,15796,2195,3835,1896,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35135486,7392,5720093,57940,1512620,25209,582116,16829,819243,20775,28689,3345,64947,5788,17625,3420,4207473,42163,1986289,27296,1586934,27797,183835,10509,389371,12924,61044,7923,29415393,57636,5059044,25478,3051622,26298,1482869,22509,157783,6822,328116,7736,38654,5128,24356349,42120,14054318,36956,6269349,36407,1190805,21041,2611590,22701,230287,13698,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4821701,3176,606705,18908,145901,8216,91618,6990,47524,5136,2050,1497,1370,740,3339,1673,460804,13344,345053,10896,87474,7518,9849,2135,9653,1825,8775,1731,4214996,20092,750393,8976,624177,7602,94805,6901,13391,2180,14679,1977,3341,1285,3464603,14211,2953115,13094,335772,11419,85682,5408,70230,3400,19804,3823,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3297533,2060,341668,13505,80491,5447,52394,5103,23419,3328,3696,1365,764,611,218,283,261177,9888,165639,8744,66887,4908,17524,2626,8273,2128,2854,1517,2955865,13286,506820,5449,417805,6762,52341,3868,23266,2728,9552,1572,3856,1722,2449045,9988,1951631,13005,234473,7025,189716,9820,57915,3849,15310,3004,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,844803,1074,99560,8255,24293,3738,18373,3112,5170,1783,559,394,191,221,0,189,75267,5992,59560,4651,12151,3441,2351,828,939,462,266,244,745243,8349,120842,3873,107014,3798,7301,1574,3234,1073,2780,920,513,390,624401,6082,556345,5871,29338,3160,19770,2722,14123,1957,4825,1478,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,571204,598,106377,6814,20531,2653,18878,2569,830,749,229,234,479,352,115,137,85846,5438,73328,5048,5951,1697,2570,877,2394,967,1603,716,464827,6846,48225,2621,36387,2337,7068,1264,2802,1148,877,433,1091,522,416602,5480,340512,5551,37392,2699,18713,2741,9209,1515,10776,2291,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18075396,6773,2968201,54821,683633,23689,437727,18159,197332,12007,37244,4547,5818,1618,5512,2217,2284568,37369,1492367,28422,605172,21982,134000,7885,35814,3743,17215,3702,15107195,54166,2216088,23778,1660829,20765,423479,11952,94764,7302,27232,3249,9784,2238,12891107,37520,9487144,41444,2489570,29037,645287,22496,206132,8234,62974,6657,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
