GEO_ID,B19101H_001E,B19101H_001M,B19101H_002E,B19101H_002M,B19101H_003E,B19101H_003M,B19101H_004E,B19101H_004M,B19101H_005E,B19101H_005M,B19101H_006E,B19101H_006M,B19101H_007E,B19101H_007M,B19101H_008E,B19101H_008M,B19101H_009E,B19101H_009M,B19101H_010E,B19101H_010M,B19101H_011E,B19101H_011M,B19101H_012E,B19101H_012M,B19101H_013E,B19101H_013M,B19101H_014E,B19101H_014M,B19101H_015E,B19101H_015M,B19101H_016E,B19101H_016M,B19101H_017E,B19101H_017M,NAME,B19101H_001EA,B19101H_001MA,B19101H_002MA,B19101H_002EA,B19101H_003EA,B19101H_003MA,B19101H_004MA,B19101H_004EA,B19101H_005MA,B19101H_005EA,B19101H_006MA,B19101H_006EA,B19101H_007MA,B19101H_007EA,B19101H_008EA,B19101H_008MA,B19101H_009MA,B19101H_009EA,B19101H_010EA,B19101H_010MA,B19101H_011MA,B19101H_011EA,B19101H_012MA,B19101H_012EA,B19101H_013EA,B19101H_013MA,B19101H_014EA,B19101H_014MA,B19101H_015EA,B19101H_015MA,B19101H_016EA,B19101H_016MA,B19101H_017MA,B19101H_017EA,state
0400000US01,858655,9739,36100,2750,23027,2263,31032,2890,40054,3238,39649,2946,42697,2957,40954,3067,41682,3025,40812,3240,78199,4673,104967,4595,128345,5277,84554,4451,45386,2761,43526,2932,37671,2902,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,117646,2940,1607,486,1450,520,1162,408,1923,564,2251,590,2155,625,3132,694,3602,807,2261,606,6889,973,14194,1893,22704,1964,17311,1932,13739,1765,12129,1771,11137,1665,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,999724,8706,37815,3090,21097,2474,24654,2348,37330,3110,39572,3182,47092,3586,43761,3246,47200,2923,45354,3150,90267,4973,116958,4961,151835,4839,107648,5015,63002,3658,64657,3765,61482,3484,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,589098,8112,27162,2591,17675,1876,27079,2314,29603,2625,31274,2466,34144,3202,35498,2698,29551,2725,29896,2468,55748,3730,67384,3781,84156,4405,50542,3454,26732,2447,22667,2135,19987,1699,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3840311,17404,117063,5778,77045,4203,92324,4628,103166,4865,106886,4541,120870,5521,126187,6621,123250,4899,119443,5069,246647,7711,362193,9485,534468,10953,458166,10588,317353,9469,402240,8714,533010,9817,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,950947,9362,22369,2508,14475,1854,18493,2346,28914,2855,31695,2352,33211,2590,32878,2927,35952,2828,33650,2271,74284,4077,105945,4358,156837,5434,116130,4831,76131,4555,84617,3588,85366,4103,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,653676,7589,10813,1614,7253,1484,7834,1400,13137,1725,16169,2360,17184,1890,16020,1493,19532,2099,18755,1749,44955,3304,63143,3984,92992,3633,86407,4195,63757,3915,77123,3913,98602,4324,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,156119,3316,3999,1200,2717,777,3463,988,3663,782,5256,1092,6029,963,4761,852,7331,1323,6792,1168,13191,1866,19375,1821,25529,2199,18440,2086,11572,1408,12491,1427,11510,1212,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,37865,2235,582,596,414,302,29,47,27,44,70,117,143,110,199,229,223,185,279,236,747,428,884,346,2439,769,4150,957,3907,777,6772,1156,17000,1449,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2827155,18235,101111,5645,63242,4151,85932,5122,114463,5733,125689,5972,140765,6613,138970,5745,142207,6031,127519,5131,263439,8067,330599,9612,417979,10174,273676,6502,154852,5838,159845,6020,186867,6470,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
