GEO_ID,B25006_001E,B25006_001M,B25006_002E,B25006_002M,B25006_003E,B25006_003M,B25006_004E,B25006_004M,B25006_005E,B25006_005M,B25006_006E,B25006_006M,B25006_007E,B25006_007M,B25006_008E,B25006_008M,B25006_009E,B25006_009M,B25006_010E,B25006_010M,NAME,B25006_001EA,B25006_001MA,B25006_002EA,B25006_002MA,B25006_003EA,B25006_003MA,B25006_004EA,B25006_004MA,B25006_005EA,B25006_005MA,B25006_006EA,B25006_006MA,B25006_007MA,B25006_007EA,B25006_008MA,B25006_008EA,B25006_009MA,B25006_009EA,B25006_010MA,B25006_010EA,state
0400000US01,1822439,11200,1292500,9446,469996,6224,9066,1385,17619,1625,292,242,13630,1907,19336,2118,2072,754,17264,2239,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,246015,2720,183992,2701,7592,1219,28588,1509,9439,937,1792,575,2371,666,12241,1915,707,466,11534,1880,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2400809,11557,2007134,11179,95553,3811,76990,3215,62971,2825,3355,909,109012,4723,45794,3828,8258,1176,37536,3297,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1125899,6925,907067,6482,168951,3210,6867,1220,11639,1087,304,261,14842,1767,16229,1655,1308,531,14921,1673,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12650592,16944,8500341,20393,813719,8503,93270,4118,1629031,11568,35541,2668,1200187,14851,378503,9584,74710,3805,303793,8130,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2002800,8550,1745390,8598,71609,2930,15113,2095,48280,2623,1663,611,71142,4005,49603,3260,8960,1388,40643,3044,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1339860,7005,1088563,7503,126570,3886,2289,691,47299,1934,98,162,54924,4168,20117,1952,5548,1257,14569,1347,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,339071,3144,246749,3058,66236,2361,1446,525,11886,905,44,76,7214,1412,5496,1336,548,335,4948,1264,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,271651,3228,122616,3161,123560,3540,564,325,9951,1155,48,73,7461,1643,7451,1542,1130,689,6321,1443,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7211584,26752,5807003,23278,991626,11208,15951,1808,153707,4470,2689,960,133065,7540,107543,5789,23408,2437,84135,5123,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
