GEO_ID,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,NAME,B17020_001MA,B17020_001EA,B17020_002EA,B17020_002MA,B17020_003EA,B17020_003MA,B17020_004MA,B17020_004EA,B17020_005EA,B17020_005MA,B17020_006MA,B17020_006EA,B17020_007MA,B17020_007EA,B17020_008EA,B17020_008MA,B17020_009EA,B17020_009MA,B17020_010MA,B17020_010EA,B17020_011MA,B17020_011EA,B17020_012EA,B17020_012MA,B17020_013MA,B17020_013EA,B17020_014EA,B17020_014MA,B17020_015EA,B17020_015MA,B17020_016MA,B17020_016EA,B17020_017MA,B17020_017EA,state
0400000US01,4716105,2548,883371,20758,110582,5962,98366,4779,88643,6459,476109,12330,75881,4434,21799,2288,11991,1486,3832734,21141,239431,6435,264420,7458,293040,7315,2153794,14617,628337,7910,190759,4994,62953,3655,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,718359,1166,67016,4778,9218,1307,7375,1230,5784,1268,38386,3020,4590,831,1436,744,227,249,651343,5197,55134,1879,52578,2866,54572,2577,391643,4242,77449,2659,14884,1264,5083,971,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6477191,3417,1206460,32132,147755,7331,142078,8247,131267,6734,646919,18986,98640,4633,27631,2803,12170,1675,5270731,31828,363394,7702,392368,8661,412740,8633,2860073,19903,860316,7587,281139,5468,100701,4956,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2873340,3117,565469,16418,77498,5276,69651,5149,55307,4612,295637,9976,44767,3500,15058,1815,7551,1269,2307871,16913,153976,5314,162676,6453,178314,5978,1268595,11264,385889,5306,119821,2709,38600,2399,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37593091,8648,6328824,64631,736240,16671,714698,16942,670413,13326,3484827,39407,482123,11262,161077,6807,79446,4889,31264267,64133,2230699,17019,2281769,20512,2395450,20047,18377855,42714,4189617,18894,1234850,11971,554027,10421,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5151461,2077,667446,21463,76351,6628,69224,5174,61067,4887,385957,11778,54436,3573,13795,1517,6616,1121,4484015,21721,322849,6657,349303,6591,347260,7350,2603382,14285,631062,7214,169600,3605,60559,3372,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3485353,2242,373900,14722,39682,3705,37392,3688,35649,3400,204320,8939,39584,3297,10826,1549,6447,1000,3111453,14715,190518,4477,228842,5863,243048,5634,1768906,10599,464008,6383,141887,3755,74244,3311,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,900322,1123,111327,9589,14613,2766,10876,2479,10571,1690,60277,5679,9866,1815,3857,919,1267,457,788995,9661,53747,2983,54414,2551,56433,3219,437049,6865,134764,3496,38130,1811,14458,1616,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,611788,780,115551,7400,11494,2219,9327,1928,8884,1466,68375,4761,11267,1551,4776,1058,1428,538,496237,7490,35826,2434,25217,1928,18592,1934,330818,5217,61067,2214,16686,1533,8031,1143,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19129950,7199,3253333,61090,345949,13297,321297,13845,301519,11739,1752825,34330,354334,12078,122308,6329,55101,3916,15876617,60744,929806,13852,985460,16871,1070244,15805,8668629,39451,2792071,18464,1019386,11444,411021,9427,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
