GEO_ID,C23002D_001E,C23002D_001M,C23002D_002E,C23002D_002M,C23002D_003E,C23002D_003M,C23002D_004E,C23002D_004M,C23002D_005E,C23002D_005M,C23002D_006E,C23002D_006M,C23002D_007E,C23002D_007M,C23002D_008E,C23002D_008M,C23002D_009E,C23002D_009M,C23002D_010E,C23002D_010M,C23002D_011E,C23002D_011M,C23002D_012E,C23002D_012M,C23002D_013E,C23002D_013M,C23002D_014E,C23002D_014M,C23002D_015E,C23002D_015M,C23002D_016E,C23002D_016M,C23002D_017E,C23002D_017M,C23002D_018E,C23002D_018M,C23002D_019E,C23002D_019M,C23002D_020E,C23002D_020M,C23002D_021E,C23002D_021M,C23002D_022E,C23002D_022M,C23002D_023E,C23002D_023M,C23002D_024E,C23002D_024M,C23002D_025E,C23002D_025M,C23002D_026E,C23002D_026M,C23002D_027E,C23002D_027M,NAME,C23002D_001MA,C23002D_001EA,C23002D_002EA,C23002D_002MA,C23002D_003EA,C23002D_003MA,C23002D_004EA,C23002D_004MA,C23002D_005MA,C23002D_005EA,C23002D_006EA,C23002D_006MA,C23002D_007EA,C23002D_007MA,C23002D_008MA,C23002D_008EA,C23002D_009EA,C23002D_009MA,C23002D_010EA,C23002D_010MA,C23002D_011MA,C23002D_011EA,C23002D_012EA,C23002D_012MA,C23002D_013MA,C23002D_013EA,C23002D_014MA,C23002D_014EA,C23002D_015EA,C23002D_015MA,C23002D_016EA,C23002D_016MA,C23002D_017EA,C23002D_017MA,C23002D_018EA,C23002D_018MA,C23002D_019EA,C23002D_019MA,C23002D_020EA,C23002D_020MA,C23002D_021MA,C23002D_021EA,C23002D_022EA,C23002D_022MA,C23002D_023EA,C23002D_023MA,C23002D_024MA,C23002D_024EA,C23002D_025MA,C23002D_025EA,C23002D_026EA,C23002D_026MA,C23002D_027MA,C23002D_027EA,state
0400000US01,45858,2188,20841,1377,19316,1287,15176,1170,14,39,15162,1174,14700,1116,462,358,4140,1041,1525,559,314,243,314,243,0,192,1211,435,25017,1450,20971,1551,10587,1346,14,25,10573,1348,9361,1351,1212,675,10384,1191,4046,870,624,340,624,340,0,192,3422,914,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,32497,1753,15258,1163,13650,1220,11951,1054,235,228,11716,1100,11211,1118,505,335,1699,563,1608,483,708,390,708,390,0,147,900,388,17239,1275,15362,1315,10929,1120,110,140,10819,1118,10677,1116,142,146,4433,1040,1877,374,718,367,718,367,0,147,1159,489,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,156782,3704,72288,2233,64931,2174,50436,1818,701,485,49735,1804,47524,1969,2211,753,14495,1686,7357,606,1039,493,858,457,181,229,6318,623,84494,2359,72879,2073,48384,2441,0,203,48384,2441,46114,2359,2270,748,24495,2342,11615,816,1767,487,1676,489,91,151,9848,917,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30084,1800,13678,1215,12793,1128,10358,1070,0,192,10358,1070,9614,1069,744,490,2435,708,885,414,193,201,193,201,0,192,692,352,16406,1494,15552,1356,9615,1129,0,192,9615,1129,8764,1315,851,500,5937,1214,854,369,60,101,60,101,0,192,794,395,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4324921,12833,2005508,8091,1715382,7996,1337803,10191,7750,1452,1330053,10495,1231010,11332,99043,5551,377579,8567,290126,1797,54442,2889,50705,2829,3737,725,235684,3575,2319413,7905,1928930,7567,1303908,11663,768,358,1303140,11685,1202710,11605,100430,5001,625022,11712,390483,2090,46116,2948,43992,2953,2124,506,344367,3740,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,119363,2888,53577,1900,48486,1875,39877,2002,519,312,39358,2017,37820,1958,1538,569,8609,1381,5091,614,759,342,693,322,66,79,4332,663,65786,2004,57393,1897,37902,2040,198,193,37704,2053,36183,2047,1521,462,19491,1958,8393,675,923,395,678,359,245,230,7470,713,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,116165,2772,55622,1674,51195,1614,41608,1643,30,50,41578,1634,38342,1780,3236,1086,9587,1479,4427,354,1300,471,1300,471,0,201,3127,597,60543,1453,54679,1419,36323,2090,0,201,36323,2090,33606,2129,2717,707,18356,1667,5864,566,1346,500,1285,504,61,105,4518,718,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26880,733,12511,663,11066,653,9497,948,182,191,9315,970,9169,982,146,126,1569,561,1445,368,415,242,415,242,0,189,1030,450,14369,791,12917,785,8718,928,0,189,8718,928,8419,919,299,248,4199,837,1452,165,224,202,224,202,0,189,1228,178,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20760,1191,8506,753,7772,682,5633,851,240,245,5393,875,5393,875,0,203,2139,665,734,342,250,288,250,288,0,203,484,330,12254,861,11326,816,9035,818,154,197,8881,809,8560,801,321,250,2291,635,928,130,281,223,281,223,0,203,647,241,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,412463,4523,185328,3148,162255,3276,126986,3570,1186,577,125800,3623,117047,3633,8753,1583,35269,3158,23073,1330,5138,980,4760,987,378,308,17935,1645,227135,4161,195185,4031,123404,5145,87,172,123317,5158,115580,5238,7737,1564,71781,4869,31950,1526,4413,913,4113,864,300,219,27537,1543,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,280371,3828,133124,2882,121755,2905,95247,3191,905,596,94342,3156,89593,3173,4749,1231,26508,2576,11369,794,2567,865,2542,867,25,41,8802,948,147247,2646,134274,2576,80881,3649,157,167,80724,3656,74664,3840,6060,1567,53393,3652,12973,1196,1415,433,1287,432,128,124,11558,1230,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,462404,8059,214675,4776,162590,4465,134773,4582,1875,782,132898,4435,127963,4287,4935,944,27817,2371,52085,996,10890,1345,10462,1232,428,374,41195,1672,247729,4655,175618,4264,132439,3630,678,428,131761,3666,127362,3595,4399,970,43179,2774,72111,1226,9847,1393,9677,1361,170,167,62264,1521,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20313,1518,9290,1054,8436,1077,6875,1032,305,213,6570,953,5861,963,709,436,1561,557,854,401,181,170,181,170,0,193,673,356,11023,1152,8998,1171,4690,976,0,193,4690,976,4539,998,151,157,4308,1233,2025,577,218,213,218,213,0,193,1807,585,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,513235,3635,244829,2537,214912,2510,174088,3181,300,298,173788,3194,162331,3449,11457,1642,40824,2830,29917,738,6930,1087,6643,1066,287,205,22987,1223,268406,2738,232394,2480,154822,3619,271,308,154551,3621,144130,3485,10421,1668,77572,3871,36012,961,7084,1178,6644,1171,440,297,28928,1419,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,92522,3059,44142,2002,41528,1809,29596,1563,59,57,29537,1569,28319,1602,1218,596,11932,1735,2614,702,588,419,588,419,0,190,2026,493,48380,2176,44324,2266,23369,2354,0,190,23369,2354,22067,2283,1302,630,20955,2122,4056,988,351,241,351,241,0,190,3705,923,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,49591,1692,22761,1219,21675,1205,16689,1183,0,157,16689,1183,15802,1109,887,469,4986,1015,1086,365,288,210,288,210,0,157,798,309,26830,1239,24991,1135,16143,1280,0,157,16143,1280,15405,1323,738,400,8848,1258,1839,501,269,148,269,148,0,157,1570,499,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,57324,1951,26500,1216,24566,1135,19866,1089,268,209,19598,1064,18768,1122,830,396,4700,1074,1934,400,636,321,611,314,25,44,1298,395,30824,1360,27590,1354,16940,1424,0,170,16940,1424,15373,1430,1567,525,10650,1562,3234,633,785,526,756,522,29,48,2449,408,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,39889,2188,17924,986,16531,897,13949,1001,361,241,13588,979,12628,932,960,477,2582,715,1393,377,400,237,400,237,0,189,993,346,21965,1687,18966,1639,11342,1304,62,93,11280,1320,10437,1293,843,415,7624,1487,2999,655,390,355,390,355,0,189,2609,553,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
