GEO_ID,B13015_001E,B13015_001M,B13015_002E,B13015_002M,B13015_003E,B13015_003M,B13015_004E,B13015_004M,B13015_005E,B13015_005M,B13015_006E,B13015_006M,B13015_007E,B13015_007M,B13015_008E,B13015_008M,B13015_009E,B13015_009M,B13015_010E,B13015_010M,B13015_011E,B13015_011M,B13015_012E,B13015_012M,B13015_013E,B13015_013M,B13015_014E,B13015_014M,B13015_015E,B13015_015M,NAME,B13015_001MA,B13015_001EA,B13015_002EA,B13015_002MA,B13015_003EA,B13015_003MA,B13015_004EA,B13015_004MA,B13015_005EA,B13015_005MA,B13015_006MA,B13015_006EA,B13015_007EA,B13015_007MA,B13015_008EA,B13015_008MA,B13015_009EA,B13015_009MA,B13015_010MA,B13015_010EA,B13015_011EA,B13015_011MA,B13015_012MA,B13015_012EA,B13015_013EA,B13015_013MA,B13015_014EA,B13015_014MA,B13015_015EA,B13015_015MA,state
0400000US01,1163325,5128,58053,4167,34616,3192,1011,683,33605,3143,23437,2731,2244,800,21193,2581,1105272,6551,479048,9389,6783,1535,472265,9519,626224,10386,15680,2331,610544,10003,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175297,1983,10411,1560,6499,1403,56,72,6443,1400,3912,777,405,255,3507,729,164886,2572,77427,2840,1698,574,75729,2936,87459,2813,3785,1225,83674,3101,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1541860,3629,83011,4435,50203,3086,1228,431,48975,3198,32808,3813,3302,867,29506,3794,1458849,5855,607915,9493,7223,1412,600692,9276,850934,9450,20728,2516,830206,9300,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686653,4426,39228,3324,23821,2380,399,249,23422,2432,15407,2159,1499,560,13908,2198,647425,5695,303309,7929,5241,1364,298068,7581,344116,6643,10531,1659,333585,6608,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9559090,9658,477649,10106,312881,7590,16206,1933,296675,7386,164768,6689,29557,2999,135211,5908,9081441,14628,3859193,24451,99495,5366,3759698,23266,5222248,23839,216860,9235,5005388,22738,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1274702,4137,64982,3691,45784,2972,785,366,44999,2923,19198,2525,2419,1073,16779,2433,1209720,5748,568299,8980,7492,1346,560807,9213,641421,9347,11091,1856,630330,8731,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,856016,2710,35904,3443,24400,2547,1060,652,23340,2416,11504,2130,1833,741,9671,1958,820112,4416,341183,7424,4920,1374,336263,7585,478929,8522,16089,2176,462840,8421,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219750,1801,12589,1822,7966,1406,43,73,7923,1406,4623,967,815,418,3808,886,207161,2508,80447,3568,939,511,79508,3454,126714,3630,3375,1037,123339,3767,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,196799,1107,9700,1579,4990,1293,254,298,4736,1225,4710,1181,1791,767,2919,828,187099,1935,41518,3093,1069,546,40449,3142,145581,3299,7516,1450,138065,3306,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4464346,8583,212782,8764,124208,6931,2761,797,121447,6952,88574,5396,7360,1429,81214,5167,4251564,12743,1734765,20269,27717,3316,1707048,20638,2516799,19015,57759,5369,2459040,18384,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
