GEO_ID,B17026_001E,B17026_001M,B17026_002E,B17026_002M,B17026_003E,B17026_003M,B17026_004E,B17026_004M,B17026_005E,B17026_005M,B17026_006E,B17026_006M,B17026_007E,B17026_007M,B17026_008E,B17026_008M,B17026_009E,B17026_009M,B17026_010E,B17026_010M,B17026_011E,B17026_011M,B17026_012E,B17026_012M,B17026_013E,B17026_013M,NAME,B17026_001MA,B17026_001EA,B17026_002EA,B17026_002MA,B17026_003MA,B17026_003EA,B17026_004EA,B17026_004MA,B17026_005MA,B17026_005EA,B17026_006EA,B17026_006MA,B17026_007EA,B17026_007MA,B17026_008MA,B17026_008EA,B17026_009EA,B17026_009MA,B17026_010EA,B17026_010MA,B17026_011MA,B17026_011EA,B17026_012EA,B17026_012MA,B17026_013MA,B17026_013EA,state
0400000US01,1222568,14007,75998,3809,47890,3462,50705,3538,56868,4219,60895,4107,55317,3166,22361,2359,36101,2742,212200,7771,175238,5335,131585,5842,297410,8481,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165431,3617,3734,716,2951,606,3129,579,3982,836,5201,1322,5106,1181,1442,424,3276,720,21547,1917,22330,2144,21251,2130,71482,3406,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1572310,12708,94880,5024,57205,4096,61427,3553,66259,4623,74723,4839,71854,4696,27670,2652,47479,3888,264879,7398,217593,6995,165460,6521,422881,7991,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751124,10710,42864,3635,29695,2838,36234,2968,38934,3425,42137,3105,39011,2709,14551,1891,25218,2584,139917,6023,105961,4611,74142,4106,162460,5334,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8645970,31516,424014,10721,308694,8651,360269,10621,392881,11387,393296,10230,382211,9297,139225,5734,222013,8037,1275158,20806,1022898,15923,806625,14475,2918686,22210,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1279941,10970,42246,3378,29752,3188,39596,3314,45077,3433,47064,3597,47162,3387,18050,1904,30602,2623,190173,5935,178082,5879,148172,6402,463965,7887,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890293,9252,29120,2729,15542,2013,22963,2894,22111,2293,23856,2763,23488,2717,9680,1444,17944,2371,110912,5494,116060,4713,98961,5198,399656,7536,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,228364,4558,9643,1735,5126,1179,4566,967,8761,1544,7806,1326,7911,1454,3530,824,4605,1194,32104,2530,36550,2834,27480,2434,80282,3859,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,120467,4214,9607,1482,4772,1184,4522,1209,4955,1075,4696,1211,4602,1208,1203,455,3068,852,12692,1689,10935,1513,6925,1385,52490,3318,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4626388,25285,234700,9221,153388,6130,185559,8299,196620,8313,221372,6401,224549,8504,85348,5187,136308,6559,826016,13641,664422,14858,481104,12173,1217002,15685,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
