B25074_033E,B25074_033M,B25074_034E,B25074_034M,B25074_035E,B25074_035M,B25074_036E,B25074_036M,B25074_037E,B25074_037M,B25074_038E,B25074_038M,B25074_039E,B25074_039M,B25074_040E,B25074_040M,B25074_041E,B25074_041M,B25074_042E,B25074_042M,B25074_043E,B25074_043M,B25074_044E,B25074_044M,B25074_045E,B25074_045M,B25074_046E,B25074_046M,B25074_047E,B25074_047M,B25074_048E,B25074_048M,B25074_049E,B25074_049M,B25074_050E,B25074_050M,GEO_ID,B25074_001E,B25074_001M,B25074_002E,B25074_002M,B25074_003E,B25074_003M,B25074_004E,B25074_004M,B25074_005E,B25074_005M,B25074_006E,B25074_006M,B25074_007E,B25074_007M,B25074_008E,B25074_008M,B25074_009E,B25074_009M,B25074_010E,B25074_010M,B25074_011E,B25074_011M,B25074_012E,B25074_012M,B25074_013E,B25074_013M,B25074_014E,B25074_014M,B25074_015E,B25074_015M,B25074_016E,B25074_016M,B25074_017E,B25074_017M,B25074_018E,B25074_018M,B25074_019E,B25074_019M,B25074_020E,B25074_020M,B25074_021E,B25074_021M,B25074_022E,B25074_022M,B25074_023E,B25074_023M,B25074_024E,B25074_024M,B25074_025E,B25074_025M,B25074_026E,B25074_026M,B25074_027E,B25074_027M,B25074_028E,B25074_028M,B25074_029E,B25074_029M,B25074_030E,B25074_030M,B25074_031E,B25074_031M,B25074_032E,B25074_032M,B25074_033EA,B25074_033MA,B25074_034MA,B25074_034EA,B25074_035EA,B25074_035MA,B25074_036EA,B25074_036MA,B25074_037MA,B25074_037EA,B25074_038EA,B25074_038MA,B25074_039EA,B25074_039MA,B25074_040MA,B25074_040EA,B25074_041EA,B25074_041MA,B25074_042MA,B25074_042EA,B25074_043MA,B25074_043EA,B25074_044EA,B25074_044MA,B25074_045EA,B25074_045MA,B25074_046EA,B25074_046MA,B25074_047EA,B25074_047MA,B25074_048MA,B25074_048EA,B25074_049MA,B25074_049EA,B25074_050MA,B25074_050EA,NAME,B25074_001MA,B25074_001EA,B25074_002EA,B25074_002MA,B25074_003EA,B25074_003MA,B25074_004MA,B25074_004EA,B25074_005MA,B25074_005EA,B25074_006EA,B25074_006MA,B25074_007MA,B25074_007EA,B25074_008MA,B25074_008EA,B25074_009EA,B25074_009MA,B25074_010MA,B25074_010EA,B25074_011MA,B25074_011EA,B25074_012MA,B25074_012EA,B25074_013EA,B25074_013MA,B25074_014EA,B25074_014MA,B25074_015MA,B25074_015EA,B25074_016MA,B25074_016EA,B25074_017EA,B25074_017MA,B25074_018MA,B25074_018EA,B25074_019EA,B25074_019MA,B25074_020EA,B25074_020MA,B25074_021MA,B25074_021EA,B25074_022EA,B25074_022MA,B25074_023EA,B25074_023MA,B25074_024MA,B25074_024EA,B25074_025EA,B25074_025MA,B25074_026MA,B25074_026EA,B25074_027MA,B25074_027EA,B25074_028EA,B25074_028MA,B25074_029MA,B25074_029EA,B25074_030EA,B25074_030MA,B25074_031EA,B25074_031MA,B25074_032MA,B25074_032EA,state
4368,969,2199,917,1151,542,7541,1452,31795,3111,25797,2731,3092,959,966,489,363,415,319,402,1258,384,30712,3090,26051,2816,876,428,949,590,421,439,0,192,2415,908,0400000US01,582422,10924,117277,5500,405,267,1719,694,4383,1105,5011,1371,74389,4506,31370,2963,119280,5082,3877,856,5209,1138,7674,1518,10078,1719,79014,4246,13428,1749,131359,6901,13644,2160,15017,2139,24235,2677,22528,2804,42874,3740,13061,1655,80054,4570,24013,2670,20362,2756,14628,1858,8205,1699,7123,1546,5723,1082,71945,5336,43662,3973,13024,2307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3290,850,1947,741,3038,938,1317,446,12068,1854,6448,1436,1722,586,1874,514,794,365,516,298,714,230,14133,1759,10579,1748,1475,594,893,553,298,245,13,23,875,336,0400000US02,89908,3375,4650,1000,28,47,0,147,30,40,6,9,3622,949,964,356,9725,1393,327,199,69,60,957,568,1029,533,6569,1055,774,269,14872,1640,1059,539,548,342,1595,577,1520,510,8666,1232,1484,650,14309,1960,1095,371,1862,581,2622,936,2851,1013,4954,1186,925,409,20151,2016,5436,1207,5123,1218,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
23408,2919,12408,2084,9432,1736,4524,1044,75981,5174,53316,4370,13950,2044,4351,1051,738,346,1504,656,2122,778,73597,4317,64119,4243,4674,1006,1820,759,780,425,958,635,1246,503,0400000US04,910778,13688,113883,5498,437,238,544,335,3463,987,1422,573,70251,4819,37766,2930,149297,6532,2891,832,2643,796,4913,1184,6782,1284,124161,5643,7907,1369,201427,8073,7817,1389,17705,2188,24860,2653,28637,3083,112414,6356,9994,1761,147382,7029,26468,2838,33735,3277,32988,3248,21606,2816,26086,3173,6499,1113,149211,6394,55230,4057,44209,3889,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1858,693,916,450,888,537,4056,1434,16501,2366,13012,2018,1112,692,121,122,72,117,71,118,2113,701,13491,2048,11648,1998,492,446,115,135,0,192,10,17,1226,415,0400000US05,385912,7213,69778,4053,1244,715,863,400,2516,760,2212,768,43249,3233,19694,2164,85866,4228,3098,901,3325,907,6209,1416,7304,1310,58153,3755,7777,1123,93212,4953,8866,1597,12166,2081,19188,1912,16375,2133,28127,2740,8490,1423,59165,4202,21586,2444,17727,2319,8925,2104,3624,991,1925,712,5378,1101,47899,4176,33036,3191,7145,1480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
205536,7935,148787,6909,214882,8722,24496,2621,575838,13322,213409,8816,150235,5645,100778,4892,56628,4140,41300,3131,13488,1854,870402,16488,591890,13902,156939,6604,64478,3706,25892,2613,14561,1999,16642,2028,0400000US06,5845953,25919,572902,12190,3949,1072,3732,1252,7323,1422,9624,1491,391350,10022,156924,7221,897349,13868,15530,2000,16949,2243,55123,3609,40251,3312,735946,13558,33550,3025,1108337,18657,31148,3204,30363,2732,63804,4144,98776,4101,848361,16830,35885,3139,842718,15666,54747,3726,88502,4646,138949,6086,140711,5563,397290,10633,22519,2643,978407,17001,174380,7304,210326,8246,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
23245,2651,14502,1988,11658,1530,3579,854,60876,4077,34875,2993,15129,1821,6374,1342,1229,694,1789,719,1480,548,66230,4314,53312,3652,8028,1821,1983,675,577,391,302,296,2028,724,0400000US08,710855,11436,82376,5086,1156,625,909,485,3364,953,1759,613,58373,3997,16815,3074,100912,5084,2696,805,1634,620,4183,989,6015,1332,81414,4668,4970,1042,163365,6207,5935,1435,10618,2082,17604,2520,25172,2586,97359,5100,6677,1130,112805,5343,14851,2181,21495,2397,23726,2648,18533,2321,29491,2792,4709,870,124291,4848,40116,3793,31191,2746,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
14519,2125,7721,1523,8020,1615,3530,1094,36547,3126,20662,2432,7553,1398,3760,1041,1658,645,1300,509,1614,561,51000,3599,39135,3400,6070,1563,1712,523,1173,487,691,343,2219,678,0400000US09,451382,9182,58330,3866,1146,542,910,520,3960,893,2442,922,36729,2838,13143,1880,73390,4374,3395,1067,4077,972,6163,1204,4437,996,51573,3783,3745,1072,92595,4839,5613,1395,2594,817,7080,1698,10194,1607,63605,3852,3509,1077,65191,4749,6384,1376,10338,2067,12457,2054,10878,2233,22234,2505,2900,863,74329,5466,19091,2152,21448,2472,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
3742,1092,1699,650,1603,717,685,511,8100,1418,5319,1080,1777,744,442,411,252,258,93,112,217,191,7860,1580,6492,1266,975,753,95,121,0,189,0,189,298,255,0400000US10,96024,4093,12544,1832,212,279,38,64,491,317,158,154,8160,1524,3485,1001,14582,2169,786,484,402,269,1088,514,328,239,11037,1833,941,474,19481,2490,485,293,433,249,1652,652,1750,604,13584,2142,1577,876,15110,1778,1681,647,3161,862,3126,794,3259,888,2939,850,944,498,18347,2245,5308,1107,5310,1492,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
4600,1211,4848,1197,4617,1026,738,507,14432,2089,5219,1212,3127,952,2587,636,2097,805,1075,473,327,293,37090,2708,22943,2137,7211,1293,3880,1230,1339,476,1228,686,489,260,0400000US11,161138,4370,25661,2422,677,434,566,346,2058,837,924,486,15565,1828,5871,1057,18756,2531,1696,670,577,309,998,442,709,341,14214,2223,562,395,21273,2523,2379,845,415,232,739,346,2349,903,14762,2188,629,372,18372,2029,1034,471,1423,573,4032,1069,3145,873,8390,1741,348,248,25554,2485,5253,1174,5498,1206,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
70008,4802,39189,4119,39135,3883,16004,2351,186592,8400,107317,6425,45059,3849,16948,2463,5894,1279,5327,1164,6047,1462,185944,7839,153031,6915,17016,2109,6219,1463,2504,786,1745,886,5429,1119,0400000US12,2539102,20898,352885,11391,2165,684,4069,1199,11614,1682,7830,1560,224055,9181,103152,6916,423132,13198,7454,1385,5263,1172,13443,1772,17117,2548,356562,11577,23293,3176,573098,13788,14526,2253,24573,3123,45790,3684,77226,4744,387045,12343,23938,2606,416115,11561,39517,3710,70695,4456,98043,5429,76571,5905,116567,5418,14722,2159,401336,10311,123134,5738,113866,5683,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
