GEO_ID,B25102_001E,B25102_001M,B25102_002E,B25102_002M,B25102_003E,B25102_003M,B25102_004E,B25102_004M,B25102_005E,B25102_005M,B25102_006E,B25102_006M,B25102_007E,B25102_007M,B25102_008E,B25102_008M,B25102_009E,B25102_009M,B25102_010E,B25102_010M,B25102_011E,B25102_011M,B25102_012E,B25102_012M,B25102_013E,B25102_013M,B25102_014E,B25102_014M,B25102_015E,B25102_015M,NAME,B25102_001MA,B25102_001EA,B25102_002EA,B25102_002MA,B25102_003MA,B25102_003EA,B25102_004MA,B25102_004EA,B25102_005MA,B25102_005EA,B25102_006EA,B25102_006MA,B25102_007EA,B25102_007MA,B25102_008MA,B25102_008EA,B25102_009EA,B25102_009MA,B25102_010EA,B25102_010MA,B25102_011EA,B25102_011MA,B25102_012EA,B25102_012MA,B25102_013EA,B25102_013MA,B25102_014EA,B25102_014MA,B25102_015EA,B25102_015MA,state
0400000US01,1240017,12974,719189,11998,423176,10175,145084,6549,36683,3191,24791,2508,19736,1825,69719,3868,520828,7917,292824,5869,59046,3428,13160,1576,9417,1490,8729,1197,137652,4486,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156107,3268,99127,3509,4309,817,9360,1242,6888,1026,21005,2051,48397,3319,9168,1022,56980,2687,8654,1150,5355,1017,3979,1128,5823,1107,17396,2142,15773,1063,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1490031,12319,962561,11844,180053,5543,339631,7425,154498,4929,153300,5763,108075,4788,27004,2094,527470,8593,161929,5111,140029,5355,60529,3298,58758,3373,45522,3162,60703,2825,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,739987,8706,412235,8171,194234,6262,113714,4999,30918,2955,29074,2367,20667,2232,23628,2436,327752,6053,193926,4275,61447,3522,17208,1902,12640,1436,8942,1239,33589,2621,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6804639,28833,4941183,28332,264853,7601,577888,11953,430367,10081,848927,14791,2733094,23264,86054,3308,1863456,15586,324144,6820,373042,7769,178167,5277,274086,7111,566438,11997,147579,5691,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1291945,10661,934605,10783,150715,5796,292087,6308,158281,5844,169825,4932,151202,5046,12495,1614,357340,6897,102399,4484,101482,4352,47318,2772,51383,2966,44602,2911,10156,1241,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,888478,8542,614989,8583,12995,1434,9757,1445,9479,1492,42564,3187,531876,9114,8318,1225,273489,6462,10409,1374,7460,1099,5131,981,21866,2170,220240,6254,8383,1187,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243047,3975,165067,4059,36586,2360,53732,2792,25969,2362,26777,2751,17180,1488,4823,1022,77980,3302,33100,2397,18378,1856,5608,875,7377,1119,6339,922,7178,1139,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110513,3814,84271,3620,7124,1165,12513,1469,8468,1246,15680,1956,37319,2361,3167,714,26242,2017,3795,786,5696,985,2388,724,3320,928,10013,1198,1030,373,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4672482,24352,2766041,21294,474482,10455,662269,12842,333520,10412,489280,11713,724206,13237,82284,4358,1906441,20472,520591,11365,421185,9722,172758,6113,243644,7031,364085,9208,184178,6165,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
