GEO_ID,B25101_001E,B25101_001M,B25101_002E,B25101_002M,B25101_003E,B25101_003M,B25101_004E,B25101_004M,B25101_005E,B25101_005M,B25101_006E,B25101_006M,B25101_007E,B25101_007M,B25101_008E,B25101_008M,B25101_009E,B25101_009M,B25101_010E,B25101_010M,B25101_011E,B25101_011M,B25101_012E,B25101_012M,B25101_013E,B25101_013M,B25101_014E,B25101_014M,B25101_015E,B25101_015M,B25101_016E,B25101_016M,B25101_017E,B25101_017M,B25101_018E,B25101_018M,B25101_019E,B25101_019M,B25101_020E,B25101_020M,B25101_021E,B25101_021M,B25101_022E,B25101_022M,B25101_023E,B25101_023M,B25101_024E,B25101_024M,B25101_025E,B25101_025M,B25101_026E,B25101_026M,B25101_027E,B25101_027M,B25101_028E,B25101_028M,B25101_029E,B25101_029M,B25101_030E,B25101_030M,B25101_031E,B25101_031M,B25101_032E,B25101_032M,B25101_033E,B25101_033M,B25101_034E,B25101_034M,B25101_035E,B25101_035M,B25101_036E,B25101_036M,B25101_037E,B25101_037M,B25101_038E,B25101_038M,B25101_039E,B25101_039M,B25101_040E,B25101_040M,B25101_041E,B25101_041M,B25101_042E,B25101_042M,B25101_043E,B25101_043M,B25101_044E,B25101_044M,B25101_045E,B25101_045M,NAME,B25101_001EA,B25101_001MA,B25101_002MA,B25101_002EA,B25101_003MA,B25101_003EA,B25101_004EA,B25101_004MA,B25101_005EA,B25101_005MA,B25101_006EA,B25101_006MA,B25101_007MA,B25101_007EA,B25101_008EA,B25101_008MA,B25101_009MA,B25101_009EA,B25101_010MA,B25101_010EA,B25101_011EA,B25101_011MA,B25101_012EA,B25101_012MA,B25101_013MA,B25101_013EA,B25101_014EA,B25101_014MA,B25101_015MA,B25101_015EA,B25101_016EA,B25101_016MA,B25101_017MA,B25101_017EA,B25101_018EA,B25101_018MA,B25101_019MA,B25101_019EA,B25101_020EA,B25101_020MA,B25101_021MA,B25101_021EA,B25101_022MA,B25101_022EA,B25101_023EA,B25101_023MA,B25101_024EA,B25101_024MA,B25101_025MA,B25101_025EA,B25101_026EA,B25101_026MA,B25101_027EA,B25101_027MA,B25101_028EA,B25101_028MA,B25101_029MA,B25101_029EA,B25101_030EA,B25101_030MA,B25101_031MA,B25101_031EA,B25101_032MA,B25101_032EA,B25101_033EA,B25101_033MA,B25101_034EA,B25101_034MA,B25101_035EA,B25101_035MA,B25101_036EA,B25101_036MA,B25101_037MA,B25101_037EA,B25101_038EA,B25101_038MA,B25101_039MA,B25101_039EA,B25101_040EA,B25101_040MA,B25101_041MA,B25101_041EA,B25101_042MA,B25101_042EA,B25101_043MA,B25101_043EA,B25101_044EA,B25101_044MA,B25101_045MA,B25101_045EA,state
0400000US01,1240017,12974,719189,11998,58806,4027,206,185,2419,737,56181,3883,84807,4141,4162,1006,18791,1883,61854,3243,104491,4787,20362,1673,45989,3052,38140,3026,159067,6756,74134,4670,62155,4263,22778,2140,307113,8655,241832,7114,54951,3517,10330,1594,4905,1149,520828,7917,119228,4685,33219,2732,29958,2072,56051,3268,111671,4256,88224,3917,17996,1572,5451,886,83185,3656,79719,3698,2587,654,879,411,89382,4361,88759,4326,623,282,0,192,107955,4867,107697,4875,258,329,0,192,9407,1471,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156107,3268,99127,3509,3528,595,47,55,12,15,3469,600,4420,696,83,56,254,137,4083,681,7405,1154,258,132,1758,690,5389,920,15928,1810,2941,661,5238,1142,7749,1227,67672,3696,39115,2898,22802,2084,5755,1082,174,166,56980,2687,7030,871,1240,344,1127,397,4663,789,7304,1066,4218,920,1807,500,1279,385,7462,1193,4801,935,2579,888,82,63,10519,1714,9654,1669,679,386,186,212,24516,2125,24287,2123,229,220,0,147,149,146,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1490031,12319,962561,11844,68109,3762,409,281,724,335,66976,3702,103824,5083,3826,913,14337,1543,85661,4629,128166,5415,15874,1873,45585,3342,66707,4018,199219,7127,62562,3730,83791,3905,52866,3313,453754,8210,315675,7454,108009,4291,30070,2771,9489,1533,527470,8593,100845,4021,28216,2285,25238,2447,47391,3168,111814,4576,76922,4019,22345,2246,12547,1772,82307,3783,74640,3515,6621,1255,1046,446,92817,3769,90549,3660,1752,587,516,567,127451,4834,126881,4728,490,307,80,132,12236,1874,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,739987,8706,412235,8171,37410,2707,395,242,725,282,36290,2688,54538,3509,3070,879,17029,1900,34439,2924,61391,4081,17438,2110,27024,2203,16929,1825,90267,4796,48560,3448,32080,2994,9627,1737,165572,5535,137516,4902,23430,2508,4626,1275,3057,1004,327752,6053,73521,3576,26083,2203,20279,2092,27159,2172,71267,3993,59760,3820,8680,1279,2827,622,54918,3282,52710,3195,1982,569,226,207,59361,3714,58793,3656,568,517,0,192,63917,3496,63917,3496,0,192,0,192,4768,1030,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6804639,28833,4941183,28332,238005,7171,852,436,2250,623,234903,7155,354329,9891,7644,1238,20118,1969,326567,9259,450923,10364,23931,2280,65535,4082,361457,8665,828897,14086,100519,4660,231007,7442,497371,9210,3033851,22019,1353917,18457,1043630,13848,636304,11439,35178,3882,1863456,15586,292276,7931,58773,3932,49723,3140,183780,6000,315526,7410,167470,5293,79296,4118,68760,3927,257806,6280,203492,5905,39041,2798,15273,1587,313641,7285,285922,6921,21658,2512,6061,1157,658392,9505,648079,9441,7899,1241,2414,537,25815,2348,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1291945,10661,934605,10783,45408,3324,110,124,520,371,44778,3264,77513,4135,1662,571,7925,1449,67926,3684,101416,4786,9006,1505,26205,2659,66205,3914,176026,5876,37174,2710,75914,3919,62938,4016,529675,8579,342466,6707,148827,5401,38382,2738,4567,1150,357340,6897,55693,2704,10977,1318,13650,1853,31066,2307,61317,2806,40592,2149,14065,1880,6660,1296,49706,3449,45679,3411,3061,869,966,454,64496,3383,63215,3301,1014,465,267,161,122482,4808,121728,4860,657,364,97,117,3646,689,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,888478,8542,614989,8583,18549,2125,0,201,147,139,18402,2104,33790,2998,147,153,1175,469,32468,2980,46182,3373,1631,617,6080,1223,38471,2989,103121,5110,8933,1552,29701,2574,64487,4119,410527,7677,209632,5778,138836,6107,62059,3751,2820,766,273489,6462,32375,2742,731,424,1833,664,29811,2543,41594,3012,4607,1007,12809,1624,24178,2297,36545,2266,13612,1504,16789,1632,6144,1002,47686,2957,34571,2401,10384,1304,2731,655,112219,4814,107709,4619,3544,706,966,416,3070,793,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243047,3975,165067,4059,9002,1437,86,100,74,86,8842,1434,14113,1837,178,146,1488,532,12447,1694,18084,2073,1965,704,4595,838,11524,1597,33623,2538,7655,1488,13849,1806,12119,1692,89186,3537,59214,3545,24375,2587,5597,1185,1059,453,77980,3302,12800,1505,1912,611,3734,914,7154,1132,14984,1616,9122,1185,3795,1043,2067,463,12835,1643,11079,1576,1323,485,433,252,14994,1429,14525,1408,469,269,0,189,21535,1706,21535,1706,0,189,0,189,832,453,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110513,3814,84271,3620,3623,837,40,64,53,85,3530,847,3321,914,150,154,148,147,3023,930,4478,927,383,308,933,445,3162,822,10162,1619,1671,558,2774,769,5717,1276,62102,3430,33764,2736,19846,2149,8492,1393,585,379,26242,2017,3211,843,337,213,311,229,2563,803,3396,1021,1651,608,694,361,1051,660,2466,630,1922,569,300,194,244,189,4682,916,4043,835,551,409,88,145,11886,1388,11249,1390,555,301,82,91,601,337,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4672482,24352,2766041,21294,238600,8804,828,325,2862,744,234910,8823,338282,10405,10754,1229,40908,3319,286620,9533,377292,9854,42763,2946,113850,5185,220679,8790,587329,12204,157376,6792,230755,6466,199198,7617,1200832,15993,744362,14175,329230,8495,127240,5494,23706,2416,1906441,20472,368576,8803,82501,4361,68394,3977,217681,6538,394461,8689,233630,6970,95400,4638,65431,3506,306855,9297,255312,8497,37722,3232,13821,1694,320968,9113,299095,8744,14552,1649,7321,1062,478048,9304,465018,8841,9981,1532,3049,888,37533,3284,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
