GEO_ID,C23002G_001E,C23002G_001M,C23002G_002E,C23002G_002M,C23002G_003E,C23002G_003M,C23002G_004E,C23002G_004M,C23002G_005E,C23002G_005M,C23002G_006E,C23002G_006M,C23002G_007E,C23002G_007M,C23002G_008E,C23002G_008M,C23002G_009E,C23002G_009M,C23002G_010E,C23002G_010M,C23002G_011E,C23002G_011M,C23002G_012E,C23002G_012M,C23002G_013E,C23002G_013M,C23002G_014E,C23002G_014M,C23002G_015E,C23002G_015M,C23002G_016E,C23002G_016M,C23002G_017E,C23002G_017M,C23002G_018E,C23002G_018M,C23002G_019E,C23002G_019M,C23002G_020E,C23002G_020M,C23002G_021E,C23002G_021M,C23002G_022E,C23002G_022M,C23002G_023E,C23002G_023M,C23002G_024E,C23002G_024M,C23002G_025E,C23002G_025M,C23002G_026E,C23002G_026M,C23002G_027E,C23002G_027M,NAME,C23002G_001MA,C23002G_001EA,C23002G_002EA,C23002G_002MA,C23002G_003EA,C23002G_003MA,C23002G_004MA,C23002G_004EA,C23002G_005EA,C23002G_005MA,C23002G_006EA,C23002G_006MA,C23002G_007MA,C23002G_007EA,C23002G_008EA,C23002G_008MA,C23002G_009MA,C23002G_009EA,C23002G_010EA,C23002G_010MA,C23002G_011EA,C23002G_011MA,C23002G_012EA,C23002G_012MA,C23002G_013EA,C23002G_013MA,C23002G_014MA,C23002G_014EA,C23002G_015MA,C23002G_015EA,C23002G_016EA,C23002G_016MA,C23002G_017EA,C23002G_017MA,C23002G_018EA,C23002G_018MA,C23002G_019EA,C23002G_019MA,C23002G_020MA,C23002G_020EA,C23002G_021EA,C23002G_021MA,C23002G_022MA,C23002G_022EA,C23002G_023MA,C23002G_023EA,C23002G_024MA,C23002G_024EA,C23002G_025MA,C23002G_025EA,C23002G_026EA,C23002G_026MA,C23002G_027MA,C23002G_027EA,state
0400000US01,44758,3599,20987,1990,19206,1909,13010,1823,206,238,12804,1841,10909,1715,1895,783,6196,1308,1781,542,347,295,347,295,0,192,1434,491,23771,2641,20955,2489,10304,1802,54,95,10250,1806,8926,1657,1324,519,10651,1797,2816,695,152,121,137,119,15,24,2664,690,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33766,3126,16870,2422,16163,2397,12075,2047,611,410,11464,1921,9463,1696,2001,776,4088,1066,707,375,369,290,369,290,0,147,338,214,16896,1759,16216,1731,12160,1673,131,199,12029,1685,11099,1678,930,466,4056,905,680,328,161,190,161,190,0,147,519,300,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,120483,7594,58970,4560,54401,4449,37943,3882,484,350,37459,3941,30830,3408,6629,1653,16458,2126,4569,762,1054,455,845,370,209,288,3515,728,61513,4538,55035,4251,34391,3128,124,153,34267,3125,30341,3132,3926,1041,20644,2757,6478,961,636,308,636,308,0,203,5842,897,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,35932,2811,18221,2022,16413,1901,10783,1452,36,64,10747,1437,8938,1422,1809,844,5630,1192,1808,608,392,342,392,342,0,192,1416,486,17711,2012,14171,1701,8300,1335,0,192,8300,1335,7765,1322,535,305,5871,1413,3540,887,215,210,215,210,0,192,3325,876,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1033276,21079,513679,12218,477564,11706,347847,8953,3456,976,344391,9117,297875,8240,46516,3531,129717,6347,36115,2606,7451,1336,7015,1285,436,266,28664,2274,519597,12833,471699,12127,309254,9161,885,389,308369,9147,270345,8311,38024,3375,162445,6282,47898,3337,6309,1068,5898,1021,411,234,41589,3082,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,112554,6721,56901,4203,53699,4126,40897,3690,1696,828,39201,3608,33788,2999,5413,1450,12802,2268,3202,718,492,260,451,246,41,70,2710,651,55653,3910,51632,3571,37006,3029,101,131,36905,3059,32369,2914,4536,1216,14626,1962,4021,1030,721,545,721,545,0,195,3300,830,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,57831,5217,28394,3475,26166,3299,19003,2835,328,206,18675,2817,15292,2523,3383,1031,7163,1469,2228,659,725,348,680,341,45,72,1503,551,29437,3100,27126,2945,18211,2238,0,201,18211,2238,16240,1955,1971,793,8915,1594,2311,714,196,174,196,174,0,201,2115,690,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,12130,2786,5825,1810,5383,1746,4054,1351,0,189,4054,1351,3246,1233,808,612,1329,827,442,281,208,200,208,200,0,189,234,187,6305,1402,5511,1367,3481,949,0,189,3481,949,3267,967,214,171,2030,817,794,331,232,187,232,187,0,189,562,264,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,278691,12694,137335,8092,125803,7794,91099,6432,985,408,90114,6384,76028,5754,14086,2125,34704,3568,11532,1539,1942,683,1763,651,179,175,9590,1337,141356,7700,125972,7427,85561,5804,159,128,85402,5815,76041,5306,9361,1642,40411,3668,15384,1810,2470,792,2283,794,187,176,12914,1545,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
