GEO_ID,C24060_001E,C24060_001M,C24060_002E,C24060_002M,C24060_003E,C24060_003M,C24060_004E,C24060_004M,C24060_005E,C24060_005M,C24060_006E,C24060_006M,C24060_007E,C24060_007M,C24060_008E,C24060_008M,C24060_009E,C24060_009M,C24060_010E,C24060_010M,C24060_011E,C24060_011M,C24060_012E,C24060_012M,C24060_013E,C24060_013M,C24060_014E,C24060_014M,C24060_015E,C24060_015M,C24060_016E,C24060_016M,C24060_017E,C24060_017M,C24060_018E,C24060_018M,C24060_019E,C24060_019M,C24060_020E,C24060_020M,C24060_021E,C24060_021M,C24060_022E,C24060_022M,C24060_023E,C24060_023M,C24060_024E,C24060_024M,C24060_025E,C24060_025M,C24060_026E,C24060_026M,C24060_027E,C24060_027M,C24060_028E,C24060_028M,C24060_029E,C24060_029M,C24060_030E,C24060_030M,C24060_031E,C24060_031M,C24060_032E,C24060_032M,C24060_033E,C24060_033M,C24060_034E,C24060_034M,C24060_035E,C24060_035M,C24060_036E,C24060_036M,NAME,C24060_001EA,C24060_001MA,C24060_002EA,C24060_002MA,C24060_003EA,C24060_003MA,C24060_004MA,C24060_004EA,C24060_005EA,C24060_005MA,C24060_006MA,C24060_006EA,C24060_007EA,C24060_007MA,C24060_008EA,C24060_008MA,C24060_009EA,C24060_009MA,C24060_010EA,C24060_010MA,C24060_011MA,C24060_011EA,C24060_012EA,C24060_012MA,C24060_013EA,C24060_013MA,C24060_014EA,C24060_014MA,C24060_015EA,C24060_015MA,C24060_016EA,C24060_016MA,C24060_017MA,C24060_017EA,C24060_018EA,C24060_018MA,C24060_019EA,C24060_019MA,C24060_020MA,C24060_020EA,C24060_021MA,C24060_021EA,C24060_022MA,C24060_022EA,C24060_023MA,C24060_023EA,C24060_024EA,C24060_024MA,C24060_025EA,C24060_025MA,C24060_026MA,C24060_026EA,C24060_027EA,C24060_027MA,C24060_028MA,C24060_028EA,C24060_029EA,C24060_029MA,C24060_030EA,C24060_030MA,C24060_031MA,C24060_031EA,C24060_032EA,C24060_032MA,C24060_033MA,C24060_033EA,C24060_034MA,C24060_034EA,C24060_035EA,C24060_035MA,C24060_036EA,C24060_036MA,state
0400000US01,2010934,16887,670367,12195,343189,9841,480083,10831,199764,7516,317531,9293,1391521,13748,352007,8663,232936,7772,374417,9989,149818,6448,282343,8694,52433,3535,27426,2802,4152,1201,11960,1817,5836,1160,3059,1007,130614,5777,79981,4193,23836,2504,19668,2404,2498,716,4631,985,326226,9284,178882,7234,53923,3410,56213,3838,17682,2154,19526,2455,110140,6264,32071,3259,28342,2489,17825,2225,23930,2633,7972,1430,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,352822,5552,126448,5363,57306,3954,86332,4943,44565,2765,38171,3505,203560,5716,47502,3763,34195,3660,61317,4277,30262,2230,30284,3142,9751,1716,5190,1248,647,270,2133,667,1202,467,579,294,35185,2708,20034,1884,6101,1311,6316,1320,1980,1005,754,345,82824,4274,45591,3013,11938,1455,14885,1940,6221,1083,4189,747,21502,2454,8131,1541,4425,1019,1681,538,4900,939,2365,888,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2791546,16636,980047,15191,562586,12334,725491,12592,262806,7927,260616,9320,1931449,15564,559104,10465,377744,10319,575575,11012,197941,7619,221085,9017,102764,5100,49699,3618,11147,1952,23979,2681,12943,1888,4996,1320,178461,7412,105918,5971,28702,2582,31053,3514,5547,1469,7241,1364,410398,9932,214307,7690,96445,5005,63592,4228,19213,2403,16841,1686,168474,7449,51019,3794,48548,3920,31292,2998,27162,2699,10453,1864,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1241828,12352,396316,9537,212653,8157,296595,7794,129309,5530,206955,7729,833849,9028,193483,7022,133895,6325,232086,6770,94364,5017,180021,7288,38123,3272,17659,2328,2960,949,9390,1274,5390,1241,2724,869,94368,4935,55561,4150,15706,1872,15873,2025,1708,639,5520,1357,198558,6487,109603,5130,38225,3264,28391,2807,10751,1720,11588,1626,76930,4533,20010,2160,21867,2387,10855,1327,17096,2217,7102,1367,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17132696,40053,6317547,33171,3234916,32153,4094589,35194,1595941,22592,1889703,21950,11677579,49237,3564713,30540,2114120,25826,3131150,32069,1233908,19665,1633688,21531,560081,11906,313007,9109,49974,4586,130764,6921,40586,3491,25750,2441,1140062,19197,704026,14740,149987,6817,203833,7897,28971,2820,53245,3760,2308375,25789,1227755,18381,530564,12554,379075,9787,85638,4582,85343,4846,1446599,24861,508046,14409,390271,13061,249767,10954,206838,7593,91677,5050,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2593798,15783,1040052,14541,462604,10768,617145,12960,237072,8030,236925,8222,1733076,16557,573896,10050,309483,9398,476397,11588,174276,7141,199024,7439,130888,6206,65828,3874,13070,2117,32153,3139,14329,2060,5508,1197,199093,7008,129468,5892,28086,2679,30324,2918,4732,1117,6483,1435,358894,8061,203554,6113,68998,3780,52251,3974,17341,2275,16750,1973,171847,6894,67306,3917,42967,3637,26020,2407,26394,2413,9160,1715,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1771141,10471,715984,12921,332069,9415,420559,10397,132592,6564,169937,7081,1193508,13322,402497,10024,223176,8491,324430,9417,93327,5497,150078,6815,61312,4132,31401,2636,6433,1570,13353,1438,7158,1415,2967,1087,169228,6228,108226,4599,23300,3063,30136,2787,3376,1033,4190,1136,229771,6573,131136,5893,48595,3741,34039,2952,8743,1503,7258,1451,117322,5612,42724,3131,30565,3154,18601,2315,19988,2412,5444,1113,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,430247,5961,165955,5578,83338,5238,103454,5079,33344,3191,44156,3348,297164,5965,98084,4604,56903,4761,80110,4442,24735,2870,37332,3031,14089,1793,6146,1097,1788,792,2737,715,2558,725,860,538,41786,3553,23888,2334,7578,1477,7574,1561,688,367,2058,907,61200,3840,32544,2451,12697,1761,10639,1832,2940,675,2380,1102,16008,2089,5293,1051,4372,1253,2394,683,2423,688,1526,722,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,333111,4763,205674,5209,51533,3994,56549,4056,8761,1896,10594,1788,162799,5708,80283,4298,36730,3435,33842,3145,4750,1294,7194,1448,8134,1443,6327,1324,530,326,621,400,561,481,95,113,64305,3168,48775,2780,4835,1183,8968,1511,1007,611,720,457,83350,4225,61796,3687,6616,1547,11900,1585,1505,725,1533,610,14523,1865,8493,1448,2822,753,1218,528,938,632,1052,535,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8459990,34236,2840400,27495,1755834,28091,2332493,26889,768599,18651,762664,15916,5913854,32867,1613311,18831,1245657,23405,1845057,25281,572837,17161,636992,14506,488716,12776,231788,8859,52047,4716,112265,5007,66853,5278,25763,3063,526558,14436,314329,10674,80012,5697,102675,5762,11460,1855,18082,2419,1042700,15047,544168,13342,225684,9096,186221,7388,39985,3344,46642,3654,488162,12258,136804,6114,152434,8263,86275,5832,77464,5963,35185,3532,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
