GEO_ID,B28004_001E,B28004_001M,B28004_002E,B28004_002M,B28004_003E,B28004_003M,B28004_004E,B28004_004M,B28004_005E,B28004_005M,B28004_006E,B28004_006M,B28004_007E,B28004_007M,B28004_008E,B28004_008M,B28004_009E,B28004_009M,B28004_010E,B28004_010M,B28004_011E,B28004_011M,B28004_012E,B28004_012M,B28004_013E,B28004_013M,B28004_014E,B28004_014M,B28004_015E,B28004_015M,B28004_016E,B28004_016M,B28004_017E,B28004_017M,B28004_018E,B28004_018M,B28004_019E,B28004_019M,B28004_020E,B28004_020M,B28004_021E,B28004_021M,B28004_022E,B28004_022M,B28004_023E,B28004_023M,B28004_024E,B28004_024M,B28004_025E,B28004_025M,NAME,B28004_001MA,B28004_001EA,B28004_002EA,B28004_002MA,B28004_003EA,B28004_003MA,B28004_004MA,B28004_004EA,B28004_005EA,B28004_005MA,B28004_006EA,B28004_006MA,B28004_007MA,B28004_007EA,B28004_008MA,B28004_008EA,B28004_009EA,B28004_009MA,B28004_010MA,B28004_010EA,B28004_011MA,B28004_011EA,B28004_012EA,B28004_012MA,B28004_013MA,B28004_013EA,B28004_014MA,B28004_014EA,B28004_015EA,B28004_015MA,B28004_016EA,B28004_016MA,B28004_017EA,B28004_017MA,B28004_018EA,B28004_018MA,B28004_019MA,B28004_019EA,B28004_020EA,B28004_020MA,B28004_021EA,B28004_021MA,B28004_022MA,B28004_022EA,B28004_023EA,B28004_023MA,B28004_024EA,B28004_024MA,B28004_025MA,B28004_025EA,state
0400000US13,3546965,15286,325705,10028,1849,678,142794,5515,181062,7120,406527,10215,3600,954,189923,7529,213004,6960,598023,11187,7141,1644,356853,9399,234029,7915,497780,12291,4930,845,361467,10418,131383,6712,629857,10689,4723,1067,515557,9949,109577,5325,1089073,15599,5721,1123,994928,14448,88424,5309,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,450120,4406,25727,2963,321,328,12960,1832,12446,2114,31092,2824,429,340,15683,1846,14980,2186,55428,3470,734,427,34103,2881,20591,2129,50070,3014,473,352,37220,2840,12377,1689,85002,4420,702,284,70096,4107,14204,1795,202801,5068,1710,513,183876,4967,17215,2063,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,588489,5467,43379,3779,482,313,20382,2581,22515,2604,62844,4238,1361,521,31834,2314,29649,3416,108815,5201,2249,745,67445,3827,39121,3503,97820,4477,2389,830,71033,4051,24398,2836,119695,6011,1826,660,99804,5634,18065,2656,155936,5313,1362,509,140540,4862,14034,2214,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4783421,13914,368440,8507,3337,861,164459,6520,200644,5527,462008,11096,4154,818,209486,6813,248368,7992,701059,10872,11684,1914,406853,9059,282522,8260,621161,10910,6836,1155,445431,9620,168894,5981,854052,13393,10565,1278,687239,11827,156248,6280,1776701,15976,10818,1402,1624668,15746,141215,4934,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2498395,10688,198810,5035,2136,653,78908,3618,117766,4636,281503,8541,3733,768,121048,5728,156722,6343,437963,9185,7881,1168,254013,7151,176069,6423,385874,8928,6492,1274,267037,7539,112345,4336,475603,10117,7785,1095,379455,9440,88363,4204,718642,9313,7829,1343,639715,8841,71098,3969,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1236209,7287,79286,4469,1040,411,37243,3067,41003,2832,124401,4348,1821,452,52446,3038,70134,3372,201200,5684,3272,719,116280,4515,81648,4013,183264,6065,3333,657,127889,5192,52042,3416,247138,6067,3939,764,199718,5543,43481,2487,400920,6898,3367,776,358539,6491,39014,2587,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1113729,6143,78250,3774,545,351,35686,2845,42019,3227,110154,4673,1200,483,48605,3371,60349,3683,191372,5748,1778,452,113991,4960,75603,3521,165587,5051,2186,641,118316,4079,45085,3368,212072,6999,2519,714,171224,6385,38329,2603,356294,6542,2490,814,325329,6391,28475,2284,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1705623,9376,171529,6220,1372,540,69218,3746,100939,4597,229987,7020,2756,770,97950,4429,129281,5474,297316,8398,4220,1028,169693,6856,123403,5238,253902,6480,3071,781,179966,5745,70865,4180,309378,7225,3548,820,248126,7244,57704,3877,443511,8355,2951,870,403414,7793,37146,2503,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1728149,9677,184282,6417,1762,635,63558,4130,118962,5249,232001,7872,2507,761,87145,5497,142349,5563,294322,8887,3057,866,158590,6663,132675,5870,229238,7582,2983,942,150069,5939,76186,4669,285428,8212,2882,856,216638,7838,65908,3616,502878,8360,2610,586,443862,8456,56406,3895,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,547686,5711,40885,3128,465,254,18775,1955,21645,2521,69162,3622,1154,345,33483,2635,34525,2628,98525,4112,1480,378,57925,3133,39120,2770,79731,3664,1432,417,60752,3056,17547,1850,103768,3508,1379,374,85850,3396,16539,1732,155615,4458,1235,341,142481,4552,11899,1403,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2161680,8942,120858,5635,1002,362,56350,4364,63506,3837,142206,6292,1755,659,63102,4111,77349,4352,239185,7295,3434,909,145585,6384,90166,4178,231020,6487,2882,775,166818,5748,61320,3552,376788,7881,5482,1114,301316,6784,69990,4291,1051623,9710,5743,1162,973419,10003,72461,4091,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2536321,9232,165788,6503,1048,386,83977,4468,80763,4840,238465,7298,2285,824,116429,4778,119751,5448,311795,8442,3742,938,199173,6663,108880,5798,262867,7995,2645,716,196854,7155,63368,3790,412184,10359,3709,983,345600,9330,62875,3418,1145222,12833,3932,858,1076199,13099,65091,4344,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3832466,10485,324299,7484,2968,599,135697,4412,185634,5948,438057,8477,5458,978,194440,6450,238159,6063,647936,10375,10593,1294,373543,8687,263800,6258,562615,10313,9678,1248,395566,8056,157371,5229,707525,10544,10543,1022,566416,9989,130566,4160,1152034,12447,9493,1144,1043821,10927,98720,4592,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2119954,6871,119711,4191,1593,501,55737,3279,62381,3311,187067,5603,2696,577,89371,4772,95000,3890,292601,7998,4717,856,177400,6417,110484,4791,273090,6274,6152,834,194334,5678,72604,3795,407481,8371,7245,838,333509,7494,66727,3609,840004,8735,6338,862,771079,7973,62587,3538,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1091002,7807,130814,6381,998,643,41171,3132,88645,5345,173110,6293,2683,822,57034,4220,113393,5361,202614,7161,3196,971,95569,4688,103849,5050,157240,6252,2741,871,95780,5006,58719,3842,188620,6767,2546,770,134696,5652,51378,3216,238604,6749,1926,638,201873,6453,34805,3140,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2362853,9949,190739,6240,2302,845,79044,4568,109393,4495,279496,7666,2912,721,116170,5126,160414,5938,413829,8561,6331,1073,235873,7004,171625,6729,356067,8349,5937,1028,249451,6891,100679,5170,451615,9413,4955,937,362191,8510,84469,4343,671107,9016,6774,1076,606516,8662,57817,4037,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
