GEO_ID,B10060_001E,B10060_001M,B10060_002E,B10060_002M,B10060_003E,B10060_003M,B10060_004E,B10060_004M,B10060_005E,B10060_005M,B10060_006E,B10060_006M,B10060_007E,B10060_007M,B10060_008E,B10060_008M,B10060_009E,B10060_009M,B10060_010E,B10060_010M,B10060_011E,B10060_011M,B10060_012E,B10060_012M,B10060_013E,B10060_013M,B10060_014E,B10060_014M,B10060_015E,B10060_015M,B10060_016E,B10060_016M,NAME,B10060_001EA,B10060_001MA,B10060_002EA,B10060_002MA,B10060_003EA,B10060_003MA,B10060_004MA,B10060_004EA,B10060_005MA,B10060_005EA,B10060_006MA,B10060_006EA,B10060_007EA,B10060_007MA,B10060_008EA,B10060_008MA,B10060_009EA,B10060_009MA,B10060_010MA,B10060_010EA,B10060_011MA,B10060_011EA,B10060_012EA,B10060_012MA,B10060_013EA,B10060_013MA,B10060_014EA,B10060_014MA,B10060_015MA,B10060_015EA,B10060_016MA,B10060_016EA,state
0400000US01,122379,6359,91185,5448,47975,3682,28838,3148,19137,2299,43210,4473,8308,2055,3374,890,2859,815,515,339,4934,1612,22886,2880,11507,2169,9000,1881,2507,828,11379,1940,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15564,2047,13142,1792,7081,1333,5059,1162,2022,479,6061,1067,1524,619,801,449,548,385,253,225,723,413,898,551,473,436,157,221,316,267,425,319,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,159959,9264,128874,7223,47807,4177,29595,3369,18212,2143,81067,5730,15857,3384,5894,1665,4260,1347,1634,721,9963,2583,15228,2601,5662,1238,3589,992,2073,602,9566,2099,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66665,4100,51678,3649,29440,3028,17760,2204,11680,1721,22238,2428,4179,1211,2540,1002,1527,725,1013,577,1639,713,10808,2011,6394,1532,3541,974,2853,1048,4414,1339,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1125392,19034,917119,16682,232558,7665,137075,6260,95483,4933,684561,15378,172338,7740,51617,4094,35153,3386,16464,2534,120721,6325,35935,4096,11624,2096,7651,1879,3973,1000,24311,3440,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100310,6042,85051,5300,32164,3911,20072,2859,12092,2006,52887,4006,9698,2275,3982,1243,3235,1266,747,446,5716,2009,5561,1434,2326,1109,1868,1022,458,306,3235,892,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,64927,4689,48606,4239,12286,2349,6863,2050,5423,1300,36320,3803,15921,2732,6756,1682,4900,1514,1856,736,9165,2037,400,419,0,201,0,201,0,201,400,419,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23749,2994,20054,2647,8965,1655,6342,1571,2623,816,11089,1924,1376,830,261,276,199,260,62,103,1115,766,2319,1088,1204,913,1026,876,178,191,1115,631,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10666,1540,6677,1185,2360,645,1029,494,1331,439,4317,1140,3989,979,1884,745,1531,749,353,237,2105,685,0,203,0,203,0,203,0,203,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468303,13938,371098,12553,118993,6986,65263,5499,53730,4573,252105,10788,61384,5653,19009,2838,12887,2567,6122,1603,42375,4372,35821,3961,16303,2603,9835,2152,6468,1512,19518,3103,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,252940,11456,197783,10089,79926,6348,49983,5137,29943,3380,117857,7687,22155,3245,10143,1970,8370,2025,1773,578,12012,2167,33002,3675,20381,3053,13698,2543,6683,1453,12621,2007,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,56241,4534,48405,4401,9616,1804,4738,1254,4878,1203,38789,3803,7797,1722,2076,831,1058,551,1018,515,5721,1468,39,67,0,185,0,185,0,185,39,67,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26088,3318,23268,3109,9481,2013,4979,1462,4502,1356,13787,2394,575,475,368,418,245,260,123,180,207,206,2245,888,873,441,520,426,353,239,1372,645,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,280128,9982,216748,8874,73021,4796,43012,3646,30009,3155,143727,7545,56182,5497,21832,2348,14112,2086,7720,1469,34350,4524,7198,1341,3221,828,2448,755,773,321,3977,1194,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,125600,6868,109353,6283,51871,4532,34536,3843,17335,2305,57482,4366,7871,1569,3728,981,2720,876,1008,470,4143,1239,8376,1583,5030,1311,4153,1305,877,414,3346,969,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
