GEO_ID,C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,NAME,C23002I_001EA,C23002I_001MA,C23002I_002MA,C23002I_002EA,C23002I_003EA,C23002I_003MA,C23002I_004EA,C23002I_004MA,C23002I_005MA,C23002I_005EA,C23002I_006EA,C23002I_006MA,C23002I_007EA,C23002I_007MA,C23002I_008MA,C23002I_008EA,C23002I_009MA,C23002I_009EA,C23002I_010MA,C23002I_010EA,C23002I_011EA,C23002I_011MA,C23002I_012MA,C23002I_012EA,C23002I_013MA,C23002I_013EA,C23002I_014EA,C23002I_014MA,C23002I_015MA,C23002I_015EA,C23002I_016MA,C23002I_016EA,C23002I_017EA,C23002I_017MA,C23002I_018MA,C23002I_018EA,C23002I_019MA,C23002I_019EA,C23002I_020EA,C23002I_020MA,C23002I_021MA,C23002I_021EA,C23002I_022EA,C23002I_022MA,C23002I_023EA,C23002I_023MA,C23002I_024MA,C23002I_024EA,C23002I_025EA,C23002I_025MA,C23002I_026EA,C23002I_026MA,C23002I_027MA,C23002I_027EA,state
0400000US04,1379547,2503,691946,1943,639676,2017,478585,5300,2556,988,476029,5299,427685,5999,48344,4254,161091,5788,52270,576,10316,1265,9233,1297,1083,505,41954,1368,687601,2008,623008,2113,378550,6760,443,244,378107,6746,333893,7762,44214,4174,244458,6857,64593,687,8586,1416,7927,1340,659,457,56007,1518,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,126165,2053,67413,2307,64515,2050,52667,2274,714,603,51953,2334,49782,2517,2171,901,11848,1881,2898,909,456,357,329,310,127,170,2442,865,58752,2065,55923,2258,34629,2712,101,181,34528,2720,31709,2640,2819,811,21294,2192,2829,1033,201,311,201,311,0,192,2628,974,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10480734,7173,5281283,4562,4900977,4544,3881608,13840,21130,2494,3860478,14189,3449735,15175,410743,8927,1019369,14849,380306,863,79552,3854,70917,3585,8635,1508,300754,4049,5199451,4919,4693324,4836,2955065,18205,2778,839,2952287,18177,2573365,18053,378922,10333,1738259,18789,506127,950,56094,3222,52456,3246,3638,982,450033,3197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,756505,3482,385887,3073,358022,3063,286003,4253,4108,1011,281895,4416,257349,4623,24546,2838,72019,3954,27865,679,4616,961,4465,935,151,141,23249,1130,370618,2388,335323,2526,223353,4308,688,544,222665,4351,197370,4714,25295,2422,111970,4693,35295,817,5401,930,4933,926,468,334,29894,1241,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,373877,1499,186612,1218,175006,1133,138785,2563,1115,658,137670,2759,120191,2914,17479,2344,36221,2682,11606,487,3464,923,3119,850,345,282,8142,939,187265,1127,171527,1245,120464,3813,849,674,119615,3838,105307,3781,14308,1878,51063,3543,15738,493,2290,675,2215,685,75,91,13448,835,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,54669,540,28430,620,27091,600,21267,1123,328,305,20939,1209,19172,1449,1767,844,5824,1130,1339,120,300,200,300,200,0,189,1039,243,26239,634,24901,622,14540,1421,0,189,14540,1421,12849,1643,1691,717,10361,1416,1338,217,111,131,111,131,0,189,1227,191,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,51071,293,26359,358,25016,358,20996,1015,530,351,20466,1030,18145,1138,2321,867,4020,1012,1343,-555555555,230,258,230,258,0,203,1113,259,24712,227,22669,228,18011,1056,33,79,17978,1056,16752,1105,1226,735,4658,1050,2043,-555555555,124,161,124,161,0,203,1919,161,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,11
0400000US12,3585425,3984,1757139,3336,1546696,3534,1238317,9778,6025,1173,1232292,9838,1125760,11352,106532,6916,308379,10018,210443,1497,41795,2267,37864,2210,3931,906,168648,2603,1828286,3246,1536003,3296,1030600,11181,1178,681,1029422,11046,922708,12644,106714,7226,505403,10826,292283,1698,28387,2348,26140,2200,2247,700,263896,3050,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,601876,3610,326678,3804,315970,3613,264403,4105,6592,1333,257811,4356,239645,5552,18166,3238,51567,4221,10708,1525,3045,881,2584,883,461,303,7663,1469,275198,3288,261180,3285,162024,5384,988,669,161036,5494,140798,5588,20238,2484,99156,5275,14018,1383,1724,543,1588,575,136,223,12294,1408,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,91356,609,47737,594,44607,653,34699,1393,5729,1154,28970,1854,26695,2045,2275,736,9908,1495,3130,363,735,273,735,273,0,185,2395,477,43619,523,39562,558,26175,1481,1176,625,24999,1605,22373,1565,2626,834,13387,1513,4057,415,942,302,942,302,0,185,3115,484,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
