GEO_ID,B18106_001E,B18106_001M,B18106_002E,B18106_002M,B18106_003E,B18106_003M,B18106_004E,B18106_004M,B18106_005E,B18106_005M,B18106_006E,B18106_006M,B18106_007E,B18106_007M,B18106_008E,B18106_008M,B18106_009E,B18106_009M,B18106_010E,B18106_010M,B18106_011E,B18106_011M,B18106_012E,B18106_012M,B18106_013E,B18106_013M,B18106_014E,B18106_014M,B18106_015E,B18106_015M,B18106_016E,B18106_016M,B18106_017E,B18106_017M,B18106_018E,B18106_018M,B18106_019E,B18106_019M,B18106_020E,B18106_020M,B18106_021E,B18106_021M,B18106_022E,B18106_022M,B18106_023E,B18106_023M,B18106_024E,B18106_024M,B18106_025E,B18106_025M,B18106_026E,B18106_026M,B18106_027E,B18106_027M,B18106_028E,B18106_028M,B18106_029E,B18106_029M,B18106_030E,B18106_030M,B18106_031E,B18106_031M,B18106_032E,B18106_032M,B18106_033E,B18106_033M,NAME,B18106_001MA,B18106_001EA,B18106_002MA,B18106_002EA,B18106_003EA,B18106_003MA,B18106_004EA,B18106_004MA,B18106_005MA,B18106_005EA,B18106_006MA,B18106_006EA,B18106_007MA,B18106_007EA,B18106_008EA,B18106_008MA,B18106_009EA,B18106_009MA,B18106_010MA,B18106_010EA,B18106_011EA,B18106_011MA,B18106_012MA,B18106_012EA,B18106_013EA,B18106_013MA,B18106_014EA,B18106_014MA,B18106_015EA,B18106_015MA,B18106_016EA,B18106_016MA,B18106_017MA,B18106_017EA,B18106_018EA,B18106_018MA,B18106_019EA,B18106_019MA,B18106_020EA,B18106_020MA,B18106_021EA,B18106_021MA,B18106_022EA,B18106_022MA,B18106_023MA,B18106_023EA,B18106_024EA,B18106_024MA,B18106_025EA,B18106_025MA,B18106_026EA,B18106_026MA,B18106_027EA,B18106_027MA,B18106_028EA,B18106_028MA,B18106_029MA,B18106_029EA,B18106_030EA,B18106_030MA,B18106_031EA,B18106_031MA,B18106_032EA,B18106_032MA,B18106_033EA,B18106_033MA,state
0400000US01,4463027,3655,2137360,5880,415809,3961,3494,928,412315,3906,531617,4933,4248,1195,527369,5029,887106,4678,30738,2607,856368,4945,190180,1968,10889,1614,179291,2287,112648,1728,14319,1596,98329,2215,2325667,4666,399681,3242,3136,1029,396545,3432,552135,3993,4830,1230,547305,4333,974608,3537,37271,3367,937337,4994,224389,1875,12284,1671,212105,2551,174854,1842,33426,2220,141428,2829,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,657543,1921,339435,2514,69544,1700,546,356,68998,1683,94246,2336,640,448,93606,2335,143384,1614,4450,1440,138934,2077,22353,942,1227,470,21126,921,9908,768,1555,686,8353,969,318108,1895,63636,1571,190,156,63446,1552,87427,1302,555,361,86872,1396,134719,1425,3291,946,131428,1560,20604,843,699,340,19905,914,11722,617,2336,638,9386,742,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6091145,2050,2985697,2855,602505,1744,6200,1222,596305,1978,751798,3251,7189,1655,744609,3628,1168289,3029,27469,3058,1140820,3905,275142,1670,9085,1603,266057,2168,187963,1227,15974,2132,171989,2466,3105448,2613,580919,1609,4413,1134,576506,1952,744824,2254,8770,1940,736054,3033,1235989,2375,27469,2819,1208520,3582,310038,1235,13178,1932,296860,2250,233678,1241,30436,2600,203242,2795,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2716833,2704,1326964,4604,268655,3444,3829,975,264826,3702,326777,4149,5442,1646,321335,4271,535726,3544,18335,2138,517391,3623,119768,1332,5797,990,113971,1687,76038,1155,8279,1296,67759,1642,1389869,4311,250289,3194,1992,635,248297,3213,327371,3255,2446,918,324925,3292,570026,3297,20878,2302,549148,4110,137191,1477,9269,1671,127922,2122,104992,1495,19031,1903,85961,2475,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35331067,5998,17399664,7701,3406028,3716,35607,2979,3370421,4972,4752433,6837,38655,3454,4713778,8379,7165481,6126,142508,6367,7022973,8391,1239368,2545,53514,3484,1185854,4189,836354,2691,110876,5000,725478,5516,17931403,6353,3251441,3540,22038,2621,3229403,4115,4621321,4381,30050,2934,4591271,4589,7437283,4136,172484,7245,7264799,7932,1428312,2553,83511,4853,1344801,5761,1193046,2975,239129,7330,953917,7857,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4839699,3499,2399000,4366,460882,3139,4417,874,456465,3236,631231,3992,5460,1432,625771,4256,1021905,3415,17326,2101,1004579,3613,181353,1445,5516,1322,175837,2046,103629,1327,10479,1430,93150,1909,2440699,4220,444736,3321,1766,629,442970,3320,613076,2786,2999,900,610077,2889,1038728,2995,19334,2340,1019394,3584,197218,1766,7808,1262,189410,2099,146941,1868,19895,2142,127046,2444,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3350671,1584,1621714,2540,301805,1678,2846,768,298959,1729,383635,1995,3499,994,380136,2343,709888,1833,12345,1742,697543,2522,133728,826,4393,1159,129335,1447,92658,1166,9910,1376,82748,1665,1728957,2490,291616,1458,2331,690,289285,1522,384055,1748,2041,832,382014,1893,758117,1793,12116,1678,746001,2579,154423,973,5040,1021,149383,1451,140746,1503,20262,1996,120484,2671,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,855267,1151,408863,1194,74358,711,1249,567,73109,911,100496,928,621,450,99875,1002,170223,1060,4576,933,165647,1483,39458,555,1290,445,38168,674,24328,538,2025,566,22303,769,446404,1126,72746,686,734,377,72012,780,105030,1268,1277,586,103753,1415,189389,1229,4629,1054,184760,1723,45855,526,1571,510,44284,745,33384,540,4894,877,28490,1041,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594772,656,277490,741,35045,410,664,385,34381,558,101450,559,674,526,100776,783,111773,630,2550,736,109223,844,17648,534,499,281,17149,549,11574,675,981,378,10593,714,317282,801,35181,411,285,285,34896,507,121093,343,506,389,120587,530,118837,521,3707,886,115130,998,22824,392,1314,580,21510,683,19347,497,2939,858,16408,916,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18171078,5381,8784022,8269,1510052,5559,16329,2247,1493723,5888,2048451,5131,17916,2733,2030535,5656,3615418,5769,86107,6428,3529311,8482,919338,3041,31687,2972,887651,4573,690763,3082,64819,4123,625944,5289,9387056,6304,1435734,4610,10855,1913,1424879,4733,2064048,4618,19455,3360,2044593,5886,3918978,5631,95525,5918,3823453,7272,1051243,2953,38516,3685,1012727,4706,917053,2929,131567,5762,785486,6107,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
