GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001EA,C27001D_001MA,C27001D_002EA,C27001D_002MA,C27001D_003MA,C27001D_003EA,C27001D_004EA,C27001D_004MA,C27001D_005MA,C27001D_005EA,C27001D_006MA,C27001D_006EA,C27001D_007EA,C27001D_007MA,C27001D_008MA,C27001D_008EA,C27001D_009EA,C27001D_009MA,C27001D_010MA,C27001D_010EA,state
0400000US01,58596,3012,14474,1764,13696,1926,778,663,38551,2102,29829,2443,8722,1568,5571,1043,4834,1006,737,578,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41283,2618,10869,1393,9137,1569,1732,864,26934,1707,18903,1828,8031,1572,3480,628,3451,629,29,59,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,190373,5211,39426,3093,34971,2895,4455,1386,131975,3013,109027,3854,22948,2966,18972,1013,17568,1048,1404,663,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,39141,2378,10312,1229,9369,1479,943,860,27090,1404,22009,1564,5081,1299,1739,641,1541,619,198,165,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5182866,17736,1003311,9805,947753,11324,55558,5150,3509776,11627,2868919,19325,640857,18043,669779,3312,649518,4209,20261,2557,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,149269,3628,35074,2411,33007,2552,2067,721,100790,2688,82646,3235,18144,2920,13405,1033,13125,1028,280,219,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147120,3610,34971,1882,32516,1948,2455,1063,102189,2541,87028,3321,15161,2901,9960,803,8773,859,1187,670,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33425,1180,7179,838,6149,966,1030,767,23381,759,20629,1028,2752,904,2865,438,1835,698,1030,500,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22569,1408,2327,588,2010,606,317,341,18580,1062,16973,1257,1607,795,1662,398,1662,398,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,507202,6853,107406,4182,93607,4527,13799,2618,345036,4510,253313,6771,91723,7071,54760,1882,50563,2142,4197,1283,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
