GEO_ID,B20017D_001E,B20017D_001M,B20017D_002E,B20017D_002M,B20017D_003E,B20017D_003M,B20017D_004E,B20017D_004M,B20017D_005E,B20017D_005M,B20017D_006E,B20017D_006M,B20017D_007E,B20017D_007M,NAME,B20017D_001EA,B20017D_001MA,B20017D_002MA,B20017D_002EA,B20017D_003EA,B20017D_003MA,B20017D_004MA,B20017D_004EA,B20017D_005MA,B20017D_005EA,B20017D_006MA,B20017D_006EA,B20017D_007EA,B20017D_007MA,state
0400000US01,35767,3322,42463,9386,56768,10546,11496,5046,25991,5098,44616,17441,8368,2615,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26882,2976,24583,6808,35968,6549,14210,4032,27737,3150,37085,3264,15610,3954,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,35325,2568,41853,4841,60162,5338,11764,1329,30112,2739,46155,5992,11329,893,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28937,4664,36407,8099,55581,16521,15579,2955,25727,2903,30808,1947,10866,6074,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,40010,690,45298,780,60704,478,13691,658,34471,1091,50748,443,12463,378,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,33173,4141,42114,3733,60471,6117,15539,3741,28270,3476,41650,5612,10681,1106,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47894,4887,60798,4758,75303,4470,17216,4649,36414,3349,58070,4397,10419,1369,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,42475,7422,56293,6071,62412,17695,12620,6859,30952,7562,48683,20955,13518,2668,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,46212,4743,43207,20164,61663,28392,7009,5523,46414,4127,62036,15240,18689,7257,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,31028,806,37318,3803,48254,3767,12845,2552,25395,1408,39888,3811,11348,618,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,30529,1472,38428,4207,50328,2787,12370,2334,23016,2166,38677,4043,10946,826,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,34876,1200,37959,1815,46921,2104,12677,1949,31452,681,40136,1856,11470,885,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,25108,8113,36587,5323,55539,8271,6715,2518,18222,6703,29481,12162,7627,3683,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,40751,1252,48946,3323,62393,3072,13238,1956,33271,3514,52045,1386,11937,798,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,27793,4348,40065,8547,60523,4164,11245,2453,21375,1993,36770,4240,10125,4152,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31477,1593,41340,3629,57336,10865,9640,7095,25492,4399,33623,4292,11047,2217,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,30316,4142,35919,3086,52121,8090,9559,2159,21491,3392,35707,3487,7779,2318,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,30771,2211,42752,12025,54608,9733,16183,2758,24504,1900,31380,3390,11701,4122,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26509,1745,31121,1603,37375,4572,13501,4007,21359,2743,31899,6028,11579,1565,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,23506,10736,36953,21629,49213,10621,10847,21385,20519,3736,27446,22869,10209,4029,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,44877,3199,50781,2137,62146,3341,17863,2727,40270,3091,54103,4299,12027,1608,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
