GEO_ID,B20017F_001E,B20017F_001M,B20017F_002E,B20017F_002M,B20017F_003E,B20017F_003M,B20017F_004E,B20017F_004M,B20017F_005E,B20017F_005M,B20017F_006E,B20017F_006M,B20017F_007E,B20017F_007M,NAME,B20017F_001EA,B20017F_001MA,B20017F_002MA,B20017F_002EA,B20017F_003MA,B20017F_003EA,B20017F_004EA,B20017F_004MA,B20017F_005MA,B20017F_005EA,B20017F_006EA,B20017F_006MA,B20017F_007MA,B20017F_007EA,state
0400000US01,19242,1505,20787,1422,23822,1725,10335,3286,15801,3336,21093,6298,8893,1131,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,35274,4775,36551,5695,41816,6604,24360,15856,26313,10281,36169,14676,5613,9819,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,20310,663,21771,708,30483,951,10338,811,16745,1206,27611,1637,8413,1183,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18705,1310,19521,1403,24276,5314,11424,1642,15871,2708,24249,5238,7169,2633,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,20850,218,22772,493,30386,366,11407,253,17164,261,26744,425,9073,278,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,22151,1072,26784,2505,35112,2833,10827,1562,17188,1509,29899,3434,8617,1578,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21336,665,22430,1269,27134,4119,11408,806,18458,3464,28262,2601,10472,1641,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20748,4109,21616,7300,32013,10573,7964,3912,17633,7454,30049,11195,8224,3893,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25377,6313,25344,5400,27045,3202,15149,13199,27645,16477,62301,35544,11732,2878,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,21718,673,23905,1143,30219,1075,11109,672,19091,2081,27765,3581,10715,662,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,20295,952,21534,660,24338,1245,12971,2088,16269,1115,22306,1275,8860,1952,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
