GEO_ID,B17019_001E,B17019_001M,B17019_002E,B17019_002M,B17019_003E,B17019_003M,B17019_004E,B17019_004M,B17019_005E,B17019_005M,B17019_006E,B17019_006M,B17019_007E,B17019_007M,B17019_008E,B17019_008M,B17019_009E,B17019_009M,B17019_010E,B17019_010M,B17019_011E,B17019_011M,B17019_012E,B17019_012M,B17019_013E,B17019_013M,B17019_014E,B17019_014M,B17019_015E,B17019_015M,B17019_016E,B17019_016M,B17019_017E,B17019_017M,B17019_018E,B17019_018M,B17019_019E,B17019_019M,B17019_020E,B17019_020M,B17019_021E,B17019_021M,B17019_022E,B17019_022M,B17019_023E,B17019_023M,NAME,B17019_001EA,B17019_001MA,B17019_002MA,B17019_002EA,B17019_003EA,B17019_003MA,B17019_004EA,B17019_004MA,B17019_005EA,B17019_005MA,B17019_006EA,B17019_006MA,B17019_007EA,B17019_007MA,B17019_008EA,B17019_008MA,B17019_009EA,B17019_009MA,B17019_010EA,B17019_010MA,B17019_011EA,B17019_011MA,B17019_012MA,B17019_012EA,B17019_013MA,B17019_013EA,B17019_014EA,B17019_014MA,B17019_015EA,B17019_015MA,B17019_016EA,B17019_016MA,B17019_017MA,B17019_017EA,B17019_018MA,B17019_018EA,B17019_019MA,B17019_019EA,B17019_020MA,B17019_020EA,B17019_021MA,B17019_021EA,B17019_022EA,B17019_022MA,B17019_023MA,B17019_023EA,state
0400000US01,1222568,14007,174593,5454,50938,3329,28394,2391,22544,2413,123655,5176,16642,2341,8148,1433,8494,1526,107013,4850,27999,2830,79014,4071,1047975,12811,806927,13011,683720,12683,123207,5558,241048,8506,63840,4466,41262,3012,22578,3009,177208,6823,109586,4964,67622,4682,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165431,3617,9814,1095,3224,535,1885,395,1339,377,6590,957,1602,421,1022,345,580,251,4988,887,1573,437,3415,742,155617,3391,123278,3925,94431,3388,28847,2109,32339,2400,12502,1764,6686,1226,5816,1017,19837,1610,11163,1145,8674,1480,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1572310,12708,213512,6823,91562,4923,46624,3367,44938,3818,121950,5349,25835,2700,9451,1327,16384,2326,96115,4873,23518,1917,72597,4484,1358798,12983,1045031,11565,818142,10880,226889,9251,313767,10077,103626,6418,54620,4115,49006,3996,210141,7236,109485,4811,100656,5763,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751124,10710,108793,4870,39058,3020,20252,1889,18806,2180,69735,4077,13064,2061,4779,1067,8285,1805,56671,3500,12216,1529,44455,3157,642331,9468,509479,8797,424596,7482,84883,4542,132852,5003,39438,3104,22715,2205,16723,2345,93414,4501,56922,3500,36492,3456,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8645970,31516,1092977,14174,462770,10647,143756,6331,319014,8936,630207,11812,136695,5738,29366,2765,107329,5509,493512,9785,76910,4481,416602,9470,7552993,30734,5697544,28260,4001745,25299,1695799,20980,1855449,18633,621667,12504,295569,7691,326098,9132,1233782,13731,584190,10670,649592,11576,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1279941,10970,111594,5324,45912,3809,19062,1650,26850,3293,65682,3667,11582,1915,3176,957,8406,1670,54100,3537,12353,1444,41747,3084,1168347,10778,936290,11617,764611,10596,171679,6562,232057,7209,76804,5221,43639,3549,33165,3668,155253,5684,84764,3892,70489,4288,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890293,9252,67625,4089,18952,2417,7925,1305,11027,2065,48673,3115,6060,1505,969,469,5091,1385,42613,3022,5606,1363,37007,2913,822668,9009,638933,9589,538307,8508,100626,5455,183735,6411,51208,3549,31736,2749,19472,2058,132527,5470,71673,3680,60854,3963,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,228364,4558,19335,2274,6207,1349,3466,925,2741,1011,13128,1840,1747,768,682,351,1065,628,11381,1673,3813,883,7568,1525,209029,4873,158526,4790,137856,4397,20670,2515,50503,3510,12901,1748,8518,1173,4383,1350,37602,3276,22923,2731,14679,1912,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,120467,4214,18901,2027,3481,929,710,332,2771,876,15420,2011,2054,714,167,144,1887,716,13366,1966,868,445,12498,1888,101566,3750,62324,3075,39967,2459,22357,2503,39242,2530,9715,1504,3638,869,6077,1357,29527,2270,12788,1527,16739,1649,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4626388,25285,573647,14621,233488,8547,122978,5388,110510,6108,340159,11393,62065,4527,20699,2419,41366,3536,278094,10488,72589,4775,205505,9366,4052741,29605,3100895,28510,2475051,22117,625844,16162,951846,17055,273553,9186,154428,6496,119125,6511,678293,13031,380337,9048,297956,9216,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
