GEO_ID,B20017B_001E,B20017B_001M,B20017B_002E,B20017B_002M,B20017B_003E,B20017B_003M,B20017B_004E,B20017B_004M,B20017B_005E,B20017B_005M,B20017B_006E,B20017B_006M,B20017B_007E,B20017B_007M,NAME,B20017B_001EA,B20017B_001MA,B20017B_002EA,B20017B_002MA,B20017B_003EA,B20017B_003MA,B20017B_004EA,B20017B_004MA,B20017B_005MA,B20017B_005EA,B20017B_006EA,B20017B_006MA,B20017B_007EA,B20017B_007MA,state
0400000US01,21427,459,24218,1089,35189,1321,7914,832,19824,629,29200,1375,8351,501,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,35115,4569,35865,1251,36649,3051,16324,7639,26330,8136,36661,17308,7909,11743,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24411,1461,25260,1733,35728,2169,11419,1202,23188,1783,36624,1561,9095,1091,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,19723,857,21778,1431,31746,1278,7510,1205,18294,1121,26138,1102,7257,855,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30069,837,30868,644,47220,1221,10261,413,28153,1672,43281,2326,10563,480,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,26307,1709,28175,3529,41084,1917,8841,1354,24666,3532,34580,1718,8479,1612,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,28438,2116,29162,2542,45267,2369,8481,1994,27649,2467,37467,2224,12749,1478,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29854,2364,31302,1458,42474,3388,10783,1678,27499,1932,37001,3487,8294,3140,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,31157,1513,28593,3707,42054,1724,6834,1488,32297,2592,48608,3859,10664,1264,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,22346,301,23177,764,31758,486,9435,493,21905,394,29376,945,9711,498,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24848,681,26953,550,36843,566,8353,548,22308,519,31508,517,9148,374,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,33768,3772,35242,6193,41669,10602,16473,7566,32704,4026,40040,11046,12420,5062,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20507,4062,20505,3991,21106,1752,5883,7157,40004,54477,41415,1302,8422,3192,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,24312,801,25503,765,40838,655,9171,836,23158,1053,36745,759,9370,623,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,21419,591,25001,1540,35512,1783,9149,912,19077,1322,31455,736,8666,732,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,19272,2446,19642,2593,30769,2916,6305,3701,18402,4051,28117,3773,7535,3041,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22154,1177,23647,1568,34500,3781,8680,2500,20766,1782,31579,1948,7270,1972,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20953,793,21471,1059,34890,2890,7965,1033,20528,1039,30175,2131,8926,875,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,20935,458,25269,1267,36395,1317,8353,836,18583,699,25864,586,8614,465,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,16047,2209,19785,5553,40707,18792,12702,3959,8143,2554,25333,9122,6079,2961,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,35784,588,36329,897,50546,750,9760,692,35429,754,46993,1001,10431,531,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,28563,1807,30408,1322,42783,2723,10702,1159,26863,1138,40795,973,9804,1179,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,21106,468,21987,666,35728,978,7477,621,20332,665,34494,1960,7360,366,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,20829,1151,22164,1966,39186,3103,8271,1162,19607,1699,34265,3353,8487,1046,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20011,806,21855,822,30984,617,7747,752,17390,659,25637,603,8745,650,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
