GEO_ID,C27005_001E,C27005_001M,C27005_002E,C27005_002M,C27005_003E,C27005_003M,C27005_004E,C27005_004M,C27005_005E,C27005_005M,C27005_006E,C27005_006M,C27005_007E,C27005_007M,C27005_008E,C27005_008M,C27005_009E,C27005_009M,C27005_010E,C27005_010M,C27005_011E,C27005_011M,C27005_012E,C27005_012M,C27005_013E,C27005_013M,C27005_014E,C27005_014M,C27005_015E,C27005_015M,C27005_016E,C27005_016M,C27005_017E,C27005_017M,C27005_018E,C27005_018M,C27005_019E,C27005_019M,C27005_020E,C27005_020M,C27005_021E,C27005_021M,NAME,C27005_001EA,C27005_001MA,C27005_002MA,C27005_002EA,C27005_003EA,C27005_003MA,C27005_004MA,C27005_004EA,C27005_005EA,C27005_005MA,C27005_006EA,C27005_006MA,C27005_007MA,C27005_007EA,C27005_008EA,C27005_008MA,C27005_009MA,C27005_009EA,C27005_010EA,C27005_010MA,C27005_011EA,C27005_011MA,C27005_012EA,C27005_012MA,C27005_013EA,C27005_013MA,C27005_014EA,C27005_014MA,C27005_015MA,C27005_015EA,C27005_016EA,C27005_016MA,C27005_017EA,C27005_017MA,C27005_018MA,C27005_018EA,C27005_019MA,C27005_019EA,C27005_020EA,C27005_020MA,C27005_021EA,C27005_021MA,state
0400000US01,4755381,1814,2284668,5599,563117,4269,41763,3959,521354,5795,1418723,4731,150640,7669,1268083,9009,302828,1900,92688,3679,210140,4057,2470713,5159,544727,4391,39653,3908,505074,6027,1526743,3765,162556,6866,1364187,7968,399243,1967,131484,3659,267759,4336,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,712248,1963,366864,2541,96973,1734,4547,1307,92426,2122,237630,1974,15144,2139,222486,2751,32261,848,3761,839,28500,1203,345384,2157,90912,1717,4152,1229,86760,2127,222146,1283,13810,1870,208336,2428,32326,832,4732,938,27594,1122,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6521226,1734,3207062,2887,823870,1962,55989,3898,767881,4735,1920087,2842,179090,6680,1740997,7233,463105,1334,136412,4534,326693,4414,3314164,2699,789635,1895,54197,4731,735438,5213,1980813,2354,190930,6313,1789883,6617,543716,1448,179131,5507,364585,5702,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2907014,1233,1427846,4941,369537,4011,19998,2419,349539,4856,862503,3593,80821,4621,781682,6067,195806,1562,63421,2562,132385,2831,1479168,4700,339588,3571,16549,2446,323039,4355,897397,3109,87357,5205,810040,5070,242183,2000,87562,3664,154621,4046,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37831553,5167,18678471,8174,4684835,4538,349890,9911,4334945,10155,11917914,6910,1144830,18167,10773084,18260,2075722,3272,475250,7848,1600472,8247,19153082,6595,4473120,4214,318602,10044,4154518,10558,12058604,4800,1236098,17715,10822506,17909,2621358,3316,650812,9685,1970546,9735,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5173272,2685,2571218,4738,633100,3639,54290,4046,578810,5765,1653136,3953,194083,7164,1459053,7659,284982,1510,85287,3534,199695,3411,2602054,4073,606091,3326,51655,4053,554436,5429,1651804,2894,205616,7027,1446188,7468,344159,1664,115725,3216,228434,3409,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541409,1156,1718699,2659,398790,1891,22305,2521,376485,3274,1093523,1944,100426,5330,993097,5837,226386,1298,64865,2739,161521,2736,1822710,2714,385369,1796,22889,2762,362480,3240,1142172,1698,104331,4735,1037841,4987,295169,1346,95227,3524,199942,3824,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,911502,1114,437592,1253,103087,830,3836,980,99251,1203,270719,1081,20157,2226,250562,2287,63786,493,21205,1681,42581,1754,473910,1235,100252,856,4316,1284,95936,1597,294419,998,20119,2158,274300,2526,79239,492,28483,1918,50756,1910,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,635833,581,298312,741,55867,410,3754,840,52113,929,213223,658,23921,2157,189302,2244,29222,519,5000,918,24222,1032,337521,821,55420,476,3521,1339,51899,1335,239930,641,28915,2707,211015,2784,42171,552,8947,1171,33224,1313,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19245127,3839,9333945,8603,2059975,6245,160397,8557,1899578,10585,5663869,6338,532977,14215,5130892,14329,1610101,3180,447740,8173,1162361,8064,9911182,7269,1959860,6147,144119,7279,1815741,9143,5983026,4806,611138,13560,5371888,14240,1968296,3245,576225,8722,1392071,9366,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
