GEO_ID,B23004_001E,B23004_001M,B23004_002E,B23004_002M,B23004_003E,B23004_003M,B23004_004E,B23004_004M,B23004_005E,B23004_005M,B23004_006E,B23004_006M,B23004_007E,B23004_007M,B23004_008E,B23004_008M,B23004_009E,B23004_009M,B23004_010E,B23004_010M,B23004_011E,B23004_011M,B23004_012E,B23004_012M,B23004_013E,B23004_013M,B23004_014E,B23004_014M,B23004_015E,B23004_015M,B23004_016E,B23004_016M,B23004_017E,B23004_017M,B23004_018E,B23004_018M,B23004_019E,B23004_019M,NAME,B23004_001EA,B23004_001MA,B23004_002MA,B23004_002EA,B23004_003EA,B23004_003MA,B23004_004MA,B23004_004EA,B23004_005EA,B23004_005MA,B23004_006EA,B23004_006MA,B23004_007EA,B23004_007MA,B23004_008EA,B23004_008MA,B23004_009MA,B23004_009EA,B23004_010EA,B23004_010MA,B23004_011EA,B23004_011MA,B23004_012MA,B23004_012EA,B23004_013EA,B23004_013MA,B23004_014EA,B23004_014MA,B23004_015MA,B23004_015EA,B23004_016EA,B23004_016MA,B23004_017EA,B23004_017MA,B23004_018EA,B23004_018MA,B23004_019EA,B23004_019MA,state
0400000US01,721538,2489,123677,5160,101914,4719,86199,4430,84108,4439,2091,647,15715,2011,21763,1911,17393,1896,17083,1916,310,216,4370,885,597861,5749,317797,5193,1533,453,316264,5171,280064,2714,486,351,279578,2780,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,65584,1088,19970,1878,17368,1693,14334,1559,13758,1521,576,445,3034,615,2602,525,2175,514,2170,513,5,8,427,181,45614,1938,25788,1585,637,374,25151,1621,19826,1053,0,147,19826,1053,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1018724,1545,176602,5699,149000,5219,119003,4347,115469,4381,3534,788,29997,2610,27602,2140,20731,2114,19983,1954,748,464,6871,1136,842122,5938,440406,5325,5228,1158,435178,5303,401716,2546,1053,475,400663,2649,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,453542,2039,84433,3867,68938,3559,57692,3457,56264,3462,1428,547,11246,1267,15495,1706,11842,1611,11582,1595,260,230,3653,782,369109,4093,191909,3514,719,377,191190,3541,177200,2461,250,219,176950,2472,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4794108,2956,941861,13043,791672,11928,683457,10883,662604,11000,20853,2194,108215,4413,150189,5621,121445,5359,117876,5163,3569,857,28744,2458,3852247,13373,1901234,12273,30114,2429,1871120,11985,1951013,6203,6182,1103,1944831,6274,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,644943,1852,152454,4492,130678,4069,106557,3800,104166,3742,2391,729,24121,2122,21776,1694,16249,1505,16092,1507,157,134,5527,1091,492489,4816,252034,4573,3003,782,249031,4617,240455,2578,417,223,240038,2582,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,544506,1116,129337,3711,109361,3413,95936,3369,93194,3389,2742,824,13425,1559,19976,1824,15947,1572,15791,1536,156,128,4029,684,415169,3797,184023,3504,3280,728,180743,3600,231146,2194,780,380,230366,2126,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,146945,535,29739,1946,24950,1763,21160,1737,20585,1701,575,268,3790,678,4789,880,3757,821,3683,816,74,117,1032,352,117206,1884,61055,1744,562,294,60493,1753,56151,1077,196,213,55955,1077,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,73961,367,18856,1526,14660,1295,12404,1314,12129,1268,275,170,2256,593,4196,872,3070,835,3070,835,0,203,1126,437,55105,1481,26423,1255,367,276,26056,1223,28682,999,76,96,28606,992,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3644283,3809,621992,13435,509946,11579,427977,11328,414708,10934,13269,2034,81969,4295,112046,5088,88847,4874,86816,4805,2031,815,23199,2166,3022291,13282,1474975,11096,18352,1768,1456623,11088,1547316,6055,4948,1239,1542368,6372,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1190773,4113,225219,6919,193355,6569,163584,5779,158052,5630,5532,1133,29771,2803,31864,2467,25882,2324,25444,2247,438,533,5982,1046,965554,7672,533549,7118,4978,1001,528571,7209,432005,4258,733,490,431272,4241,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,220108,727,46725,2942,39178,2642,34502,2615,33623,2539,879,510,4676,1040,7547,1178,6523,1191,6374,1180,149,159,1024,453,173383,3052,81814,2660,279,194,81535,2659,91569,1334,125,121,91444,1325,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
