GEO_ID,B14007C_001E,B14007C_001M,B14007C_002E,B14007C_002M,B14007C_003E,B14007C_003M,B14007C_004E,B14007C_004M,B14007C_005E,B14007C_005M,B14007C_006E,B14007C_006M,B14007C_007E,B14007C_007M,B14007C_008E,B14007C_008M,B14007C_009E,B14007C_009M,B14007C_010E,B14007C_010M,B14007C_011E,B14007C_011M,B14007C_012E,B14007C_012M,B14007C_013E,B14007C_013M,B14007C_014E,B14007C_014M,B14007C_015E,B14007C_015M,B14007C_016E,B14007C_016M,B14007C_017E,B14007C_017M,B14007C_018E,B14007C_018M,B14007C_019E,B14007C_019M,NAME,B14007C_001MA,B14007C_001EA,B14007C_002EA,B14007C_002MA,B14007C_003MA,B14007C_003EA,B14007C_004MA,B14007C_004EA,B14007C_005EA,B14007C_005MA,B14007C_006MA,B14007C_006EA,B14007C_007MA,B14007C_007EA,B14007C_008EA,B14007C_008MA,B14007C_009MA,B14007C_009EA,B14007C_010MA,B14007C_010EA,B14007C_011MA,B14007C_011EA,B14007C_012EA,B14007C_012MA,B14007C_013MA,B14007C_013EA,B14007C_014EA,B14007C_014MA,B14007C_015MA,B14007C_015EA,B14007C_016MA,B14007C_016EA,B14007C_017EA,B14007C_017MA,B14007C_018EA,B14007C_018MA,B14007C_019MA,B14007C_019EA,state
0400000US01,22319,2758,6085,1383,263,256,188,235,53,52,307,250,144,148,692,421,260,247,267,200,748,433,359,212,189,201,360,260,335,284,316,261,1397,666,207,200,16234,2222,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,99368,3180,30581,2219,1933,316,2739,725,2044,469,2114,502,1856,356,1444,255,1471,503,2062,548,2070,541,1880,511,2054,469,1481,308,1468,392,2708,704,2748,841,509,305,68787,2003,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,275922,5903,89773,3630,5003,1044,5354,1155,4611,784,5879,957,5871,1045,4846,939,5785,1086,4459,835,5742,1103,4154,610,5683,967,5551,895,4363,765,5670,1107,14726,1590,2076,902,186149,4785,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16962,2125,4261,1284,160,234,218,261,138,154,156,132,221,230,315,227,179,210,451,313,170,140,342,255,422,303,338,216,53,76,214,215,756,413,128,145,12701,1611,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,270264,12117,76326,5260,3063,847,3834,930,4023,932,2796,696,2582,694,4539,1127,3770,973,3499,796,3566,872,3843,927,3821,723,4348,985,4861,1149,5407,1142,19956,2843,2418,705,193938,9206,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41926,4325,11897,2081,610,352,740,336,646,400,617,423,443,355,585,358,880,475,890,541,331,224,582,419,948,514,723,383,264,202,391,450,2901,861,346,288,30029,3073,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,48708,4499,12876,3271,535,319,398,318,619,510,452,319,595,394,331,291,409,317,528,356,684,377,869,543,947,549,1404,792,357,343,1153,853,2278,719,1317,1408,35832,2912,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
