GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,NAME,C27003_001EA,C27003_001MA,C27003_002MA,C27003_002EA,C27003_003EA,C27003_003MA,C27003_004EA,C27003_004MA,C27003_005MA,C27003_005EA,C27003_006EA,C27003_006MA,C27003_007MA,C27003_007EA,C27003_008EA,C27003_008MA,C27003_009EA,C27003_009MA,C27003_010EA,C27003_010MA,C27003_011EA,C27003_011MA,C27003_012MA,C27003_012EA,C27003_013MA,C27003_013EA,C27003_014EA,C27003_014MA,C27003_015MA,C27003_015EA,C27003_016EA,C27003_016MA,C27003_017MA,C27003_017EA,C27003_018MA,C27003_018EA,C27003_019EA,C27003_019MA,C27003_020EA,C27003_020MA,C27003_021EA,C27003_021MA,state
0400000US13,9800887,3675,4727828,8687,1269050,6733,507258,11625,761792,10888,2952986,6612,349082,10350,2603904,12504,505792,2817,483554,3984,22238,2602,5073059,7882,1218029,6673,488708,13174,729321,12320,3198904,4639,393313,10803,2805591,11409,656126,2761,633962,3274,22164,2451,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1345168,3281,661352,3290,158445,1211,49805,3472,108640,3414,406345,3039,59098,3614,347247,4252,96562,764,92705,1127,3857,786,683816,2110,148403,1187,45477,3009,102926,2980,416197,1526,64087,3912,352110,4438,119216,740,113136,1319,6080,1010,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1592172,685,796967,2603,221768,2389,76472,5179,145296,5228,472071,2045,60179,3856,411892,3969,103128,1063,100524,1386,2604,816,795205,2627,204180,2104,68660,4306,135520,4519,474872,1821,54226,4064,420646,4306,116153,1047,112590,1505,3563,1291,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12704616,1398,6216793,5500,1541919,3308,628072,12083,913847,12322,3944682,4452,447587,9250,3497095,9773,730192,1870,695730,3447,34462,2813,6487823,5356,1476041,3833,605573,12280,870468,11693,4066089,3904,652358,11382,3413731,11451,945693,2495,905933,4300,39760,3035,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6471551,786,3165813,4997,808450,3634,275189,8001,533261,7781,1971787,3603,241685,7831,1730102,8343,385576,2103,377252,2449,8324,1503,3305738,5074,775565,4146,269850,8297,505715,8333,2037163,3120,290157,8893,1747006,9494,493010,2060,481878,2447,11132,1343,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3045284,750,1504334,3691,368613,3010,127984,5156,240629,5394,934207,2350,117008,4419,817199,4499,201514,1379,197780,1466,3734,894,1540950,3674,352651,3173,118829,4102,233822,4309,934645,2397,134599,5173,800046,5025,253654,1437,249956,1659,3698,852,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2836733,1635,1400355,3591,368449,2713,117892,4764,250557,5419,860822,2848,86857,4528,773965,4548,171084,1296,166720,1476,4364,887,1436378,3551,350485,2730,111161,5380,239324,4717,869547,2618,90888,4486,778659,5195,216346,1852,210890,2021,5456,1008,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4312100,1403,2105640,4175,518975,3660,206875,6539,312100,7307,1315811,3308,211666,6477,1104145,7588,270854,1649,264642,1757,6212,922,2206460,4106,493145,3346,205152,7701,287993,6709,1371368,3652,231631,7723,1139737,8677,341947,2192,334301,2475,7646,1127,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4522910,1435,2176147,4812,560191,4134,272829,7744,287362,8155,1359668,3039,203321,6752,1156347,7082,256288,2011,245018,2610,11270,1716,2346763,4938,550786,4471,270656,9186,280130,8140,1465433,2823,249210,8031,1216223,8419,330544,1809,317125,2338,13419,1691,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1314191,575,641305,2085,132959,1581,56011,3475,76948,3418,404804,1749,84751,3821,320053,4107,103542,903,100806,1167,2736,623,672886,2064,126868,1536,50156,3289,76712,3274,420703,1445,95818,4554,324885,4524,125315,939,121809,1076,3506,702,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5834039,2085,2808716,3898,684681,2328,218592,7826,466089,8260,1790937,3081,223931,6921,1567006,6987,333098,1601,314646,2344,18452,1686,3025323,3574,658437,2167,213093,6750,445344,7021,1931264,2835,263450,8180,1667814,8621,435622,1752,410747,2855,24875,2387,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
