GEO_ID,C16006_001E,C16006_001M,C16006_002E,C16006_002M,C16006_003E,C16006_003M,C16006_004E,C16006_004M,C16006_005E,C16006_005M,C16006_006E,C16006_006M,NAME,C16006_001MA,C16006_001EA,C16006_002MA,C16006_002EA,C16006_003MA,C16006_003EA,C16006_004MA,C16006_004EA,C16006_005MA,C16006_005EA,C16006_006MA,C16006_006EA,state
0400000US01,167315,1946,48682,5836,116740,5971,55388,5205,61352,5069,1893,1729,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43258,491,26878,2655,15526,2644,11585,2309,3941,1145,854,501,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1817738,-555555555,613026,15463,1198559,15670,756105,15849,442454,12529,6153,1484,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,179955,2183,55642,5998,124038,6095,61920,4926,62118,4739,275,260,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13383875,1130,3387572,38947,9953348,39653,5557664,39494,4395684,38880,42955,3417,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1002807,2290,468567,13279,530052,13654,319024,11109,211028,8151,4188,1369,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,478620,440,113815,6935,361374,6917,206620,6863,154754,6307,3431,1805,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,72246,-555555555,24225,3053,47829,3084,25542,2726,22287,2929,192,185,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58779,-555555555,14896,2726,42886,2922,25984,2608,16902,2432,997,646,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4295818,1863,755139,16920,3518987,17538,1913610,22633,1605377,24948,21692,3279,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,804386,3490,158554,8967,644109,8883,330270,9630,313839,11094,1723,796,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,119571,-555555555,91007,3232,18924,2739,11367,2038,7557,2185,9640,2590,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,168000,1169,61128,4754,105940,4888,61035,4051,44905,3984,932,527,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1918314,2339,405151,13266,1504988,13508,840939,15513,664049,14305,8175,1542,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,370828,2994,126807,7278,242834,7428,136450,6941,106384,6866,1187,635,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,148130,2231,55396,4638,92494,4513,48150,3956,44344,3760,240,203,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,284587,1046,106249,6302,177777,6333,101356,5642,76421,4750,561,476,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,123934,3133,43181,4344,79857,5555,40500,3944,39357,4020,896,522,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,198243,2585,73425,6046,123278,6401,58930,4663,64348,5432,1540,691,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
