B20005I_083M,B20005I_084E,B20005I_084M,B20005I_085E,B20005I_085M,B20005I_086E,B20005I_086M,B20005I_087E,B20005I_087M,B20005I_088E,B20005I_088M,B20005I_089E,B20005I_089M,B20005I_090E,B20005I_090M,B20005I_091E,B20005I_091M,B20005I_092E,B20005I_092M,B20005I_093E,B20005I_093M,B20005I_094E,B20005I_094M,B20005I_095E,B20005I_095M,GEO_ID,B20005I_001E,B20005I_001M,B20005I_002E,B20005I_002M,B20005I_003E,B20005I_003M,B20005I_004E,B20005I_004M,B20005I_005E,B20005I_005M,B20005I_006E,B20005I_006M,B20005I_007E,B20005I_007M,B20005I_008E,B20005I_008M,B20005I_009E,B20005I_009M,B20005I_010E,B20005I_010M,B20005I_011E,B20005I_011M,B20005I_012E,B20005I_012M,B20005I_013E,B20005I_013M,B20005I_014E,B20005I_014M,B20005I_015E,B20005I_015M,B20005I_016E,B20005I_016M,B20005I_017E,B20005I_017M,B20005I_018E,B20005I_018M,B20005I_019E,B20005I_019M,B20005I_020E,B20005I_020M,B20005I_021E,B20005I_021M,B20005I_022E,B20005I_022M,B20005I_023E,B20005I_023M,B20005I_024E,B20005I_024M,B20005I_025E,B20005I_025M,B20005I_026E,B20005I_026M,B20005I_027E,B20005I_027M,B20005I_028E,B20005I_028M,B20005I_029E,B20005I_029M,B20005I_030E,B20005I_030M,B20005I_031E,B20005I_031M,B20005I_032E,B20005I_032M,B20005I_033E,B20005I_033M,B20005I_034E,B20005I_034M,B20005I_035E,B20005I_035M,B20005I_036E,B20005I_036M,B20005I_037E,B20005I_037M,B20005I_038E,B20005I_038M,B20005I_039E,B20005I_039M,B20005I_040E,B20005I_040M,B20005I_041E,B20005I_041M,B20005I_042E,B20005I_042M,B20005I_043E,B20005I_043M,B20005I_044E,B20005I_044M,B20005I_045E,B20005I_045M,B20005I_046E,B20005I_046M,B20005I_047E,B20005I_047M,B20005I_048E,B20005I_048M,B20005I_049E,B20005I_049M,B20005I_050E,B20005I_050M,B20005I_051E,B20005I_051M,B20005I_052E,B20005I_052M,B20005I_053E,B20005I_053M,B20005I_054E,B20005I_054M,B20005I_055E,B20005I_055M,B20005I_056E,B20005I_056M,B20005I_057E,B20005I_057M,B20005I_058E,B20005I_058M,B20005I_059E,B20005I_059M,B20005I_060E,B20005I_060M,B20005I_061E,B20005I_061M,B20005I_062E,B20005I_062M,B20005I_063E,B20005I_063M,B20005I_064E,B20005I_064M,B20005I_065E,B20005I_065M,B20005I_066E,B20005I_066M,B20005I_067E,B20005I_067M,B20005I_068E,B20005I_068M,B20005I_069E,B20005I_069M,B20005I_070E,B20005I_070M,B20005I_071E,B20005I_071M,B20005I_072E,B20005I_072M,B20005I_073E,B20005I_073M,B20005I_074E,B20005I_074M,B20005I_075E,B20005I_075M,B20005I_076E,B20005I_076M,B20005I_077E,B20005I_077M,B20005I_078E,B20005I_078M,B20005I_079E,B20005I_079M,B20005I_080E,B20005I_080M,B20005I_081E,B20005I_081M,B20005I_082E,B20005I_082M,B20005I_083E,B20005I_083MA,B20005I_084MA,B20005I_084EA,B20005I_085EA,B20005I_085MA,B20005I_086EA,B20005I_086MA,B20005I_087MA,B20005I_087EA,B20005I_088MA,B20005I_088EA,B20005I_089EA,B20005I_089MA,B20005I_090EA,B20005I_090MA,B20005I_091EA,B20005I_091MA,B20005I_092EA,B20005I_092MA,B20005I_093MA,B20005I_093EA,B20005I_094EA,B20005I_094MA,B20005I_095EA,B20005I_095MA,NAME,B20005I_001EA,B20005I_001MA,B20005I_002EA,B20005I_002MA,B20005I_003MA,B20005I_003EA,B20005I_004MA,B20005I_004EA,B20005I_005MA,B20005I_005EA,B20005I_006EA,B20005I_006MA,B20005I_007EA,B20005I_007MA,B20005I_008EA,B20005I_008MA,B20005I_009MA,B20005I_009EA,B20005I_010EA,B20005I_010MA,B20005I_011MA,B20005I_011EA,B20005I_012MA,B20005I_012EA,B20005I_013MA,B20005I_013EA,B20005I_014MA,B20005I_014EA,B20005I_015EA,B20005I_015MA,B20005I_016MA,B20005I_016EA,B20005I_017MA,B20005I_017EA,B20005I_018MA,B20005I_018EA,B20005I_019EA,B20005I_019MA,B20005I_020EA,B20005I_020MA,B20005I_021EA,B20005I_021MA,B20005I_022EA,B20005I_022MA,B20005I_023MA,B20005I_023EA,B20005I_024EA,B20005I_024MA,B20005I_025EA,B20005I_025MA,B20005I_026EA,B20005I_026MA,B20005I_027EA,B20005I_027MA,B20005I_028EA,B20005I_028MA,B20005I_029EA,B20005I_029MA,B20005I_030EA,B20005I_030MA,B20005I_031MA,B20005I_031EA,B20005I_032EA,B20005I_032MA,B20005I_033MA,B20005I_033EA,B20005I_034EA,B20005I_034MA,B20005I_035EA,B20005I_035MA,B20005I_036MA,B20005I_036EA,B20005I_037EA,B20005I_037MA,B20005I_038MA,B20005I_038EA,B20005I_039EA,B20005I_039MA,B20005I_040EA,B20005I_040MA,B20005I_041EA,B20005I_041MA,B20005I_042EA,B20005I_042MA,B20005I_043EA,B20005I_043MA,B20005I_044MA,B20005I_044EA,B20005I_045EA,B20005I_045MA,B20005I_046EA,B20005I_046MA,B20005I_047EA,B20005I_047MA,B20005I_048EA,B20005I_048MA,B20005I_049MA,B20005I_049EA,B20005I_050EA,B20005I_050MA,B20005I_051EA,B20005I_051MA,B20005I_052EA,B20005I_052MA,B20005I_053MA,B20005I_053EA,B20005I_054MA,B20005I_054EA,B20005I_055MA,B20005I_055EA,B20005I_056EA,B20005I_056MA,B20005I_057EA,B20005I_057MA,B20005I_058EA,B20005I_058MA,B20005I_059MA,B20005I_059EA,B20005I_060MA,B20005I_060EA,B20005I_061MA,B20005I_061EA,B20005I_062MA,B20005I_062EA,B20005I_063MA,B20005I_063EA,B20005I_064EA,B20005I_064MA,B20005I_065EA,B20005I_065MA,B20005I_066MA,B20005I_066EA,B20005I_067MA,B20005I_067EA,B20005I_068MA,B20005I_068EA,B20005I_069EA,B20005I_069MA,B20005I_070EA,B20005I_070MA,B20005I_071MA,B20005I_071EA,B20005I_072EA,B20005I_072MA,B20005I_073MA,B20005I_073EA,B20005I_074EA,B20005I_074MA,B20005I_075MA,B20005I_075EA,B20005I_076MA,B20005I_076EA,B20005I_077MA,B20005I_077EA,B20005I_078MA,B20005I_078EA,B20005I_079EA,B20005I_079MA,B20005I_080EA,B20005I_080MA,B20005I_081MA,B20005I_081EA,B20005I_082MA,B20005I_082EA,B20005I_083EA,state
255,506,439,131,136,169,187,146,176,107,182,141,194,0,192,0,192,0,192,19,36,0,192,0,192,0400000US01,124017,2404,70272,2951,42068,3673,0,192,42068,3673,0,192,94,138,1502,1368,1648,851,1677,1230,1771,825,4935,1534,3503,1731,5821,1588,1945,984,4942,1603,1854,727,2063,938,1181,736,965,641,1491,707,1576,771,1814,751,1725,833,1561,749,28204,3203,13608,2475,14596,2403,2961,1222,1633,992,1915,989,830,541,1574,810,781,478,1534,939,1036,614,594,479,192,331,447,382,299,272,198,201,126,260,215,318,0,192,80,150,181,185,0,192,0,192,53745,1811,14488,2235,0,192,14488,2235,0,192,0,192,204,278,315,354,1556,889,509,320,2293,1076,2162,1067,1593,646,1014,529,989,547,384,338,830,534,636,518,108,132,399,402,442,410,613,445,303,233,138,180,39257,2196,26245,2323,13012,1557,2356,821,1477,494,2942,981,1345,587,1911,738,835,583,652,454,275,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1105,6689,1488,2746,897,5628,1435,3293,771,2255,709,1883,621,1012,413,1054,552,1343,499,508,334,403,290,363,258,0400000US04,1379547,2503,691946,1943,325384,6518,91,103,325293,6507,772,421,934,541,2911,962,3459,1123,11264,1923,9321,1554,18227,2681,16470,2198,34230,3048,12950,2221,36238,3626,36170,3675,24782,3047,25820,2860,13586,2053,19024,2638,19181,2394,11601,1934,15704,2138,12649,1972,366562,6952,200569,6807,165993,7714,26784,2639,21622,3057,19304,2943,12478,1695,16970,2266,10309,1929,12330,1973,7493,1557,10226,2201,4626,1203,6870,1470,5269,1180,3451,1251,1637,555,1688,802,1194,638,1259,489,602,368,875,481,1006,408,687601,2008,213330,6271,0,203,213330,6271,212,177,1012,533,2725,813,2218,745,13970,2352,6717,1595,15160,2169,13549,1711,18726,2215,10996,2009,29485,3292,24066,2359,21551,2801,13702,2110,9213,1729,11029,1797,8061,1693,3797,990,4114,1071,3027,950,474271,6381,301822,7493,172449,6860,34717,3199,23771,3539,18105,2272,16504,2284,22582,2942,11967,2172,12733,2014,4893,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
438,341,351,1530,1377,662,575,966,1162,0,192,0,192,191,143,36,84,28,47,91,135,0,192,0,192,0400000US05,126165,2053,67413,2307,39339,2708,0,192,39339,2708,0,192,0,192,471,353,39,49,3168,1178,1895,999,3796,1081,3151,1301,5670,1524,1490,717,5043,1213,3982,1125,2584,1041,932,538,2512,1410,934,599,1701,968,467,370,981,697,523,367,28074,2932,12708,1939,15366,2047,2608,958,2180,817,1268,624,1255,521,2402,903,1096,724,1308,684,799,706,816,411,513,388,260,388,698,519,0,192,70,123,0,192,93,108,0,192,0,192,0,192,0,192,58752,2065,18218,1952,0,192,18218,1952,67,116,502,401,95,131,846,468,528,473,749,400,2152,861,1486,809,3444,1165,528,357,3307,1171,680,409,580,351,697,441,143,141,706,603,361,352,443,401,428,466,476,419,40534,2424,23764,2414,16770,2478,2630,1015,2036,893,2427,947,1477,886,1611,623,1391,666,745,548,608,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
3196,61271,3883,24944,2472,46904,3309,33636,2419,20664,2304,17448,2061,10044,1421,8112,1420,10742,1691,10393,1987,9781,1166,4614,995,0400000US06,10480734,7173,5281283,4562,2503712,20931,91,150,2503621,20927,2700,708,4140,1010,18086,2458,24493,3103,89375,5702,81127,4994,186414,8534,132546,6589,202937,8817,123812,6815,253218,9866,237078,7875,186772,7300,167013,6407,123588,6098,129057,5850,160906,7843,105095,4939,143508,6651,131756,6302,2777571,21372,1395441,13497,1382130,18281,182976,6651,139402,7326,150842,7629,117793,5991,167062,6825,86728,5716,111726,6254,61545,4810,85614,5909,35546,3953,60213,4083,48884,3982,30997,3372,24566,2817,15391,2083,12143,1581,16769,2300,11377,1698,12275,1897,10281,1977,5199451,4919,1523250,17471,40,73,1523210,17463,3182,961,5516,1288,19914,2143,24509,2879,71262,4435,67331,4268,124218,6222,82115,4474,125548,5450,81541,5181,153538,6787,151012,6896,112556,5233,93196,4944,77859,4998,71635,4743,82881,5503,56915,4519,69277,4210,49205,3765,3676201,17863,2253690,18680,1422511,16907,230392,9103,170970,7082,195506,7101,144650,6130,191195,7513,87672,5346,100863,5610,42710,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
951,6337,1769,1317,719,3257,1021,2695,1098,1289,533,458,294,932,491,954,519,709,401,478,304,500,291,775,547,0400000US08,756505,3482,385887,3073,189792,6102,0,195,189792,6102,174,150,225,241,2606,1218,1835,896,4298,1053,3467,957,8043,1862,7765,1511,11118,2054,8640,1560,20294,2830,24352,3499,16464,2307,14458,2021,13518,1944,11448,2249,12148,1795,9975,1498,9556,1619,9408,1540,196095,5768,90767,3861,105328,5267,17914,2497,13720,2858,11866,1933,6272,1577,10726,1975,3731,1220,7157,1644,4276,1129,8195,1999,1784,795,6069,1487,5267,1142,1144,612,1918,794,1165,528,1414,572,853,391,789,544,465,256,603,482,370618,2388,120271,4661,81,136,120190,4668,218,214,539,379,1542,684,1630,788,5701,1412,2233,681,6850,1494,6067,1575,10553,1600,7359,1586,13964,2261,14904,2027,12259,2005,7968,1417,6591,1475,5116,1018,5669,1212,4087,1055,3248,913,3692,933,250347,5009,134800,4746,115547,5004,21503,2338,15619,2183,16886,2369,10813,1973,13175,2357,7993,1714,6588,1444,3269,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
991,3226,1051,819,399,2581,964,1585,557,785,391,883,635,169,216,693,440,85,75,91,106,536,320,258,193,0400000US09,373877,1499,186612,1218,85660,3830,0,201,85660,3830,37,73,162,221,417,373,86,99,1809,710,1467,827,5259,1541,3287,1127,9545,2016,5402,1395,7729,1528,8273,1466,6877,1856,7306,1918,4389,1437,4001,1134,5375,1474,4449,1173,4182,1192,5608,1396,100952,3867,48589,3156,52363,3774,9245,1502,5249,1355,3664,915,4154,1193,6831,1840,2870,1092,2366,931,1938,866,2993,1019,1000,589,5396,1601,1573,687,1564,669,1620,635,134,158,170,179,731,507,27,46,462,269,376,345,187265,1127,59027,3490,0,201,59027,3490,41,71,418,501,350,286,278,265,2019,786,847,441,4109,1349,3248,1292,5933,1133,3488,1264,6963,1719,5613,1322,5304,1551,4648,1227,3536,953,1986,735,3592,1127,1629,624,2983,1015,2042,673,128238,3529,66985,3039,61253,3549,11140,1932,6497,1391,7978,1836,4940,1325,6498,1253,5619,1132,4245,1141,2625,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
178,335,464,463,385,18,32,136,162,13,20,0,189,0,189,190,250,75,123,0,189,0,189,46,79,0400000US10,54669,540,28430,620,15218,1583,0,189,15218,1583,0,189,0,189,0,189,873,588,562,463,223,289,1568,698,313,333,1506,681,276,318,2165,953,1174,705,1095,603,948,584,467,371,546,425,1795,776,715,389,510,428,482,309,13212,1619,5490,965,7722,1410,1633,705,784,460,589,551,758,446,1352,669,617,342,503,440,459,475,41,63,70,117,0,189,302,378,0,189,50,88,82,121,0,189,238,337,57,91,37,61,150,193,26239,634,7809,1439,0,189,7809,1439,0,189,0,189,0,189,0,189,473,419,0,189,155,163,406,352,1056,588,589,440,1108,616,1097,585,653,417,491,390,227,192,279,266,472,327,175,201,497,543,131,165,18430,1369,10973,1211,7457,1118,1553,630,1344,679,566,342,1020,583,631,493,542,391,378,317,147,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
181,456,326,109,174,184,294,851,580,94,123,246,230,0,203,85,150,115,132,0,203,53,90,70,118,0400000US11,51071,293,26359,358,14957,1359,0,203,14957,1359,0,203,0,203,0,203,0,203,85,135,194,321,1115,824,394,301,577,505,360,336,1678,1072,814,464,456,471,928,526,778,686,563,493,901,522,383,270,2435,862,3296,965,11402,1418,4479,953,6923,1354,1087,510,804,442,1089,615,917,653,300,297,310,314,438,387,224,343,778,627,0,203,79,146,0,203,0,203,649,691,122,208,0,203,0,203,0,203,55,94,71,122,24712,227,10540,1362,0,203,10540,1362,0,203,0,203,0,203,109,176,83,147,0,203,789,509,719,535,358,272,421,425,426,360,250,242,145,160,963,606,841,504,390,405,653,404,1016,578,1632,776,1745,654,14172,1375,6678,1031,7494,1238,934,442,449,315,878,658,359,387,815,646,1000,730,645,455,151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
2177,20338,3027,8661,1829,16312,2610,12140,2051,7499,1699,6569,1406,3390,1115,3074,894,4087,927,2063,659,1081,484,1873,677,0400000US12,3585425,3984,1757139,3336,873881,12701,0,218,873881,12701,1324,783,1722,833,7852,1692,7635,1866,39415,3952,29291,4289,52113,5055,38528,3980,83727,7034,46650,5979,96728,5543,89502,6064,60498,5316,54677,4128,35591,3517,38029,4006,49872,4826,32164,3254,47183,4421,61380,4215,883258,12819,494799,9104,388459,11589,49358,4404,40497,4740,41639,4201,34827,4189,53880,4839,23289,3217,29217,3377,14229,2489,24164,3458,7430,1569,17804,2690,12624,2265,7090,1894,5781,1543,4361,1644,5415,1573,4483,1252,2740,971,3074,864,6557,1647,1828286,3246,610133,13914,43,74,610090,13922,1401,759,1241,506,7675,1756,6143,1420,42188,3939,26126,3519,48852,4592,25225,2763,50876,4207,33674,4388,61140,4982,62134,4723,53347,4440,44606,4034,24989,2591,29644,3570,33444,3438,16493,2895,22486,2520,18406,2307,1218153,14288,787975,12584,430178,9872,63695,5117,47465,3971,51435,5001,39099,4110,63859,5032,27477,3028,34207,3642,15854,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
