GEO_ID,B22005C_001E,B22005C_001M,B22005C_002E,B22005C_002M,B22005C_003E,B22005C_003M,NAME,B22005C_001EA,B22005C_001MA,B22005C_002MA,B22005C_002EA,B22005C_003EA,B22005C_003MA,state
0400000US01,9066,1385,1863,575,7203,1303,Alabama,null,null,null,null,null,null,01
0400000US02,28588,1509,9024,892,19564,1480,Alaska,null,null,null,null,null,null,02
0400000US04,76990,3215,26704,2122,50286,2645,Arizona,null,null,null,null,null,null,04
0400000US05,6867,1220,1289,453,5578,1085,Arkansas,null,null,null,null,null,null,05
0400000US06,93270,4118,14855,1604,78415,3991,California,null,null,null,null,null,null,06
0400000US08,15113,2095,3036,1001,12077,1924,Colorado,null,null,null,null,null,null,08
0400000US09,2289,691,730,419,1559,635,Connecticut,null,null,null,null,null,null,09
0400000US10,1446,525,658,482,788,223,Delaware,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,11
0400000US12,15951,1808,2970,854,12981,1540,Florida,null,null,null,null,null,null,12
0400000US13,8015,1250,2200,733,5815,1085,Georgia,null,null,null,null,null,null,13
0400000US15,608,337,150,158,458,341,Hawaii,null,null,null,null,null,null,15
0400000US16,6028,991,2454,722,3574,713,Idaho,null,null,null,null,null,null,16
0400000US17,10222,1332,3782,1122,6440,1082,Illinois,null,null,null,null,null,null,17
0400000US18,5464,1044,1394,465,4070,983,Indiana,null,null,null,null,null,null,18
0400000US19,2696,917,663,368,2033,771,Iowa,null,null,null,null,null,null,19
0400000US20,9131,1500,1374,497,7757,1361,Kansas,null,null,null,null,null,null,20
0400000US21,3056,884,359,234,2697,875,Kentucky,null,null,null,null,null,null,21
0400000US22,9697,1546,2794,899,6903,1462,Louisiana,null,null,null,null,null,null,22
0400000US23,3363,851,1075,267,2288,827,Maine,null,null,null,null,null,null,23
0400000US24,5514,1040,1626,692,3888,975,Maryland,null,null,null,null,null,null,24
0400000US25,5058,1094,2035,862,3023,797,Massachusetts,null,null,null,null,null,null,25
0400000US26,20457,1692,6110,1094,14347,1510,Michigan,null,null,null,null,null,null,26
0400000US27,20101,1590,6876,932,13225,1485,Minnesota,null,null,null,null,null,null,27
0400000US28,3154,769,1368,603,1786,543,Mississippi,null,null,null,null,null,null,28
0400000US29,9527,1333,3278,862,6249,1003,Missouri,null,null,null,null,null,null,29
0400000US30,18328,1183,5976,845,12352,1097,Montana,null,null,null,null,null,null,30
0400000US31,4147,614,1105,307,3042,600,Nebraska,null,null,null,null,null,null,31
0400000US32,9286,1212,2225,502,7061,1003,Nevada,null,null,null,null,null,null,32
0400000US33,1158,643,243,207,915,626,New Hampshire,null,null,null,null,null,null,33
0400000US34,5527,859,1703,597,3824,653,New Jersey,null,null,null,null,null,null,34
0400000US35,48966,2533,13464,1303,35502,2609,New Mexico,null,null,null,null,null,null,35
0400000US36,25128,2115,7562,1204,17566,1851,New York,null,null,null,null,null,null,36
0400000US37,37491,2082,11447,1239,26044,1974,North Carolina,null,null,null,null,null,null,37
0400000US38,12350,1103,3671,660,8679,1121,North Dakota,null,null,null,null,null,null,38
0400000US39,8189,1290,2277,648,5912,1251,Ohio,null,null,null,null,null,null,39
0400000US40,93626,3389,20100,1562,73526,3098,Oklahoma,null,null,null,null,null,null,40
0400000US41,14508,1743,4788,1064,9720,1355,Oregon,null,null,null,null,null,null,41
0400000US42,8052,1283,2106,682,5946,1142,Pennsylvania,null,null,null,null,null,null,42
0400000US44,2350,752,1136,634,1214,608,Rhode Island,null,null,null,null,null,null,44
0400000US45,4801,806,1449,549,3352,763,South Carolina,null,null,null,null,null,null,45
0400000US46,19293,1242,10342,1116,8951,1014,South Dakota,null,null,null,null,null,null,46
0400000US47,6233,1494,1434,767,4799,1268,Tennessee,null,null,null,null,null,null,47
0400000US48,40811,3427,6627,1364,34184,3228,Texas,null,null,null,null,null,null,48
0400000US49,7954,1267,1943,595,6011,1142,Utah,null,null,null,null,null,null,49
0400000US50,629,326,227,141,402,270,Vermont,null,null,null,null,null,null,50
0400000US51,6933,1266,820,519,6113,1074,Virginia,null,null,null,null,null,null,51
0400000US53,30989,2168,9336,1334,21653,1981,Washington,null,null,null,null,null,null,53
0400000US54,1035,454,238,178,797,392,West Virginia,null,null,null,null,null,null,54
0400000US55,16448,1328,5055,875,11393,1132,Wisconsin,null,null,null,null,null,null,55
0400000US56,3443,932,720,232,2723,881,Wyoming,null,null,null,null,null,null,56
0400000US72,4971,1114,1875,697,3096,829,Puerto Rico,null,null,null,null,null,null,72
