GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001EA,B17025_001MA,B17025_002MA,B17025_002EA,B17025_003EA,B17025_003MA,B17025_004MA,B17025_004EA,B17025_005EA,B17025_005MA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008MA,B17025_008EA,B17025_009MA,B17025_009EA,B17025_010MA,B17025_010EA,B17025_011MA,B17025_011EA,B17025_012MA,B17025_012EA,B17025_013EA,B17025_013MA,B17025_014MA,B17025_014EA,B17025_015MA,B17025_015EA,state
0400000US18,6367890,3100,1015127,24249,941982,22899,936633,22950,5349,1510,73145,5704,12843,2604,60302,5142,5352763,24489,5118106,23557,5080703,23484,37403,3472,234657,9965,96873,5678,137784,8227,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2991670,1604,379127,13393,349789,12745,348451,12750,1338,561,29338,3709,6338,1790,23000,3066,2612543,13457,2497310,14544,2483610,14813,13700,2231,115233,6340,47991,3910,67242,5135,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2811722,2188,393358,17298,348370,15379,345751,15213,2619,864,44988,5049,8688,2108,36300,4227,2418364,17061,2270660,16202,2252513,16253,18147,2139,147704,7725,57047,4388,90657,6750,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4266556,2510,800635,19947,766326,18875,761497,19037,4829,1367,34309,4376,6465,1723,27844,3892,3465921,19805,3354786,19817,3330637,20017,24149,2741,111135,5985,48525,3696,62610,4823,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4494989,2903,888019,24140,846722,23301,842365,23278,4357,1611,41297,5218,8380,1595,32917,4788,3606970,23981,3471211,23147,3446760,22983,24451,2877,135759,6853,66820,4657,68939,5256,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1293827,1147,180639,8805,170619,8538,169183,8490,1436,515,10020,2778,4295,1859,5725,2086,1113188,8846,1079546,8856,1067387,9016,12159,1540,33642,2280,20659,2012,12983,1871,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5788159,2967,585571,19629,495675,17104,488859,16449,6816,2310,89896,6126,31957,3268,57939,5488,5202588,19576,4457168,20296,4380492,20682,76676,4632,745420,15316,385827,11630,359593,10252,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6456530,2610,770513,23021,616082,18678,565552,17646,50530,5226,154431,9231,59886,4798,94545,7358,5686017,22988,4821068,25123,4706459,24855,114609,5630,864949,16470,477949,13847,387000,12621,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9669513,4111,1648436,25647,1524771,23759,1509936,23768,14835,2826,123665,8357,42324,3821,81341,7727,8021077,25879,7537035,26570,7480776,26647,56259,4289,484042,11290,270060,8791,213982,7475,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5292348,2336,592422,16554,513898,15315,507435,15300,6463,1695,78524,6620,32260,3909,46264,4889,4699926,16677,4381804,16820,4351107,17062,30697,2498,318122,9948,173364,7943,144758,7617,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
