GEO_ID,B27005_001E,B27005_001M,B27005_002E,B27005_002M,B27005_003E,B27005_003M,B27005_004E,B27005_004M,B27005_005E,B27005_005M,B27005_006E,B27005_006M,B27005_007E,B27005_007M,B27005_008E,B27005_008M,B27005_009E,B27005_009M,B27005_010E,B27005_010M,B27005_011E,B27005_011M,B27005_012E,B27005_012M,B27005_013E,B27005_013M,B27005_014E,B27005_014M,B27005_015E,B27005_015M,B27005_016E,B27005_016M,B27005_017E,B27005_017M,B27005_018E,B27005_018M,B27005_019E,B27005_019M,B27005_020E,B27005_020M,B27005_021E,B27005_021M,B27005_022E,B27005_022M,B27005_023E,B27005_023M,B27005_024E,B27005_024M,B27005_025E,B27005_025M,B27005_026E,B27005_026M,B27005_027E,B27005_027M,B27005_028E,B27005_028M,B27005_029E,B27005_029M,B27005_030E,B27005_030M,B27005_031E,B27005_031M,B27005_032E,B27005_032M,B27005_033E,B27005_033M,B27005_034E,B27005_034M,B27005_035E,B27005_035M,B27005_036E,B27005_036M,B27005_037E,B27005_037M,B27005_038E,B27005_038M,B27005_039E,B27005_039M,B27005_040E,B27005_040M,B27005_041E,B27005_041M,B27005_042E,B27005_042M,B27005_043E,B27005_043M,B27005_044E,B27005_044M,B27005_045E,B27005_045M,B27005_046E,B27005_046M,B27005_047E,B27005_047M,B27005_048E,B27005_048M,B27005_049E,B27005_049M,B27005_050E,B27005_050M,B27005_051E,B27005_051M,B27005_052E,B27005_052M,B27005_053E,B27005_053M,B27005_054E,B27005_054M,B27005_055E,B27005_055M,B27005_056E,B27005_056M,B27005_057E,B27005_057M,NAME,B27005_001MA,B27005_001EA,B27005_002EA,B27005_002MA,B27005_003EA,B27005_003MA,B27005_004MA,B27005_004EA,B27005_005EA,B27005_005MA,B27005_006EA,B27005_006MA,B27005_007EA,B27005_007MA,B27005_008MA,B27005_008EA,B27005_009MA,B27005_009EA,B27005_010EA,B27005_010MA,B27005_011MA,B27005_011EA,B27005_012MA,B27005_012EA,B27005_013MA,B27005_013EA,B27005_014MA,B27005_014EA,B27005_015MA,B27005_015EA,B27005_016EA,B27005_016MA,B27005_017MA,B27005_017EA,B27005_018EA,B27005_018MA,B27005_019MA,B27005_019EA,B27005_020MA,B27005_020EA,B27005_021EA,B27005_021MA,B27005_022MA,B27005_022EA,B27005_023EA,B27005_023MA,B27005_024MA,B27005_024EA,B27005_025MA,B27005_025EA,B27005_026EA,B27005_026MA,B27005_027MA,B27005_027EA,B27005_028EA,B27005_028MA,B27005_029EA,B27005_029MA,B27005_030MA,B27005_030EA,B27005_031MA,B27005_031EA,B27005_032MA,B27005_032EA,B27005_033MA,B27005_033EA,B27005_034MA,B27005_034EA,B27005_035MA,B27005_035EA,B27005_036MA,B27005_036EA,B27005_037MA,B27005_037EA,B27005_038EA,B27005_038MA,B27005_039MA,B27005_039EA,B27005_040EA,B27005_040MA,B27005_041EA,B27005_041MA,B27005_042MA,B27005_042EA,B27005_043EA,B27005_043MA,B27005_044EA,B27005_044MA,B27005_045MA,B27005_045EA,B27005_046MA,B27005_046EA,B27005_047MA,B27005_047EA,B27005_048MA,B27005_048EA,B27005_049MA,B27005_049EA,B27005_050EA,B27005_050MA,B27005_051MA,B27005_051EA,B27005_052EA,B27005_052MA,B27005_053EA,B27005_053MA,B27005_054EA,B27005_054MA,B27005_055MA,B27005_055EA,B27005_056EA,B27005_056MA,B27005_057EA,B27005_057MA,state
0400000US01,4755381,1814,2284668,5599,179773,4207,12003,1837,167770,4575,383344,4647,29760,3544,353584,4953,243352,4259,26760,3294,216592,5428,288265,4614,25369,2724,262896,5293,279410,3586,27354,2848,252056,3791,313967,2963,32882,2661,281085,3923,293729,1999,38275,2778,255454,3400,190180,1968,54976,2998,135204,3209,112648,1728,37712,2467,74936,2684,2470713,5159,175160,3797,11311,1571,163849,4240,369567,3768,28342,3585,341225,5083,244927,3282,24822,2603,220105,4095,307208,4066,29815,2887,277393,4809,314523,3522,26929,2788,287594,4561,337379,2481,37636,2907,299743,3724,322706,1851,43354,2958,279352,3426,224389,1875,69320,3245,155069,3798,174854,1842,62164,2677,112690,2991,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,712248,1963,366864,2541,32520,1140,1056,623,31464,1179,64453,1770,3491,983,60962,2037,41124,1698,2716,972,38408,1745,53122,1828,2518,917,50604,2013,44886,1749,2838,763,42048,1944,50630,1328,3486,873,47144,1668,47868,960,3586,880,44282,1283,22353,942,2214,535,20139,1068,9908,768,1547,604,8361,976,345384,2157,32990,1529,1502,812,31488,1623,57922,1803,2650,768,55272,2029,36049,1261,2222,841,33827,1406,51378,1318,2355,699,49023,1397,42352,1227,1991,682,40361,1402,49128,1073,3527,782,45601,1276,43239,814,3715,922,39524,1256,20604,843,3170,751,17434,1095,11722,617,1562,515,10160,758,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6521226,1734,3207062,2887,265183,4042,15036,2415,250147,4909,558687,4205,40953,2996,517734,5560,326762,2780,33132,3149,293630,3752,425036,3282,28776,3250,396260,4065,401090,2253,33133,3165,367957,3468,403433,1984,37670,2817,365763,3519,363766,1445,46379,2994,317387,3174,275142,1670,74057,3768,201085,3741,187963,1227,62355,2803,125608,2797,3314164,2699,255713,3782,13712,2286,242001,4699,533922,3863,40485,3730,493437,5151,319421,1819,29919,2984,289502,3468,425403,2362,28210,2897,397193,3920,409803,1821,29783,2457,380020,3030,418774,1670,41439,2903,377335,3234,407412,1292,61579,3532,345833,3409,310038,1235,96912,3748,213126,3806,233678,1241,82219,3773,151459,3833,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2907014,1233,1427846,4941,125825,3669,5120,1015,120705,3947,243712,4285,14878,2155,228834,5055,143084,3384,14012,2394,129072,3887,183693,4213,14481,1866,169212,4696,173279,3081,15159,2085,158120,3461,187840,3143,15945,1992,171895,3375,174607,1658,21224,1741,153383,2233,119768,1332,34059,2140,85709,2306,76038,1155,29362,1859,46676,1955,1479168,4700,110963,3302,5455,1466,105508,3116,228625,3962,11094,1748,217531,4351,138908,2462,11896,2198,127012,3116,188463,3491,14946,2214,173517,3602,186682,3062,15237,1991,171445,3233,194570,2228,18167,1944,176403,2555,188774,1745,27111,2272,161663,2687,137191,1477,47897,2669,89294,2923,104992,1495,39665,2051,65327,2450,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37831553,5167,18678471,8174,1544605,9273,95979,5154,1448626,10208,3140230,9566,253911,8488,2886319,12329,1990437,5393,226948,8057,1763489,9708,2761996,5444,213827,8123,2548169,9152,2516012,5082,191700,7257,2324312,8914,2544631,3997,252414,8728,2292217,9626,2104838,2803,259941,7219,1844897,7662,1239368,2545,252704,5837,986664,5823,836354,2691,222546,5258,613808,5900,19153082,6595,1474376,8848,86680,4753,1387696,9294,2998744,9025,231922,7981,2766822,11381,1922021,3846,224829,7865,1697192,8303,2699300,3515,224436,7854,2474864,8460,2563856,3779,207158,6039,2356698,6995,2604238,2991,271877,7167,2332361,7572,2269189,2414,307798,9620,1961391,9885,1428312,2553,327095,7129,1101217,7531,1193046,2975,323717,6495,869329,6317,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5173272,2685,2571218,4738,207533,3668,15775,2146,191758,3801,425567,4242,38515,3244,387052,5412,253817,3558,34811,2597,219006,4330,377414,3735,37152,3422,340262,5191,355744,3044,36057,2700,319687,3512,347512,2629,40335,2859,307177,3523,318649,1686,45728,2550,272921,2973,181353,1445,48953,2668,132400,2758,103629,1327,36334,1991,67295,2002,2602054,4073,196257,3886,15304,2166,180953,4109,409834,4312,36351,3335,373483,4940,240889,2145,35191,2856,205698,3138,372187,3081,38354,3135,333833,4127,346376,2587,34588,2060,311788,2980,357361,2122,41279,2769,316082,3671,334991,1945,56204,3420,278787,3858,197218,1766,60303,2963,136915,3008,146941,1868,55422,2177,91519,2563,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541409,1156,1718699,2659,118865,2752,5679,1265,113186,2973,279925,2900,16626,2040,263299,3684,171600,1501,17870,2352,153730,2634,212035,1698,17275,2276,194760,2929,213632,1589,15182,1824,198450,2408,267654,1488,23505,2366,244149,2661,228602,913,26594,2113,202008,2410,133728,826,32585,2216,101143,2215,92658,1166,32280,1693,60378,1867,1822710,2714,114793,2384,4693,1080,110100,2813,270576,2866,18196,2202,252380,3260,166172,1517,17749,2018,148423,2381,217883,1625,14308,1796,203575,2180,227989,1482,14409,2246,213580,2697,284237,1091,28352,2453,255885,2635,245891,926,29513,2088,216378,2218,154423,973,41869,2401,112554,2640,140746,1503,53358,2603,87388,2889,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,911502,1114,437592,1253,35754,1466,923,562,34831,1555,67333,1523,2913,774,64420,1588,44355,663,4400,996,39955,1179,56141,1006,2562,775,53579,1335,52652,888,3462,882,49190,1066,61152,756,4709,991,56443,1145,56419,677,5024,943,51395,1169,39458,555,12200,1062,27258,1153,24328,538,9005,1023,15323,1163,473910,1235,33363,1495,1456,747,31907,1549,66889,1553,2860,929,64029,1700,45687,714,3515,958,42172,1234,59343,1106,4036,1016,55307,1489,57455,1112,2646,677,54809,1306,68179,944,3332,713,64847,1198,63755,729,6590,944,57165,1347,45855,526,15182,1286,30673,1417,33384,540,13301,1201,20083,1182,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,635833,581,298312,741,23832,809,1088,628,22744,1005,32035,891,2666,710,29369,1099,36013,593,7277,1111,28736,1149,65437,642,6027,1212,59410,1231,43171,546,2741,838,40430,1019,37719,426,4834,1250,32885,1331,30883,390,3042,756,27841,834,17648,534,2648,759,15000,766,11574,675,2352,578,9222,863,337521,821,24158,1108,1794,935,22364,1328,31262,1118,1727,823,29535,1234,43536,160,8196,1427,35340,1417,77557,268,8713,1421,68844,1442,44988,130,3984,1060,41004,1072,37282,373,3401,863,33881,894,36567,274,4621,1039,31946,1090,22824,392,3758,841,19066,990,19347,497,5189,860,14158,984,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19245127,3839,9333945,8603,664760,6663,41037,3995,623723,6535,1395215,7113,119360,7286,1275855,10908,874610,5099,85086,5759,789524,8054,1173841,6011,84059,5464,1089782,7658,1146955,5913,95378,5050,1051577,6632,1301898,5130,129542,5772,1172356,6787,1166565,3295,138912,5960,1027653,6708,919338,3041,220522,6338,698816,6549,690763,3082,227218,6271,463545,6091,9911182,7269,635168,7689,37685,3394,597483,8324,1324692,7203,106434,6391,1218258,8464,869636,4841,96958,5955,772678,7240,1194412,4768,90512,5529,1103900,7649,1212030,4534,99871,5406,1112159,6578,1385275,4376,144243,5688,1241032,7510,1321673,3135,179554,6164,1142119,6940,1051243,2953,282966,5618,768277,6390,917053,2929,293259,6610,623794,7007,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
