B06001_046M,B06001_047E,B06001_047M,B06001_048E,B06001_048M,B06001_049E,B06001_049M,B06001_050E,B06001_050M,B06001_051E,B06001_051M,B06001_052E,B06001_052M,B06001_053E,B06001_053M,B06001_054E,B06001_054M,B06001_055E,B06001_055M,B06001_056E,B06001_056M,B06001_057E,B06001_057M,B06001_058E,B06001_058M,B06001_059E,B06001_059M,B06001_060E,B06001_060M,GEO_ID,B06001_001E,B06001_001M,B06001_002E,B06001_002M,B06001_003E,B06001_003M,B06001_004E,B06001_004M,B06001_005E,B06001_005M,B06001_006E,B06001_006M,B06001_007E,B06001_007M,B06001_008E,B06001_008M,B06001_009E,B06001_009M,B06001_010E,B06001_010M,B06001_011E,B06001_011M,B06001_012E,B06001_012M,B06001_013E,B06001_013M,B06001_014E,B06001_014M,B06001_015E,B06001_015M,B06001_016E,B06001_016M,B06001_017E,B06001_017M,B06001_018E,B06001_018M,B06001_019E,B06001_019M,B06001_020E,B06001_020M,B06001_021E,B06001_021M,B06001_022E,B06001_022M,B06001_023E,B06001_023M,B06001_024E,B06001_024M,B06001_025E,B06001_025M,B06001_026E,B06001_026M,B06001_027E,B06001_027M,B06001_028E,B06001_028M,B06001_029E,B06001_029M,B06001_030E,B06001_030M,B06001_031E,B06001_031M,B06001_032E,B06001_032M,B06001_033E,B06001_033M,B06001_034E,B06001_034M,B06001_035E,B06001_035M,B06001_036E,B06001_036M,B06001_037E,B06001_037M,B06001_038E,B06001_038M,B06001_039E,B06001_039M,B06001_040E,B06001_040M,B06001_041E,B06001_041M,B06001_042E,B06001_042M,B06001_043E,B06001_043M,B06001_044E,B06001_044M,B06001_045E,B06001_045M,B06001_046E,B06001_046MA,B06001_047MA,B06001_047EA,B06001_048MA,B06001_048EA,B06001_049EA,B06001_049MA,B06001_050EA,B06001_050MA,B06001_051EA,B06001_051MA,B06001_052MA,B06001_052EA,B06001_053EA,B06001_053MA,B06001_054MA,B06001_054EA,B06001_055EA,B06001_055MA,B06001_056EA,B06001_056MA,B06001_057EA,B06001_057MA,B06001_058MA,B06001_058EA,B06001_059MA,B06001_059EA,B06001_060EA,B06001_060MA,NAME,B06001_001MA,B06001_001EA,B06001_002EA,B06001_002MA,B06001_003EA,B06001_003MA,B06001_004MA,B06001_004EA,B06001_005EA,B06001_005MA,B06001_006EA,B06001_006MA,B06001_007EA,B06001_007MA,B06001_008EA,B06001_008MA,B06001_009EA,B06001_009MA,B06001_010EA,B06001_010MA,B06001_011EA,B06001_011MA,B06001_012EA,B06001_012MA,B06001_013EA,B06001_013MA,B06001_014MA,B06001_014EA,B06001_015EA,B06001_015MA,B06001_016EA,B06001_016MA,B06001_017EA,B06001_017MA,B06001_018MA,B06001_018EA,B06001_019EA,B06001_019MA,B06001_020MA,B06001_020EA,B06001_021EA,B06001_021MA,B06001_022EA,B06001_022MA,B06001_023MA,B06001_023EA,B06001_024EA,B06001_024MA,B06001_025MA,B06001_025EA,B06001_026MA,B06001_026EA,B06001_027MA,B06001_027EA,B06001_028EA,B06001_028MA,B06001_029MA,B06001_029EA,B06001_030MA,B06001_030EA,B06001_031MA,B06001_031EA,B06001_032MA,B06001_032EA,B06001_033EA,B06001_033MA,B06001_034EA,B06001_034MA,B06001_035EA,B06001_035MA,B06001_036MA,B06001_036EA,B06001_037EA,B06001_037MA,B06001_038MA,B06001_038EA,B06001_039EA,B06001_039MA,B06001_040EA,B06001_040MA,B06001_041MA,B06001_041EA,B06001_042MA,B06001_042EA,B06001_043EA,B06001_043MA,B06001_044MA,B06001_044EA,B06001_045EA,B06001_045MA,B06001_046EA,state
520,1653,726,788,537,162226,7768,789,402,11263,2311,19934,3153,40722,4272,34864,3850,26193,3021,6219,1136,2824,866,3305,947,9873,1611,6240,1220,0400000US01,4833722,-555555555,292354,2912,817537,3418,498384,5351,612773,5926,608333,5155,660842,3879,330028,7265,117735,4969,174198,6137,419711,2735,301827,2270,3382119,22469,259801,3809,657949,8499,348154,7393,397940,7422,380409,7377,416899,6849,218185,5885,77612,4099,122774,5463,289456,5085,212940,4233,1248992,22575,31242,3240,143820,8000,124892,6577,166352,6995,186420,7696,210220,6863,101904,4479,36565,2243,46989,3195,118729,4653,81859,3455,40385,4123,522,328,4505,1387,5404,1322,7759,1751,6640,1411,7530,1526,3720,1150,734,323,1130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
348,147,126,19,32,50760,3428,89,96,3147,867,4407,1127,9067,1630,9150,1102,10488,1419,4286,831,1701,651,1861,625,4331,900,2233,728,0400000US02,735132,-555555555,54705,1049,133661,1231,84107,1878,114008,2036,89946,2131,101153,1775,52598,2426,17414,1862,21956,1861,43156,1199,22428,951,315466,7034,45831,1633,93847,3445,47122,2665,46691,2626,27774,2293,23796,1752,11920,1361,3336,637,3275,688,7461,1086,4413,539,353162,6258,7587,1245,33416,3096,30389,2215,54802,2962,51360,2412,64583,2205,35307,2239,12233,1608,16505,1695,31217,1131,15763,1017,15744,2517,1198,610,3251,1232,2189,890,3448,1180,1662,509,2286,664,1085,585,144,137,315,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
765,5084,1038,2462,758,896310,18572,4399,1114,51278,4428,68045,5406,169089,6042,207104,6594,164475,5689,60994,4139,20675,2266,31053,2826,70008,3485,49190,3298,0400000US04,6626624,-555555555,430081,887,1185881,1273,665925,3360,880940,3690,832886,2691,834747,2341,400718,6764,152117,5458,224605,5490,589406,1913,429318,1565,2562680,27302,377951,3719,865370,10635,351167,9977,327968,9001,217291,7320,185526,7241,75843,4297,26267,2591,31569,2638,64249,3324,39479,2860,3086904,24972,44753,3454,257445,9469,238211,8556,370756,7998,395557,7860,470950,7465,258228,5877,102819,4351,159933,5596,450065,4367,338187,3001,80730,5450,2978,748,11788,1872,8502,1684,13127,2457,12934,2026,13796,2056,5653,1142,2356,740,2050,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
326,926,464,36,60,133888,5487,1430,987,9098,1742,13282,2162,38096,3522,31753,2638,19274,2568,6185,1321,3576,1138,2440,737,5382,1043,3372,844,0400000US05,2959373,-555555555,190202,2391,521420,2750,287248,3943,383853,5773,367589,4364,388763,3602,191520,5686,74308,4425,100928,4749,260847,1930,192695,1494,1839799,14211,161963,3561,397947,6406,180073,4726,220166,5656,204173,4885,206495,4917,102135,4214,42549,3554,60053,3914,147647,3755,116598,3343,964923,13321,25163,2751,112050,6154,90772,4107,121614,5381,128177,5058,160247,4790,81577,3624,27717,2562,38025,2866,106892,3378,72689,3196,20763,3239,1646,1035,2325,1208,3121,1258,3977,1036,3486,1033,2747,806,1623,629,466,346,410,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1811,24479,2587,17230,1742,10311200,53780,43805,3717,429228,12586,623509,15007,1726087,18523,2297103,18180,2097710,16019,840681,11272,297480,9849,393662,8785,901975,9312,659960,8948,0400000US06,38332521,-555555555,2500565,3033,6673619,3473,4011105,5521,5582572,5252,5159912,5354,5207404,4036,2386587,17829,865413,13197,1151236,15084,2692906,3512,2101202,2901,20985224,61107,2340282,7311,5784680,16736,2983307,17037,3017580,23882,2019729,18412,1995874,20200,882096,12701,301109,9266,391002,10142,782852,11006,486713,10132,6557783,41643,93328,5336,384070,12468,352600,11460,768660,14123,766625,13321,1038363,17332,626776,11556,254112,8095,352350,7483,983600,10019,937299,11573,478314,9841,23150,2449,75641,5295,51689,3696,70245,4392,76455,4868,75457,4239,37034,2966,12712,1823,14222,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
876,2209,668,1180,526,500634,11600,2726,741,38823,3458,42963,2767,99337,5411,122651,4814,87351,4728,31949,2711,9430,1476,13642,1722,30087,2608,21675,1931,0400000US08,5268367,-555555555,333573,2520,907752,3528,512807,3487,776660,3880,720347,3596,715100,3153,348854,6264,131255,4819,177076,5667,382712,2200,262231,2091,2283893,17929,290384,4369,666747,8762,261458,5517,295910,7687,218666,6505,206624,6752,96032,4315,33396,2337,46625,3937,96651,4109,71400,2583,2409961,17299,37747,2966,191563,8269,201592,4940,368180,7546,366465,6313,406278,6953,215344,5256,86292,3943,114759,4902,253765,4132,167976,2655,73879,4545,2716,963,10619,1856,6794,1391,13233,1916,12565,1823,14847,2027,5529,1163,2137,689,2050,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1078,9967,1394,7905,1273,499643,13006,3038,1024,26561,2954,35408,3622,93678,4566,102929,4336,93274,4385,36819,2977,14008,2107,17409,2693,42519,3683,34000,2457,0400000US09,3596080,-555555555,190746,868,594596,1199,345423,2265,439149,2129,448157,2004,556065,1874,260273,5017,92342,4552,124823,4087,293384,1058,251122,1236,1980201,16964,163857,3067,446297,7054,211008,5147,223963,5966,200923,4519,260127,5164,124427,4473,43803,2879,58960,3324,131551,4013,115285,3940,991229,16558,22195,2591,106046,6150,87041,4653,104432,5268,124042,4874,180093,5220,89545,3812,31505,2711,43051,2946,109347,3725,93932,3933,125007,5846,1656,686,15692,2677,11966,2257,17076,2448,20263,2301,22571,2485,9482,1549,3026,788,5403,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
570,897,394,255,188,76768,4344,367,319,2730,791,7266,1427,19951,1995,16726,2008,11425,1419,5258,1266,1219,547,1699,634,6577,1381,3550,825,0400000US10,925749,-555555555,56235,423,147453,360,92331,947,119039,1301,111785,1475,130801,1193,61435,3162,23957,2129,35768,2411,86005,736,60940,594,432951,9249,47354,1589,106992,3602,49091,2428,49079,2716,45872,3080,52110,2754,21305,1982,9124,1182,11431,1701,22998,1799,17595,1715,400552,8403,8255,1535,36155,3417,34303,2465,47327,2427,46188,3205,64570,2895,34092,2607,13165,1696,21424,1906,55533,1986,39540,1769,15478,2529,259,261,1576,603,1671,806,2682,863,2999,1260,2696,854,780,366,449,384,1214,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
203,275,172,49,81,92819,5381,1004,484,4566,1380,9623,1587,23359,2281,20778,1970,13442,1430,5555,1031,1842,570,2550,746,5373,943,4727,892,0400000US11,646449,-555555555,41061,270,70471,143,81903,458,144746,614,89855,206,76302,311,36080,1829,13713,1433,18357,1643,41083,617,32878,598,237019,6367,32732,1580,51207,2124,26990,1846,31255,2374,23802,1777,27992,1978,14931,1454,5265,987,5910,1025,11315,1060,5620,970,304647,6713,7019,1539,12714,1893,44127,2311,86742,3006,43604,2115,32042,2253,15294,1554,6606,1172,9897,1490,24120,1365,22482,1049,11964,2129,306,286,1984,968,1163,686,3390,1017,1671,534,2826,897,300,252,0,203,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
2741,60365,3814,42265,3394,3798062,37577,16001,2541,182338,8807,241645,8331,571735,13278,716129,14628,739690,11635,308053,10018,105615,5338,154576,6991,414793,8573,347487,8046,0400000US12,19552860,-555555555,1074049,3217,2954681,3358,1797134,6806,2435386,7907,2409505,7254,2726761,6411,1326202,14144,484489,11226,700370,12603,1984921,4095,1659362,4454,7075887,37531,952516,7576,2130319,17652,1002629,15386,941502,14836,651067,14850,585537,11973,257563,7686,74194,3985,106574,4943,222869,8563,151117,5823,8009485,41165,90616,5359,559422,16243,490731,14383,820499,15320,929925,13508,1292850,12107,712826,11530,287713,8417,419516,10411,1286894,11107,1118493,8921,669426,19937,14916,2413,82602,6353,62129,5828,101650,7842,112384,6195,108684,6244,47760,3710,16967,2199,19704,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
