GEO_ID,B12005_001E,B12005_001M,B12005_002E,B12005_002M,B12005_003E,B12005_003M,B12005_004E,B12005_004M,B12005_005E,B12005_005M,B12005_006E,B12005_006M,B12005_007E,B12005_007M,B12005_008E,B12005_008M,B12005_009E,B12005_009M,B12005_010E,B12005_010M,B12005_011E,B12005_011M,B12005_012E,B12005_012M,B12005_013E,B12005_013M,B12005_014E,B12005_014M,B12005_015E,B12005_015M,B12005_016E,B12005_016M,NAME,B12005_001EA,B12005_001MA,B12005_002EA,B12005_002MA,B12005_003MA,B12005_003EA,B12005_004EA,B12005_004MA,B12005_005MA,B12005_005EA,B12005_006EA,B12005_006MA,B12005_007EA,B12005_007MA,B12005_008EA,B12005_008MA,B12005_009MA,B12005_009EA,B12005_010MA,B12005_010EA,B12005_011EA,B12005_011MA,B12005_012EA,B12005_012MA,B12005_013EA,B12005_013MA,B12005_014MA,B12005_014EA,B12005_015MA,B12005_015EA,B12005_016EA,B12005_016MA,state
0400000US01,3910998,3826,1184204,13042,1141310,12948,42894,4693,1847833,25344,1759502,24415,88331,5150,100192,5720,96541,5624,3651,1138,289224,8046,281471,7772,7753,1466,489545,12815,478274,13079,11271,2182,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,576379,1408,201374,5998,188916,5922,12458,2086,280506,7736,251986,7847,28520,2410,9765,1622,8456,1382,1309,639,22479,2174,19894,2095,2585,845,62255,3881,57873,3933,4382,1097,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5281089,1395,1741179,16350,1525308,18924,215871,10205,2488012,24486,1987105,20265,500907,12948,102730,6233,74903,5452,27827,3164,289184,6951,249889,6442,39295,3290,659984,13526,585303,13553,74681,5174,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2363879,3205,656011,11532,622436,10858,33575,4956,1178425,16770,1100489,16675,77936,4264,54434,4450,51916,4193,2518,888,159457,6041,155483,5707,3974,1147,315552,9842,306333,9580,9219,1756,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30732852,3548,11303446,41679,8881670,39605,2421776,30830,14181247,60615,8203057,49632,5978190,36026,718513,14945,415581,11693,302932,10124,1548498,18687,993529,13146,554969,13469,2981148,28520,2237459,26109,743689,14013,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4224677,3383,1326374,15491,1221218,15167,105156,5523,2125695,22861,1831240,21745,294455,8899,66352,4851,52492,4286,13860,2050,190594,5441,171180,5562,19414,1923,515662,13817,476402,12462,39260,3730,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2955331,1273,1005991,12762,886862,12778,119129,8483,1414080,18842,1133313,16324,280767,10279,39667,3317,27989,2652,11678,1984,177695,5095,150647,5003,27048,2177,317898,9843,277481,8086,40417,4152,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,754812,623,252727,5968,232098,5797,20629,2651,356232,8527,310610,8593,45622,3740,13695,2177,12394,2141,1301,602,44107,2351,41045,2320,3062,881,88051,4706,83763,4469,4288,970,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,550110,307,308055,6071,271144,5850,36911,3749,150009,7041,112216,6259,37793,3560,13553,2014,10380,1804,3173,996,23647,2362,20363,2108,3284,882,54846,3678,47419,3333,7427,1668,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16226496,3939,5097873,32840,4219714,29052,878159,21052,7453192,49943,5507897,38246,1945295,29783,401610,12629,270498,11067,131112,7371,1149084,16997,893260,14859,255824,10949,2124737,31849,1666165,27453,458572,12535,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
