C27013_006M,C27013_007E,C27013_007M,C27013_008E,C27013_008M,C27013_009E,C27013_009M,C27013_010E,C27013_010M,C27013_011E,C27013_011M,C27013_012E,C27013_012M,C27013_013E,C27013_013M,C27013_014E,C27013_014M,C27013_015E,C27013_015M,C27013_016E,C27013_016M,C27013_017E,C27013_017M,C27013_018E,C27013_018M,C27013_019E,C27013_019M,C27013_020E,C27013_020M,C27013_021E,C27013_021M,C27013_022E,C27013_022M,GEO_ID,C27013_001E,C27013_001M,C27013_002E,C27013_002M,C27013_003E,C27013_003M,C27013_004E,C27013_004M,C27013_005E,C27013_005M,C27013_006E,C27013_006MA,C27013_007EA,C27013_007MA,C27013_008EA,C27013_008MA,C27013_009EA,C27013_009MA,C27013_010MA,C27013_010EA,C27013_011EA,C27013_011MA,C27013_012EA,C27013_012MA,C27013_013MA,C27013_013EA,C27013_014EA,C27013_014MA,C27013_015MA,C27013_015EA,C27013_016MA,C27013_016EA,C27013_017MA,C27013_017EA,C27013_018EA,C27013_018MA,C27013_019MA,C27013_019EA,C27013_020MA,C27013_020EA,C27013_021EA,C27013_021MA,C27013_022EA,C27013_022MA,NAME,C27013_001EA,C27013_001MA,C27013_002MA,C27013_002EA,C27013_003EA,C27013_003MA,C27013_004EA,C27013_004MA,C27013_005MA,C27013_005EA,C27013_006EA,state
3990,45481,3629,9587,1309,789246,13587,720727,13363,453170,10253,267557,9903,68519,3816,47389,3137,21130,2527,1414853,14414,836369,12437,379233,9153,457136,12056,578484,5776,367566,6718,210918,5731,0400000US01,3647537,3371,1443438,16734,1388370,16286,1180008,16640,208362,9265,55068,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,01
1504,8178,1399,1616,448,169253,4699,159082,4441,95477,4271,63605,3266,10171,1355,6669,1128,3502,881,123521,4327,78899,3775,36859,2978,42040,3030,44622,1912,27983,1871,16639,1653,0400000US02,524363,2065,231589,5912,221795,5643,178135,5962,43660,3781,9794,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,02
3445,43516,3222,19588,2099,1148117,18548,1035052,17247,579682,11566,455370,11679,113065,5325,67273,4745,45792,3082,1834503,15737,1003851,14461,404991,9526,598860,12805,830652,5989,475601,6806,355051,6921,0400000US04,4907721,1948,1925101,17003,1861997,17578,1464421,18219,397576,12033,63104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,04
2791,27183,2227,8974,1532,466296,9974,418076,9281,226032,8367,192044,7434,48220,2957,29447,2482,18773,1922,836124,12404,482512,10650,183056,6433,299456,9613,353612,4285,198889,4963,154723,5787,0400000US05,2197889,2534,895469,11142,859312,10480,699752,10043,159560,7422,36157,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,05
9128,298358,8684,114001,4738,7455091,41595,6926859,41683,3949539,33310,2977320,33783,528232,10583,321680,7690,206552,6778,9841686,37814,6085197,34981,2646187,25470,3439010,33256,3756489,13208,1888982,15376,1867507,16005,0400000US06,28673598,5547,11376821,48529,10964462,45798,8634785,42357,2329677,32961,412359,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,06
2700,40000,2561,15564,1521,1107035,15790,1010330,14746,647748,10878,362582,11681,96705,3693,60228,3131,36477,2990,1072820,12726,595948,11850,320101,8905,275847,9060,476872,4995,295974,6470,180898,6032,0400000US08,3934081,4210,1754226,15821,1698662,15084,1416350,14037,282312,9923,55564,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,08
2514,44577,2590,10543,1329,749657,12600,675696,11822,456849,8426,218847,9292,73961,3178,50389,3336,23572,2174,823320,9510,430846,8432,213472,6324,217374,8133,392474,3979,240056,5683,152418,5466,0400000US09,2757250,1455,1184273,12438,1129153,12312,983299,13806,145854,7297,55120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,09
1179,8283,1069,1456,517,177726,5674,157824,5236,97333,4222,60491,4860,19902,1621,14383,1471,5519,1024,229385,4788,116001,4532,56260,3472,59741,3666,113384,1957,82935,2713,30449,2430,0400000US10,708163,1158,301052,6737,291313,6545,251773,6221,39540,3944,9739,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,10
1212,8111,1157,1000,374,127053,5515,117354,5346,79091,4400,38263,2957,9699,1296,7312,1202,2387,665,147555,4721,94972,4623,36282,2654,58690,3900,52583,1506,33246,1932,19337,2096,0400000US11,524546,632,249938,5705,240827,5542,212841,5869,27986,2961,9111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,11
8880,160018,6467,87520,5501,3378977,31319,3005034,29436,1557379,22436,1447655,24256,373943,10842,208002,7368,165941,7525,5957566,30547,3000650,30641,1199441,18119,1801209,26607,2956916,13534,1565175,17042,1391741,16468,0400000US12,15225292,4755,5888749,33035,5641211,31195,4241447,33339,1399764,23668,247538,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,12
