GEO_ID,B23003_001E,B23003_001M,B23003_002E,B23003_002M,B23003_003E,B23003_003M,B23003_004E,B23003_004M,B23003_005E,B23003_005M,B23003_006E,B23003_006M,B23003_007E,B23003_007M,B23003_008E,B23003_008M,B23003_009E,B23003_009M,B23003_010E,B23003_010M,B23003_011E,B23003_011M,B23003_012E,B23003_012M,B23003_013E,B23003_013M,B23003_014E,B23003_014M,B23003_015E,B23003_015M,B23003_016E,B23003_016M,B23003_017E,B23003_017M,B23003_018E,B23003_018M,B23003_019E,B23003_019M,B23003_020E,B23003_020M,B23003_021E,B23003_021M,B23003_022E,B23003_022M,B23003_023E,B23003_023M,B23003_024E,B23003_024M,B23003_025E,B23003_025M,B23003_026E,B23003_026M,B23003_027E,B23003_027M,B23003_028E,B23003_028M,B23003_029E,B23003_029M,B23003_030E,B23003_030M,NAME,B23003_001EA,B23003_001MA,B23003_002EA,B23003_002MA,B23003_003MA,B23003_003EA,B23003_004EA,B23003_004MA,B23003_005EA,B23003_005MA,B23003_006MA,B23003_006EA,B23003_007EA,B23003_007MA,B23003_008MA,B23003_008EA,B23003_009EA,B23003_009MA,B23003_010EA,B23003_010MA,B23003_011MA,B23003_011EA,B23003_012EA,B23003_012MA,B23003_013EA,B23003_013MA,B23003_014EA,B23003_014MA,B23003_015MA,B23003_015EA,B23003_016EA,B23003_016MA,B23003_017MA,B23003_017EA,B23003_018EA,B23003_018MA,B23003_019EA,B23003_019MA,B23003_020MA,B23003_020EA,B23003_021EA,B23003_021MA,B23003_022MA,B23003_022EA,B23003_023MA,B23003_023EA,B23003_024MA,B23003_024EA,B23003_025EA,B23003_025MA,B23003_026MA,B23003_026EA,B23003_027EA,B23003_027MA,B23003_028MA,B23003_028EA,B23003_029MA,B23003_029EA,B23003_030EA,B23003_030MA,state
0400000US01,1446287,5025,520889,9205,126451,5586,91012,4905,26,24,90986,4909,79420,4824,11566,2053,35439,3102,95625,5531,64194,4536,109,145,64085,4505,56710,4190,7375,1574,31431,2739,298813,7528,218545,6517,186,172,218359,6534,199855,6074,18504,2461,80268,4754,925398,10015,591150,10099,462,251,590688,10089,539666,9934,51022,4024,334248,8616,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,211780,1794,77359,2993,18871,2158,12948,1814,236,225,12712,1809,11240,1763,1472,480,5923,1063,16373,1633,10496,1347,142,268,10354,1344,9297,1319,1057,453,5877,1176,42115,2477,32769,2512,674,427,32095,2518,30642,2509,1453,478,9346,1259,134421,3183,103708,3838,600,319,103108,3875,96811,3917,6297,1142,30713,2210,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1885133,3433,679646,8654,151088,5867,97868,4487,408,274,97460,4523,87286,4490,10174,1893,53220,3295,156533,6616,87800,5015,87,102,87713,4997,78866,4605,8847,1639,68733,4456,372025,7431,272919,7359,156,167,272763,7328,253393,7456,19370,2443,99106,5597,1205487,8895,829316,10867,693,314,828623,10865,765667,11181,62956,4164,376171,8881,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,854356,4064,311510,6876,74981,4719,49195,3638,34,44,49161,3635,43205,3474,5956,1170,25786,2614,62110,3571,40162,2687,296,355,39866,2659,36466,2509,3400,1155,21948,2111,174419,5676,131509,5620,137,177,131372,5629,123095,5438,8277,1531,42910,2940,542846,7110,357507,7285,230,167,357277,7292,332785,7292,24492,2749,185339,6470,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11457547,7701,4113862,28287,928787,15926,612426,13124,2565,947,609861,13046,546623,12329,63238,4038,316361,9711,876144,16604,519933,11710,661,389,519272,11791,454015,10371,65257,4480,356211,10583,2308931,20870,1657315,18377,574,280,1656741,18394,1504920,17107,151821,6237,651616,11035,7343685,27891,5239579,29510,5347,1072,5234232,29437,4754620,27582,479612,12057,2104106,20111,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1579868,3507,576343,9060,139900,5490,93774,4778,369,268,93405,4774,86331,4562,7074,1581,46126,3921,117873,5488,73671,4139,644,518,73027,4185,67366,3961,5661,1268,44202,3473,318570,6907,247841,6366,359,218,247482,6391,234366,6423,13116,1697,70729,3829,1003525,9270,764157,10276,1389,745,762768,10240,715168,9562,47600,3625,239368,6925,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1074116,2208,387826,6888,85061,4634,62070,4006,64,107,62006,4017,57940,3932,4066,1187,22991,2539,67346,3879,48327,3417,0,201,48327,3417,43639,3349,4688,971,19019,1718,235419,5977,189737,5546,430,499,189307,5501,176367,5295,12940,1854,45682,2976,686290,7191,534594,8908,519,475,534075,8843,492040,8905,42035,3551,151696,5814,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,278596,1275,91805,3295,23275,2430,17653,2105,194,297,17459,2089,15999,2034,1460,631,5622,1250,18332,2149,12424,1928,91,141,12333,1920,10336,1900,1997,902,5908,1336,50198,3680,41617,3511,0,189,41617,3511,39362,3376,2255,605,8581,1619,186791,3509,137478,4012,167,236,137311,3988,127389,3915,9922,1694,49313,3054,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,219758,1721,51377,3183,16904,2068,12399,1796,0,203,12399,1796,10804,1726,1595,623,4505,997,9252,1545,6673,1290,0,203,6673,1290,5376,1302,1297,593,2579,815,25221,2143,19529,1816,0,203,19529,1816,17324,1814,2205,711,5692,1117,168381,3758,134401,4104,421,326,133980,4122,124037,3975,9943,1840,33980,2557,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5723207,7092,1846895,16420,418414,11161,288856,9558,1103,525,287753,9609,256599,9211,31154,3718,129558,6438,352662,10610,231487,8850,274,240,231213,8884,199231,8099,31982,3966,121175,6402,1075819,12989,839914,12800,1042,691,838872,12795,774906,13496,63966,4890,235905,7247,3876312,17128,2728823,21880,3005,1083,2725818,21761,2488392,23460,237426,8293,1147489,17947,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
