GEO_ID,B13008_001E,B13008_001M,B13008_002E,B13008_002M,B13008_003E,B13008_003M,B13008_004E,B13008_004M,B13008_005E,B13008_005M,B13008_006E,B13008_006M,B13008_007E,B13008_007M,B13008_008E,B13008_008M,B13008_009E,B13008_009M,B13008_010E,B13008_010M,B13008_011E,B13008_011M,B13008_012E,B13008_012M,B13008_013E,B13008_013M,B13008_014E,B13008_014M,B13008_015E,B13008_015M,NAME,B13008_001EA,B13008_001MA,B13008_002MA,B13008_002EA,B13008_003EA,B13008_003MA,B13008_004MA,B13008_004EA,B13008_005MA,B13008_005EA,B13008_006EA,B13008_006MA,B13008_007EA,B13008_007MA,B13008_008MA,B13008_008EA,B13008_009MA,B13008_009EA,B13008_010EA,B13008_010MA,B13008_011MA,B13008_011EA,B13008_012MA,B13008_012EA,B13008_013EA,B13008_013MA,B13008_014MA,B13008_014EA,B13008_015MA,B13008_015EA,state
0400000US01,1163325,5128,58053,4167,34616,3192,31793,3218,2823,1025,23437,2731,22794,2751,643,452,1105272,6551,479048,9389,449420,8508,29628,3181,626224,10386,607870,10212,18354,2837,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175297,1983,10411,1560,6499,1403,5704,1321,795,446,3912,777,3897,772,15,29,164886,2572,77427,2840,68107,2926,9320,1340,87459,2813,81593,2783,5866,1644,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1541860,3629,83011,4435,50203,3086,38007,2804,12196,1680,32808,3813,27174,3405,5634,1200,1458849,5855,607915,9493,448179,8023,159736,6466,850934,9450,745670,10856,105264,6006,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686653,4426,39228,3324,23821,2380,20336,2336,3485,954,15407,2159,14644,2169,763,474,647425,5695,303309,7929,276325,7385,26984,2581,344116,6643,326972,6610,17144,2608,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9559090,9658,477649,10106,312881,7590,184469,6159,128412,4972,164768,6689,120615,6321,44153,3725,9081441,14628,3859193,24451,2086324,18766,1772869,17938,5222248,23839,4111945,22723,1110303,15956,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1274702,4137,64982,3691,45784,2972,37798,2825,7986,1498,19198,2525,16578,2553,2620,888,1209720,5748,568299,8980,467393,7558,100906,4828,641421,9347,588161,8810,53260,4299,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,856016,2710,35904,3443,24400,2547,18601,2187,5799,1049,11504,2130,10221,2037,1283,579,820112,4416,341183,7424,256458,5765,84725,4657,478929,8522,423214,8371,55715,4873,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219750,1801,12589,1822,7966,1406,5788,1132,2178,870,4623,967,4028,877,595,380,207161,2508,80447,3568,66376,3507,14071,1732,126714,3630,118036,3817,8678,1722,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,196799,1107,9700,1579,4990,1293,3747,1131,1243,624,4710,1181,4220,1100,490,439,187099,1935,41518,3093,28754,2317,12764,1854,145581,3299,127825,3389,17756,2138,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4464346,8583,212782,8764,124208,6931,84630,5401,39578,3824,88574,5396,72720,5222,15854,3124,4251564,12743,1734765,20269,1187951,17767,546814,14164,2516799,19015,2075155,18713,441644,12449,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2527147,7588,126637,6248,75248,5520,59863,4699,15385,1934,51389,3977,46704,3696,4685,1319,2400510,9716,1017865,11493,834979,11271,182886,6231,1382645,14359,1268513,14561,114132,6416,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,318851,1719,18332,2019,12388,1787,9142,1514,3246,913,5944,1273,4486,1167,1458,767,300519,2760,140214,4944,99754,4053,40460,3366,160305,5261,136601,5273,23704,2377,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,366115,2423,21018,2449,16369,1990,14967,1933,1402,545,4649,1330,4533,1318,116,116,345097,3265,171932,5192,151300,5273,20632,2169,173165,4697,165796,4604,7369,1600,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3150687,5595,156818,6280,98126,4261,72552,3691,25574,2907,58692,4905,52326,4471,6366,1447,2993869,8215,1280531,12167,940516,10741,340015,8218,1713338,13531,1532471,13124,180867,8060,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1562092,5206,83444,4366,50702,3518,43933,3444,6769,1340,32742,3231,31546,3256,1196,622,1478648,6791,653303,10271,596343,10575,56960,3850,825345,10403,787626,10209,37719,3289,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,708322,3729,37894,2876,26782,2311,23346,2142,3436,812,11112,1677,10637,1733,475,308,670428,4498,315289,6130,286834,5855,28455,2767,355139,6450,334277,6192,20862,2713,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,667432,3290,43604,3090,29831,2657,25579,2472,4252,905,13773,2258,12553,2133,1220,605,623828,4258,298804,5704,260530,5768,38274,2606,325024,6010,301063,5789,23961,2939,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1035388,4563,53643,3689,34915,3109,32143,2969,2772,891,18728,1963,17300,1910,1428,731,981745,5676,464903,7545,439817,7782,25086,2471,516842,7622,499477,7866,17365,2208,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1125800,4344,64822,4224,32893,3154,29761,3083,3132,944,31929,2787,30681,2730,1248,623,1060978,5921,429038,9739,402349,9506,26689,2448,631940,11035,613166,11180,18774,2209,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,294461,1868,13667,1696,7982,1328,7719,1310,263,208,5685,1161,5284,1174,401,306,280794,2601,117601,3812,111244,3749,6357,1010,163193,4283,158736,4404,4457,1165,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1473312,4028,76852,4352,49936,3429,34974,2904,14962,1867,26916,2618,22368,2754,4548,1205,1396460,6107,577114,9400,431978,8261,145136,5426,819346,9920,714590,10357,104756,6209,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1665973,3616,77689,4269,54086,3736,37546,3061,16540,2318,23603,2823,20280,2628,3323,1083,1588284,5323,625581,8791,459632,7474,165949,5379,962703,8565,826845,9072,135858,5511,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
