GEO_ID,B06008_001E,B06008_001M,B06008_002E,B06008_002M,B06008_003E,B06008_003M,B06008_004E,B06008_004M,B06008_005E,B06008_005M,B06008_006E,B06008_006M,B06008_007E,B06008_007M,B06008_008E,B06008_008M,B06008_009E,B06008_009M,B06008_010E,B06008_010M,B06008_011E,B06008_011M,B06008_012E,B06008_012M,B06008_013E,B06008_013M,B06008_014E,B06008_014M,B06008_015E,B06008_015M,B06008_016E,B06008_016M,B06008_017E,B06008_017M,B06008_018E,B06008_018M,B06008_019E,B06008_019M,B06008_020E,B06008_020M,B06008_021E,B06008_021M,B06008_022E,B06008_022M,B06008_023E,B06008_023M,B06008_024E,B06008_024M,B06008_025E,B06008_025M,B06008_026E,B06008_026M,B06008_027E,B06008_027M,B06008_028E,B06008_028M,B06008_029E,B06008_029M,B06008_030E,B06008_030M,NAME,B06008_001MA,B06008_001EA,B06008_002EA,B06008_002MA,B06008_003EA,B06008_003MA,B06008_004EA,B06008_004MA,B06008_005EA,B06008_005MA,B06008_006MA,B06008_006EA,B06008_007EA,B06008_007MA,B06008_008EA,B06008_008MA,B06008_009EA,B06008_009MA,B06008_010MA,B06008_010EA,B06008_011MA,B06008_011EA,B06008_012MA,B06008_012EA,B06008_013EA,B06008_013MA,B06008_014EA,B06008_014MA,B06008_015EA,B06008_015MA,B06008_016MA,B06008_016EA,B06008_017MA,B06008_017EA,B06008_018MA,B06008_018EA,B06008_019EA,B06008_019MA,B06008_020EA,B06008_020MA,B06008_021MA,B06008_021EA,B06008_022MA,B06008_022EA,B06008_023EA,B06008_023MA,B06008_024MA,B06008_024EA,B06008_025EA,B06008_025MA,B06008_026EA,B06008_026MA,B06008_027MA,B06008_027EA,B06008_028EA,B06008_028MA,B06008_029MA,B06008_029EA,B06008_030EA,B06008_030MA,state
0400000US01,3910998,3826,1184204,13042,1847833,25344,489545,12815,100192,5720,289224,8046,2609405,19250,850662,13825,1161062,20916,325073,10479,67233,4223,205375,6518,1111071,18673,280135,10347,578630,11946,148912,7302,28668,2822,74726,4539,36622,3879,10513,1955,19810,2730,4289,1094,640,484,1370,714,153900,7382,42894,4693,88331,5150,11271,2182,3651,1138,7753,1466,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,576379,1408,201374,5998,280506,7736,62255,3881,9765,1622,22479,2174,195371,5326,107800,4085,63648,3878,14275,1726,3077,841,6571,1121,319737,5370,76804,4979,182454,6401,42210,3476,5113,1130,13156,1650,12017,2016,4312,1229,5884,1582,1388,581,266,261,167,144,49254,3347,12458,2086,28520,2410,4382,1097,1309,639,2585,845,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5281089,1395,1741179,16350,2488012,24486,659984,13526,102730,6233,289184,6951,1495422,23071,802990,16172,474183,12897,150913,7392,27731,3153,39605,3171,2856432,20969,697434,14743,1480744,16434,425124,10765,44913,4014,208217,5900,70654,5211,24884,2847,32178,3018,9266,1652,2259,878,2067,786,858581,17509,215871,10205,500907,12948,74681,5174,27827,3164,39295,3290,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2363879,3205,656011,11532,1178425,16770,315552,9842,54434,4450,159457,6041,1362806,12512,422859,9291,631357,13346,179639,6746,32213,2929,96738,4447,856603,11693,194332,7266,459951,10909,124684,6414,19133,2458,58503,3599,17248,2481,5245,1456,9181,1728,2010,730,570,381,242,138,127222,5063,33575,4956,77936,4264,9219,1756,2518,888,3974,1147,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30732852,3548,11303446,41679,14181247,60615,2981148,28520,718513,14945,1548498,18687,14154321,56705,7196422,38824,4951562,43073,1309909,21391,288063,10187,408365,9921,6175357,38254,1534151,21465,3067905,32154,886103,17566,117521,5412,569677,10981,401618,8789,151097,6637,183590,6275,41447,3237,9997,2089,15487,2185,10001556,49591,2421776,30830,5978190,36026,743689,14013,302932,10124,554969,13469,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4224677,3383,1326374,15491,2125695,22861,515662,13817,66352,4851,190594,5441,1457782,15726,626475,11208,592243,14200,162802,7363,21839,2588,54423,3352,2231322,15359,574876,13808,1206180,15907,305739,10497,29145,3082,115382,4205,63428,4093,19867,2169,32817,2848,7861,1583,1508,781,1375,560,472145,10704,105156,5523,294455,8899,39260,3730,13860,2050,19414,1923,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2955331,1273,1005991,12762,1414080,18842,317898,9843,39667,3317,177695,5095,1470633,13825,602577,11284,612271,12704,161473,6643,12625,1857,81687,3737,892745,14300,239290,9089,480782,11124,101204,5170,10106,1666,61363,4028,112914,5360,44995,3951,40260,3644,14804,2358,5258,1206,7597,1439,479039,12339,119129,8483,280767,10279,40417,4152,11678,1984,27048,2177,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,754812,623,252727,5968,356232,8527,88051,4706,13695,2177,44107,2351,300145,7783,131937,4883,113934,5626,33920,3551,5230,1464,15124,1361,365861,7190,95115,4551,190499,7257,47842,3388,6867,1453,25538,2014,13904,2316,5046,1232,6177,1546,2001,707,297,302,383,240,74902,4286,20629,2651,45622,3740,4288,970,1301,602,3062,881,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,550110,307,308055,6071,150009,7041,54846,3678,13553,2014,23647,2362,162918,5922,104004,5002,26361,2936,19702,2240,5446,1247,7405,1326,288427,6552,161575,5061,82662,5026,26856,2437,4695,1160,12639,1702,10177,1734,5565,1291,3193,872,861,461,239,287,319,355,88588,5060,36911,3749,37793,3560,7427,1668,3173,996,3284,882,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16226496,3939,5097873,32840,7453192,49943,2124737,31849,401610,12629,1149084,16997,4440483,31296,2349109,26704,1379213,25049,461315,11955,98197,5061,152649,7215,7520817,34704,1682160,27278,3853336,31456,1119197,19286,157045,8178,709079,14138,596234,17380,188445,10348,275348,10020,85653,7251,15256,2570,31532,3028,3668962,35191,878159,21052,1945295,29783,458572,12535,131112,7371,255824,10949,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
