GEO_ID,B10054_001E,B10054_001M,B10054_002E,B10054_002M,B10054_003E,B10054_003M,B10054_004E,B10054_004M,B10054_005E,B10054_005M,B10054_006E,B10054_006M,B10054_007E,B10054_007M,B10054_008E,B10054_008M,B10054_009E,B10054_009M,B10054_010E,B10054_010M,B10054_011E,B10054_011M,B10054_012E,B10054_012M,B10054_013E,B10054_013M,B10054_014E,B10054_014M,B10054_015E,B10054_015M,B10054_016E,B10054_016M,B10054_017E,B10054_017M,NAME,B10054_001MA,B10054_001EA,B10054_002EA,B10054_002MA,B10054_003EA,B10054_003MA,B10054_004EA,B10054_004MA,B10054_005MA,B10054_005EA,B10054_006MA,B10054_006EA,B10054_007EA,B10054_007MA,B10054_008EA,B10054_008MA,B10054_009EA,B10054_009MA,B10054_010MA,B10054_010EA,B10054_011MA,B10054_011EA,B10054_012MA,B10054_012EA,B10054_013EA,B10054_013MA,B10054_014EA,B10054_014MA,B10054_015MA,B10054_015EA,B10054_016EA,B10054_016MA,B10054_017MA,B10054_017EA,state
0400000US01,122379,6359,116843,6140,61555,4488,39754,3798,21801,2519,55288,4961,5536,1252,1164,532,545,383,255,221,290,261,619,369,4372,1266,756,390,688,381,68,92,3616,1310,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15575,2047,9308,1828,4950,1251,3680,1122,1270,459,4358,1120,6267,1110,3720,748,2303,656,1315,426,988,352,1417,383,2547,708,1113,563,780,514,333,157,1434,537,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,159959,9264,79878,6231,33686,3843,20027,3214,13659,1931,46192,4636,80081,6454,34076,2960,13403,1920,9012,1575,4391,856,20673,2518,46005,5537,12274,2172,8405,1787,3869,883,33731,4647,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66665,4100,62703,4010,36495,3193,21313,2371,15182,2002,26208,2816,3962,1035,905,634,592,380,512,381,80,96,313,314,3057,817,1287,583,1003,574,284,388,1770,606,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1125828,19018,366802,10068,132630,6279,73788,5008,58842,3729,234172,8330,759026,16187,169121,8462,49609,4175,34170,3821,15439,2154,119512,6796,589905,13592,113598,5923,71959,4791,41639,3470,476307,13039,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100500,6067,68792,5203,28577,3769,17893,2833,10684,1897,40215,3897,31708,3647,11026,1830,4803,1410,3289,1210,1514,700,6223,1302,20682,3114,5092,1308,3993,1156,1099,520,15590,2890,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65480,4643,41034,3534,13778,2498,7912,2211,5866,1376,27256,3206,24446,3490,8812,2305,1623,590,1183,527,440,268,7189,2154,15634,2437,3764,1242,2791,1056,973,570,11870,1964,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23749,2994,19299,2938,9478,1745,7137,1619,2341,663,9821,1977,4450,1010,1456,619,277,269,194,256,83,102,1179,589,2994,968,675,553,236,276,439,473,2319,849,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10666,1540,9062,1380,3687,999,2139,813,1548,472,5375,1136,1604,728,516,421,99,121,59,98,40,68,417,380,1088,606,458,406,362,363,96,170,630,508,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468303,13938,279353,11382,117258,7195,66102,6055,51156,4416,162095,9392,188950,9728,51143,4656,14885,2500,9600,1988,5285,1216,36258,4242,137807,8876,22162,3564,12283,2410,9879,2062,115645,7877,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
