GEO_ID,B99187_001E,B99187_002E,B99187_003E,B99187_004E,B99187_005E,B99187_006E,B99187_007E,NAME,B99187_001EA,B99187_002EA,B99187_003EA,B99187_004EA,B99187_005EA,B99187_006EA,B99187_007EA,state
0400000US01,3832877,185340,12679,172661,3647537,261061,3386476,Alabama,null,null,null,null,null,null,null,01
0400000US02,553747,29384,1909,27475,524363,28802,495561,Alaska,null,null,null,null,null,null,null,02
0400000US04,5176698,268977,30271,238706,4907721,397529,4510192,Arizona,null,null,null,null,null,null,null,04
0400000US05,2313121,115232,8018,107214,2197889,122121,2075768,Arkansas,null,null,null,null,null,null,null,05
0400000US06,30235131,1561533,118756,1442777,28673598,1935507,26738091,California,null,null,null,null,null,null,null,06
0400000US08,4129712,195631,20372,175259,3934081,312179,3621902,Colorado,null,null,null,null,null,null,null,08
0400000US09,2900790,143540,12082,131458,2757250,178462,2578788,Connecticut,null,null,null,null,null,null,null,09
0400000US10,740570,32407,3071,29336,708163,50179,657984,Delaware,null,null,null,null,null,null,null,10
0400000US11,539546,15000,1199,13801,524546,46008,478538,District of Columbia,null,null,null,null,null,null,null,11
0400000US12,15919794,694502,61422,633080,15225292,1105129,14120163,Florida,null,null,null,null,null,null,null,12
0400000US13,7725690,411882,32799,379083,7313808,495909,6817899,Georgia,null,null,null,null,null,null,null,13
0400000US15,1086558,48238,4959,43279,1038320,71233,967087,Hawaii,null,null,null,null,null,null,null,15
0400000US16,1235439,69215,4931,64284,1166224,72391,1093833,Idaho,null,null,null,null,null,null,null,16
0400000US17,10207759,521103,37337,483766,9686656,581352,9105304,Illinois,null,null,null,null,null,null,null,17
0400000US18,5153004,265468,19181,246287,4887536,283714,4603822,Indiana,null,null,null,null,null,null,null,18
0400000US19,2447478,123458,7881,115577,2324020,142981,2181039,Iowa,null,null,null,null,null,null,null,19
0400000US20,2234374,116575,7471,109104,2117799,120498,1997301,Kansas,null,null,null,null,null,null,null,20
0400000US21,3466129,166149,11977,154172,3299980,222989,3076991,Kentucky,null,null,null,null,null,null,null,21
0400000US22,3589133,177200,11680,165520,3411933,199782,3212151,Louisiana,null,null,null,null,null,null,null,22
0400000US23,1103175,48811,3766,45045,1054364,55282,999082,Maine,null,null,null,null,null,null,null,23
0400000US24,4719685,228764,23371,205393,4490921,362111,4128810,Maryland,null,null,null,null,null,null,null,24
0400000US25,5471969,247480,20531,226949,5224489,382294,4842195,Massachusetts,null,null,null,null,null,null,null,25
0400000US26,7949314,404866,28433,376433,7544448,459603,7084845,Michigan,null,null,null,null,null,null,null,26
0400000US27,4294095,211650,16164,195486,4082445,235659,3846786,Minnesota,null,null,null,null,null,null,null,27
0400000US28,2310823,119687,7709,111978,2191136,128022,2063114,Mississippi,null,null,null,null,null,null,null,28
0400000US29,4768981,232892,20880,212012,4536089,283962,4252127,Missouri,null,null,null,null,null,null,null,29
0400000US30,814035,37688,2314,35374,776347,48535,727812,Montana,null,null,null,null,null,null,null,30
0400000US31,1451470,73448,5381,68067,1378022,86081,1291941,Nebraska,null,null,null,null,null,null,null,31
0400000US32,2206782,110672,7208,103464,2096110,128443,1967667,Nevada,null,null,null,null,null,null,null,32
0400000US33,1089026,51010,3845,47165,1038016,51071,986945,New Hampshire,null,null,null,null,null,null,null,33
0400000US34,7125758,351818,27313,324505,6773940,434676,6339264,New Jersey,null,null,null,null,null,null,null,34
0400000US35,1627891,82942,4490,78452,1544949,81378,1463571,New Mexico,null,null,null,null,null,null,null,35
0400000US36,15898743,729649,61321,668328,15169094,1168407,14000687,New York,null,null,null,null,null,null,null,36
0400000US37,7737107,372336,28139,344197,7364771,459615,6905156,North Carolina,null,null,null,null,null,null,null,37
0400000US38,572458,24707,1338,23369,547751,33861,513890,North Dakota,null,null,null,null,null,null,null,38
0400000US39,9214259,460913,32135,428778,8753346,500090,8253256,Ohio,null,null,null,null,null,null,null,39
0400000US40,2973747,149626,11331,138295,2824121,171185,2652936,Oklahoma,null,null,null,null,null,null,null,40
0400000US41,3182472,147639,11695,135944,3034833,180636,2854197,Oregon,null,null,null,null,null,null,null,41
0400000US42,10338371,477839,37985,439854,9860532,657943,9202589,Pennsylvania,null,null,null,null,null,null,null,42
0400000US44,861780,38164,1530,36634,823616,51920,771696,Rhode Island,null,null,null,null,null,null,null,44
0400000US45,3776879,175378,14877,160501,3601501,253917,3347584,South Carolina,null,null,null,null,null,null,null,45
0400000US46,651849,32074,2261,29813,619775,32286,587489,South Dakota,null,null,null,null,null,null,null,46
0400000US47,5154732,249662,18609,231053,4905070,303929,4601141,Tennessee,null,null,null,null,null,null,null,47
0400000US48,20080462,1132682,86173,1046509,18947780,1140834,17806946,Texas,null,null,null,null,null,null,null,48
0400000US49,2115121,134593,8567,126026,1980528,103271,1877257,Utah,null,null,null,null,null,null,null,49
0400000US50,520508,23424,1783,21641,497084,24393,472691,Vermont,null,null,null,null,null,null,null,50
0400000US51,6502335,309802,27993,281809,6192533,409477,5783056,Virginia,null,null,null,null,null,null,null,51
0400000US53,5533556,263910,18827,245083,5269646,326483,4943163,Washington,null,null,null,null,null,null,null,53
0400000US54,1508473,64808,2319,62489,1443665,65964,1377701,West Virginia,null,null,null,null,null,null,null,54
0400000US55,4588568,224083,18992,205091,4364485,255923,4108562,Wisconsin,null,null,null,null,null,null,null,55
0400000US56,455054,21135,1460,19675,433919,28155,405764,Wyoming,null,null,null,null,null,null,null,56
0400000US72,2928903,153529,5087,148442,2775374,136485,2638889,Puerto Rico,null,null,null,null,null,null,null,72
