GEO_ID,C23022_001E,C23022_001M,C23022_002E,C23022_002M,C23022_003E,C23022_003M,C23022_004E,C23022_004M,C23022_005E,C23022_005M,C23022_006E,C23022_006M,C23022_007E,C23022_007M,C23022_008E,C23022_008M,C23022_009E,C23022_009M,C23022_010E,C23022_010M,C23022_011E,C23022_011M,NAME,C23022_001MA,C23022_001EA,C23022_002EA,C23022_002MA,C23022_003EA,C23022_003MA,C23022_004MA,C23022_004EA,C23022_005EA,C23022_005MA,C23022_006EA,C23022_006MA,C23022_007MA,C23022_007EA,C23022_008EA,C23022_008MA,C23022_009EA,C23022_009MA,C23022_010EA,C23022_010MA,C23022_011EA,C23022_011MA,state
0400000US01,3124017,5503,1528876,5198,1129835,11883,791640,11037,338195,9539,399041,9970,1595141,4457,1026865,9856,610400,11481,416465,9935,568276,10017,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,500140,2006,266426,1839,226602,3206,140577,4283,86025,3333,39824,3020,233714,1799,180306,2717,98011,3641,82295,3139,53408,2867,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4172962,4697,2097238,3376,1592243,10093,1087033,11602,505210,12428,504995,10495,2075724,3672,1382382,11364,798748,12546,583634,11671,693342,11025,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1871626,4042,932041,3934,685461,7437,484944,7765,200517,6529,246580,7712,939585,3680,620824,8089,379282,7544,241542,7435,318761,7855,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25415009,10463,12803858,7625,9849418,24830,6563439,34188,3285979,26343,2954440,24671,12611151,8447,8344380,25755,4531073,27342,3813307,27560,4266771,24949,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3509451,5018,1786433,4036,1503664,7551,1022370,11260,481294,11569,282769,7244,1723018,4045,1294346,9833,710288,9719,584058,10687,428672,9761,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2364376,2725,1168955,2128,954189,6023,646218,8894,307971,8300,214766,5835,1195421,2492,897702,8270,491079,8685,406623,7248,297719,7884,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,595180,1450,288977,1229,234721,3241,159227,4796,75494,4280,54256,2964,306203,1319,226039,3789,135427,4276,90612,3314,80164,3891,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,471473,966,225648,790,179808,2905,123827,3516,55981,3401,45840,2914,245825,729,185827,3215,120698,4254,65129,3682,59998,3341,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12352418,9025,6109980,5685,4572776,21431,3140757,23503,1432019,21285,1537204,21110,6242438,6733,4240161,23216,2553913,22235,1686248,18860,2002277,23302,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6589067,7236,3237228,6791,2434316,13546,1726834,17298,707482,16545,802912,14218,3351839,6192,2251973,16009,1342519,17093,909454,15050,1099866,16630,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,908433,2006,470539,1666,382851,5063,275089,5408,107762,4895,87688,4765,437894,1772,319279,5019,191219,5025,128060,4885,118615,4759,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1006184,2787,506714,2206,421108,4368,284438,6052,136670,5294,85606,4472,499470,2347,353252,5868,175510,5504,177742,5246,146218,6172,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8465861,5980,4210379,4976,3339038,12217,2310121,14790,1028917,13970,871341,11788,4255482,5410,3073088,15729,1749884,14511,1323204,13167,1182394,15784,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4242587,4467,2109360,4498,1682920,10503,1162749,11991,520171,10484,426440,9738,2133227,4169,1536030,10331,851281,10554,684749,12554,597197,10740,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1969147,3319,990133,2929,849302,5700,608116,6744,241186,5549,140831,5105,979014,3027,790363,5335,460854,6959,329509,6857,188651,5399,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1844918,3355,932994,2822,786585,4734,564785,6329,221800,6255,146409,5022,911924,3068,692204,6971,401857,7532,290347,6732,219720,6745,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
