GEO_ID,B27001I_001E,B27001I_001M,B27001I_002E,B27001I_002M,B27001I_003E,B27001I_003M,B27001I_004E,B27001I_004M,B27001I_005E,B27001I_005M,B27001I_006E,B27001I_006M,B27001I_007E,B27001I_007M,B27001I_008E,B27001I_008M,B27001I_009E,B27001I_009M,B27001I_010E,B27001I_010M,B27001I_011E,B27001I_011M,B27001I_012E,B27001I_012M,B27001I_013E,B27001I_013M,B27001I_014E,B27001I_014M,B27001I_015E,B27001I_015M,B27001I_016E,B27001I_016M,B27001I_017E,B27001I_017M,B27001I_018E,B27001I_018M,B27001I_019E,B27001I_019M,B27001I_020E,B27001I_020M,B27001I_021E,B27001I_021M,B27001I_022E,B27001I_022M,B27001I_023E,B27001I_023M,B27001I_024E,B27001I_024M,B27001I_025E,B27001I_025M,B27001I_026E,B27001I_026M,B27001I_027E,B27001I_027M,B27001I_028E,B27001I_028M,NAME,B27001I_001EA,B27001I_001MA,B27001I_002EA,B27001I_002MA,B27001I_003EA,B27001I_003MA,B27001I_004EA,B27001I_004MA,B27001I_005MA,B27001I_005EA,B27001I_006EA,B27001I_006MA,B27001I_007MA,B27001I_007EA,B27001I_008EA,B27001I_008MA,B27001I_009EA,B27001I_009MA,B27001I_010EA,B27001I_010MA,B27001I_011MA,B27001I_011EA,B27001I_012MA,B27001I_012EA,B27001I_013MA,B27001I_013EA,B27001I_014MA,B27001I_014EA,B27001I_015MA,B27001I_015EA,B27001I_016EA,B27001I_016MA,B27001I_017MA,B27001I_017EA,B27001I_018MA,B27001I_018EA,B27001I_019EA,B27001I_019MA,B27001I_020MA,B27001I_020EA,B27001I_021MA,B27001I_021EA,B27001I_022EA,B27001I_022MA,B27001I_023EA,B27001I_023MA,B27001I_024MA,B27001I_024EA,B27001I_025EA,B27001I_025MA,B27001I_026EA,B27001I_026MA,B27001I_027MA,B27001I_027EA,B27001I_028EA,B27001I_028MA,state
0400000US01,187172,1538,28054,2202,26699,2298,1355,808,42455,2852,36742,2958,5713,1778,26052,3188,11871,2148,14181,2779,36790,3465,11378,1990,25412,3232,25895,2801,11869,2288,14026,2212,14929,2001,8177,1632,6752,1880,6880,1257,4816,1102,2064,712,4019,1208,3197,1065,822,522,2098,706,1923,720,175,225,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45281,776,6663,760,6223,697,440,380,9790,870,9004,870,786,431,7215,868,4571,1072,2644,854,6799,899,4887,813,1912,681,5458,1095,4034,864,1424,775,4153,994,3479,942,674,407,3107,660,2076,507,1031,456,1283,497,1171,491,112,181,813,474,813,474,0,147,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1966668,2946,228828,3495,203451,4360,25377,3261,470153,3525,390153,7055,80000,6444,251000,2517,153528,6736,97472,6463,293807,3040,178486,6426,115321,6459,263313,1864,156928,5897,106385,5925,208476,1730,134421,4911,74055,4662,135296,1054,95750,3622,39546,3451,71383,1098,68894,1347,2489,863,44412,1110,43438,1092,974,551,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,200539,1645,29114,2699,27776,2783,1338,734,53659,2747,47569,3100,6090,1671,22916,2006,13127,1755,9789,1964,36091,3204,16283,2497,19808,2880,28165,2374,12565,1821,15600,2174,16743,2330,10009,1935,6734,1739,8255,1128,4485,992,3770,1083,3628,1113,3522,1092,106,199,1968,725,1968,725,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14560744,4132,1615719,9524,1513737,10274,101982,6481,3137405,9540,2784647,14206,352758,12458,1830243,3391,1134721,13743,695522,13744,2300877,3221,1366054,13495,934823,13471,2074185,2641,1261857,14511,812328,14002,1679526,1930,1105718,11018,573808,10837,1052662,1485,737661,8855,315001,8631,520518,1664,487382,3289,33136,2915,349609,1695,338306,2798,11303,2050,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1087678,2069,129725,3256,118591,3836,11134,2023,256698,4057,217138,5097,39560,4061,129055,3203,82406,3749,46649,3911,167941,2840,102769,5052,65172,4945,152443,2720,93688,3808,58755,3684,114515,2392,79193,3539,35322,3261,76028,2128,58691,2595,17337,2148,36766,1123,35561,1238,1205,546,24507,1074,24199,1111,308,308,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,516968,1393,58282,1728,56208,1904,2074,810,111849,1750,103733,2503,8116,1730,65195,1340,45776,2761,19419,2633,85502,1324,55060,3024,30442,2873,74354,1357,50929,2860,23425,2709,61012,1088,46990,2571,14022,2219,34951,763,28088,1597,6863,1450,16442,617,15334,876,1108,647,9381,672,9065,736,316,348,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,80043,355,11150,862,10963,808,187,249,17940,861,16742,967,1198,722,9419,576,6045,1127,3374,1204,14436,791,9132,1410,5304,1108,13091,884,8201,1445,4890,1228,6650,792,5533,743,1117,587,4709,240,4030,438,679,461,1845,384,1845,384,0,189,803,355,803,355,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,64842,419,7577,472,7577,472,0,203,8140,472,8078,477,62,102,7588,244,5903,650,1685,606,16010,209,14075,980,1935,1003,10685,231,9862,612,823,565,7004,5,5776,645,1228,646,4452,3,3426,633,1026,632,2061,475,2061,475,0,203,1325,475,1325,475,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4575362,2917,387708,4015,351339,5740,36369,4970,778895,4002,647347,9993,131548,9345,478348,4520,266072,8504,212276,8052,676444,4841,355933,9563,320511,9395,700540,3841,401762,9870,298778,9763,637472,3575,380083,7998,257389,8438,420926,2300,268871,5764,152055,6099,274363,2309,256958,3411,17405,2906,220666,2488,214243,2982,6423,1843,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
