B20005G_084M,B20005G_085E,B20005G_085M,B20005G_086E,B20005G_086M,B20005G_087E,B20005G_087M,B20005G_088E,B20005G_088M,B20005G_089E,B20005G_089M,B20005G_090E,B20005G_090M,B20005G_091E,B20005G_091M,B20005G_092E,B20005G_092M,B20005G_093E,B20005G_093M,B20005G_094E,B20005G_094M,B20005G_095E,B20005G_095M,GEO_ID,B20005G_001E,B20005G_001M,B20005G_002E,B20005G_002M,B20005G_003E,B20005G_003M,B20005G_004E,B20005G_004M,B20005G_005E,B20005G_005M,B20005G_006E,B20005G_006M,B20005G_007E,B20005G_007M,B20005G_008E,B20005G_008M,B20005G_009E,B20005G_009M,B20005G_010E,B20005G_010M,B20005G_011E,B20005G_011M,B20005G_012E,B20005G_012M,B20005G_013E,B20005G_013M,B20005G_014E,B20005G_014M,B20005G_015E,B20005G_015M,B20005G_016E,B20005G_016M,B20005G_017E,B20005G_017M,B20005G_018E,B20005G_018M,B20005G_019E,B20005G_019M,B20005G_020E,B20005G_020M,B20005G_021E,B20005G_021M,B20005G_022E,B20005G_022M,B20005G_023E,B20005G_023M,B20005G_024E,B20005G_024M,B20005G_025E,B20005G_025M,B20005G_026E,B20005G_026M,B20005G_027E,B20005G_027M,B20005G_028E,B20005G_028M,B20005G_029E,B20005G_029M,B20005G_030E,B20005G_030M,B20005G_031E,B20005G_031M,B20005G_032E,B20005G_032M,B20005G_033E,B20005G_033M,B20005G_034E,B20005G_034M,B20005G_035E,B20005G_035M,B20005G_036E,B20005G_036M,B20005G_037E,B20005G_037M,B20005G_038E,B20005G_038M,B20005G_039E,B20005G_039M,B20005G_040E,B20005G_040M,B20005G_041E,B20005G_041M,B20005G_042E,B20005G_042M,B20005G_043E,B20005G_043M,B20005G_044E,B20005G_044M,B20005G_045E,B20005G_045M,B20005G_046E,B20005G_046M,B20005G_047E,B20005G_047M,B20005G_048E,B20005G_048M,B20005G_049E,B20005G_049M,B20005G_050E,B20005G_050M,B20005G_051E,B20005G_051M,B20005G_052E,B20005G_052M,B20005G_053E,B20005G_053M,B20005G_054E,B20005G_054M,B20005G_055E,B20005G_055M,B20005G_056E,B20005G_056M,B20005G_057E,B20005G_057M,B20005G_058E,B20005G_058M,B20005G_059E,B20005G_059M,B20005G_060E,B20005G_060M,B20005G_061E,B20005G_061M,B20005G_062E,B20005G_062M,B20005G_063E,B20005G_063M,B20005G_064E,B20005G_064M,B20005G_065E,B20005G_065M,B20005G_066E,B20005G_066M,B20005G_067E,B20005G_067M,B20005G_068E,B20005G_068M,B20005G_069E,B20005G_069M,B20005G_070E,B20005G_070M,B20005G_071E,B20005G_071M,B20005G_072E,B20005G_072M,B20005G_073E,B20005G_073M,B20005G_074E,B20005G_074M,B20005G_075E,B20005G_075M,B20005G_076E,B20005G_076M,B20005G_077E,B20005G_077M,B20005G_078E,B20005G_078M,B20005G_079E,B20005G_079M,B20005G_080E,B20005G_080M,B20005G_081E,B20005G_081M,B20005G_082E,B20005G_082M,B20005G_083E,B20005G_083M,B20005G_084E,B20005G_084MA,B20005G_085MA,B20005G_085EA,B20005G_086EA,B20005G_086MA,B20005G_087MA,B20005G_087EA,B20005G_088MA,B20005G_088EA,B20005G_089MA,B20005G_089EA,B20005G_090MA,B20005G_090EA,B20005G_091MA,B20005G_091EA,B20005G_092MA,B20005G_092EA,B20005G_093MA,B20005G_093EA,B20005G_094EA,B20005G_094MA,B20005G_095MA,B20005G_095EA,NAME,B20005G_001EA,B20005G_001MA,B20005G_002EA,B20005G_002MA,B20005G_003EA,B20005G_003MA,B20005G_004MA,B20005G_004EA,B20005G_005MA,B20005G_005EA,B20005G_006EA,B20005G_006MA,B20005G_007EA,B20005G_007MA,B20005G_008EA,B20005G_008MA,B20005G_009MA,B20005G_009EA,B20005G_010MA,B20005G_010EA,B20005G_011MA,B20005G_011EA,B20005G_012EA,B20005G_012MA,B20005G_013EA,B20005G_013MA,B20005G_014MA,B20005G_014EA,B20005G_015MA,B20005G_015EA,B20005G_016MA,B20005G_016EA,B20005G_017MA,B20005G_017EA,B20005G_018EA,B20005G_018MA,B20005G_019EA,B20005G_019MA,B20005G_020MA,B20005G_020EA,B20005G_021MA,B20005G_021EA,B20005G_022MA,B20005G_022EA,B20005G_023EA,B20005G_023MA,B20005G_024EA,B20005G_024MA,B20005G_025MA,B20005G_025EA,B20005G_026MA,B20005G_026EA,B20005G_027MA,B20005G_027EA,B20005G_028EA,B20005G_028MA,B20005G_029EA,B20005G_029MA,B20005G_030MA,B20005G_030EA,B20005G_031EA,B20005G_031MA,B20005G_032MA,B20005G_032EA,B20005G_033MA,B20005G_033EA,B20005G_034EA,B20005G_034MA,B20005G_035MA,B20005G_035EA,B20005G_036MA,B20005G_036EA,B20005G_037MA,B20005G_037EA,B20005G_038MA,B20005G_038EA,B20005G_039MA,B20005G_039EA,B20005G_040EA,B20005G_040MA,B20005G_041MA,B20005G_041EA,B20005G_042MA,B20005G_042EA,B20005G_043MA,B20005G_043EA,B20005G_044MA,B20005G_044EA,B20005G_045MA,B20005G_045EA,B20005G_046EA,B20005G_046MA,B20005G_047MA,B20005G_047EA,B20005G_048MA,B20005G_048EA,B20005G_049MA,B20005G_049EA,B20005G_050EA,B20005G_050MA,B20005G_051EA,B20005G_051MA,B20005G_052EA,B20005G_052MA,B20005G_053EA,B20005G_053MA,B20005G_054EA,B20005G_054MA,B20005G_055MA,B20005G_055EA,B20005G_056EA,B20005G_056MA,B20005G_057EA,B20005G_057MA,B20005G_058EA,B20005G_058MA,B20005G_059MA,B20005G_059EA,B20005G_060MA,B20005G_060EA,B20005G_061EA,B20005G_061MA,B20005G_062MA,B20005G_062EA,B20005G_063EA,B20005G_063MA,B20005G_064EA,B20005G_064MA,B20005G_065MA,B20005G_065EA,B20005G_066MA,B20005G_066EA,B20005G_067EA,B20005G_067MA,B20005G_068EA,B20005G_068MA,B20005G_069MA,B20005G_069EA,B20005G_070MA,B20005G_070EA,B20005G_071MA,B20005G_071EA,B20005G_072EA,B20005G_072MA,B20005G_073MA,B20005G_073EA,B20005G_074EA,B20005G_074MA,B20005G_075EA,B20005G_075MA,B20005G_076MA,B20005G_076EA,B20005G_077EA,B20005G_077MA,B20005G_078EA,B20005G_078MA,B20005G_079EA,B20005G_079MA,B20005G_080MA,B20005G_080EA,B20005G_081MA,B20005G_081EA,B20005G_082MA,B20005G_082EA,B20005G_083EA,B20005G_083MA,B20005G_084EA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
280,112,182,9,17,62,53,525,483,130,146,123,130,255,218,49,61,0,147,165,257,0,147,0400000US02,33766,3126,16870,2422,6876,1590,0,147,6876,1590,0,147,117,150,0,147,12,20,302,218,195,217,47,71,179,129,18,22,463,327,646,488,364,325,490,429,668,577,504,472,352,221,551,420,110,103,982,574,876,432,9994,1514,3662,1136,6332,1245,841,281,605,411,768,406,553,512,409,333,99,104,419,338,163,136,302,223,170,206,141,138,205,222,204,186,291,300,11,21,64,68,347,268,153,128,194,82,393,390,16896,1759,6719,1454,0,147,6719,1454,0,147,0,147,0,147,0,147,350,368,7,13,16,28,23,41,654,536,535,515,405,271,618,440,1005,514,916,652,153,193,549,462,653,332,305,201,454,273,76,88,10177,1569,3723,904,6454,1226,931,495,835,494,522,252,279,258,745,418,9,19,1035,608,240,200,428,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
187,354,276,546,370,351,329,432,329,87,105,405,310,114,139,131,127,173,168,296,291,381,589,0400000US04,120483,7594,58970,4560,21215,2496,0,203,21215,2496,0,203,0,203,106,132,303,206,574,398,46,77,818,382,455,317,1069,581,465,342,1635,586,2047,781,1352,574,2345,838,1062,493,2205,823,1581,663,336,192,2278,843,2538,803,37755,3481,19588,2370,18167,2414,3063,847,2450,755,2820,815,1252,553,1785,801,1101,635,1141,588,737,454,565,291,248,265,1108,1097,832,468,268,249,203,180,86,124,173,202,167,246,48,79,53,87,67,80,61513,4538,17463,2329,0,203,17463,2329,38,68,287,299,91,106,129,147,1186,676,278,216,675,336,815,489,1069,680,496,292,1571,562,1164,560,1552,476,2168,753,645,278,1699,801,587,322,1184,598,737,426,1092,636,44050,3852,25166,3074,18884,2552,3839,1097,3149,967,2203,961,2336,906,1640,611,297,220,1210,541,655,464,285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1619,4063,1086,6937,1366,4200,886,2778,762,2597,775,1172,513,1599,589,3503,844,2444,630,1707,498,1718,581,0400000US06,1033276,21079,513679,12218,201818,7248,0,203,201818,7248,662,335,206,210,1431,631,660,331,4293,887,3804,1080,5918,1464,5454,1147,11956,2044,5672,1366,12463,1934,13831,1811,11786,1922,11608,2011,8359,1421,13830,1839,15812,1978,14292,1975,23147,2650,36634,2808,311861,9939,164252,7643,147609,6337,27615,2666,17797,2388,16422,1825,9604,1441,14650,2147,6199,1231,9056,1387,5305,1179,7069,1601,3418,940,4961,1109,4834,1035,3535,896,4365,1076,1628,670,2143,966,1950,856,1997,716,2494,723,2567,777,519597,12833,149770,6170,0,203,149770,6170,382,259,322,231,1031,460,1757,684,5057,1190,2869,939,4200,1048,3674,895,5695,1221,4552,1050,11756,1904,13505,1964,11433,1636,10578,1972,9708,1519,10262,1753,13040,2052,9272,1281,15629,1816,15048,2112,369827,10916,199071,7104,170756,7268,37108,3665,19577,1999,19423,2191,12325,1914,18328,2268,8732,1273,10579,1782,4572,1221,7394,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
638,282,270,576,341,833,534,268,243,260,240,180,179,127,164,158,246,222,216,77,128,0,195,0400000US08,112554,6721,56901,4203,26523,2588,0,195,26523,2588,14,27,17,29,32,54,261,215,999,522,389,368,513,303,869,471,891,483,704,502,2774,1067,2362,964,1865,713,1642,504,1366,620,1934,649,2397,609,1163,542,3328,994,3003,749,30378,3277,13747,1792,16631,2620,4061,1365,1756,826,3162,1051,647,396,2166,862,514,347,259,216,463,358,1024,578,381,300,150,121,986,438,120,194,241,286,107,118,71,69,105,133,105,118,88,134,225,241,55653,3910,19544,2241,0,195,19544,2241,140,207,88,106,329,272,386,412,378,307,253,240,793,476,807,371,1134,593,810,409,1986,725,1856,767,2774,997,1213,438,1046,501,1105,565,1317,459,854,624,1427,560,848,447,36109,3425,16005,2218,20104,2565,4979,1372,2146,675,3084,1013,2164,827,1212,522,851,416,858,436,714,397,1113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
153,387,296,381,348,280,218,180,174,157,161,0,201,167,184,32,53,0,201,60,98,21,36,0400000US09,57831,5217,28394,3475,9907,1985,0,201,9907,1985,0,201,0,201,138,185,16,30,330,353,0,201,245,239,339,353,1104,714,205,188,491,473,541,308,710,498,407,334,478,286,741,374,828,364,841,490,734,352,1759,695,18487,2828,8770,1704,9717,1810,2361,752,1625,564,835,496,629,446,635,458,626,466,942,444,268,329,343,290,32,54,371,328,148,246,351,288,0,201,0,201,156,191,67,106,27,46,247,272,54,90,29437,3100,8820,1413,0,201,8820,1413,0,201,0,201,26,46,0,201,65,58,259,288,190,191,346,327,795,435,151,135,710,424,824,419,748,459,723,353,666,402,1058,707,826,481,696,399,336,216,401,303,20617,2561,10129,1652,10488,1648,2834,1116,1393,486,715,425,1070,539,1007,500,526,380,862,416,267,276,149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
705,939,577,1229,447,1093,719,1138,651,767,408,249,167,0,218,276,257,89,97,0,218,82,97,0400000US12,278691,12694,137335,8092,53206,4836,0,218,53206,4836,188,241,179,251,642,674,246,202,2563,1180,1183,692,1673,738,3430,1186,4267,1178,2321,970,4425,1150,4999,1319,3314,1213,4980,1521,3122,996,3072,838,2027,811,2724,920,3733,1105,4118,980,84129,5868,46053,4483,38076,3540,6598,1556,3276,951,5130,1310,3421,1284,5196,1550,2064,766,2505,933,1552,726,1817,1019,540,404,1430,589,1028,484,761,492,654,507,381,322,179,148,761,540,126,149,492,355,165,149,141356,7700,45273,3761,0,218,45273,3761,84,166,0,218,1198,637,272,195,1716,766,452,326,2399,987,912,475,4341,1344,2287,796,4799,1578,4030,1062,3185,1029,3914,1304,2380,891,2643,841,3613,1033,2519,930,2853,949,1676,637,96083,6583,51877,3708,44206,4848,9841,1897,5218,1301,5750,1745,3343,1005,6072,1845,1803,918,3680,1183,793,512,1844,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
