GEO_ID,C01001H_001E,C01001H_001M,C01001H_002E,C01001H_002M,C01001H_003E,C01001H_003M,C01001H_004E,C01001H_004M,C01001H_005E,C01001H_005M,C01001H_006E,C01001H_006M,C01001H_007E,C01001H_007M,C01001H_008E,C01001H_008M,C01001H_009E,C01001H_009M,NAME,C01001H_001MA,C01001H_001EA,C01001H_002EA,C01001H_002MA,C01001H_003MA,C01001H_003EA,C01001H_004EA,C01001H_004MA,C01001H_005EA,C01001H_005MA,C01001H_006MA,C01001H_006EA,C01001H_007EA,C01001H_007MA,C01001H_008MA,C01001H_008EA,C01001H_009EA,C01001H_009MA,state
0400000US01,3204524,3006,1566760,2074,332301,1753,982751,738,251708,117,1637764,2078,318545,1579,996995,1116,322224,286,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459168,243,245392,775,50119,768,170189,262,25084,105,213776,722,45515,741,144312,139,23949,83,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3750664,2271,1853447,1452,338528,845,1127767,1178,387152,209,1897217,1512,321885,1249,1129039,789,446293,252,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2178091,1723,1069942,1842,234511,1760,658239,458,177192,146,1108149,1981,220896,1847,666354,510,220899,159,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14884539,6586,7423040,4108,1243604,2551,4882502,2816,1296934,758,7461499,3948,1180421,2282,4688703,2837,1592375,587,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3643026,3406,1820333,2312,361735,1306,1211915,1815,246683,393,1822693,2300,343094,1603,1182498,1162,297101,418,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2493100,2018,1213798,918,235263,425,775972,725,202563,158,1279302,1231,222363,676,789287,905,267652,103,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,592064,1118,286570,997,53611,143,179158,977,53801,64,305494,321,51113,136,187920,275,66461,62,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,230264,560,114582,409,11700,213,91871,251,11011,161,115682,302,11081,245,91935,170,12666,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10992388,6011,5389353,3980,909545,2600,3210503,2389,1269305,629,5603035,3934,861824,2881,3237928,2327,1503283,540,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
