GEO_ID,C17010A_001E,C17010A_001M,C17010A_002E,C17010A_002M,C17010A_003E,C17010A_003M,C17010A_004E,C17010A_004M,C17010A_005E,C17010A_005M,C17010A_006E,C17010A_006M,C17010A_007E,C17010A_007M,C17010A_008E,C17010A_008M,C17010A_009E,C17010A_009M,C17010A_010E,C17010A_010M,C17010A_011E,C17010A_011M,C17010A_012E,C17010A_012M,C17010A_013E,C17010A_013M,C17010A_014E,C17010A_014M,C17010A_015E,C17010A_015M,C17010A_016E,C17010A_016M,C17010A_017E,C17010A_017M,NAME,C17010A_001MA,C17010A_001EA,C17010A_002EA,C17010A_002MA,C17010A_003EA,C17010A_003MA,C17010A_004MA,C17010A_004EA,C17010A_005EA,C17010A_005MA,C17010A_006EA,C17010A_006MA,C17010A_007EA,C17010A_007MA,C17010A_008MA,C17010A_008EA,C17010A_009MA,C17010A_009EA,C17010A_010EA,C17010A_010MA,C17010A_011MA,C17010A_011EA,C17010A_012MA,C17010A_012EA,C17010A_013MA,C17010A_013EA,C17010A_014MA,C17010A_014EA,C17010A_015EA,C17010A_015MA,C17010A_016MA,C17010A_016EA,C17010A_017EA,C17010A_017MA,state
0400000US01,882697,10472,85061,4580,34180,2896,19776,2372,50881,4096,10305,1777,7283,1431,40576,3553,34251,3198,797636,10179,663694,10242,242401,7041,133942,5977,43693,3428,21328,2576,90249,5016,45358,4100,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,123696,3052,4349,780,1552,464,1013,398,2797,609,473,273,424,264,2324,590,2278,579,119347,2964,99038,3363,40550,2534,20309,2112,8121,1439,4595,1035,12188,1486,7258,1171,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1300671,11967,149919,6207,68876,4688,40696,3834,81043,4778,17829,2151,13102,2035,63214,4128,54275,3839,1150752,12309,909999,10385,330666,6845,240753,8068,79674,5065,43276,4095,161079,6536,94966,4710,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,613889,8601,69427,3803,28809,2513,18229,2210,40618,3120,7871,1434,5387,1100,32747,2538,27652,2420,544462,7654,449935,7649,169010,5162,94527,4057,30833,2578,15992,2195,63694,3645,32132,3020,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5608898,25941,609089,11601,272278,8338,188069,6681,336811,9089,73942,3943,56770,3823,262869,8105,218147,7727,4999809,25561,3903130,24404,1666233,17004,1096679,17017,368326,10839,181220,7616,728353,12540,377126,8945,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1111688,9903,81985,4839,35438,3170,22062,2453,46547,3453,8674,1491,5958,1275,37873,3315,33587,3234,1029703,10014,838797,10469,349512,8047,190906,6926,64712,4743,37757,3629,126194,5519,76675,4945,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,719219,9126,37275,3077,12694,1789,5995,1312,24581,2430,3395,976,2359,782,21186,2322,17209,1907,681944,8960,553680,9121,217591,5954,128264,5453,38891,3149,17275,2291,89373,4578,49370,3902,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,164476,3411,10543,1405,3996,942,2262,749,6547,1272,1143,500,694,418,5404,1146,4027,994,153933,3732,124680,3807,41524,2623,29253,2233,8275,1216,4404,867,20978,2061,10709,1522,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44098,2459,1716,888,1049,605,411,314,667,660,0,203,0,203,667,660,667,660,42382,2358,36824,2032,14390,1421,5558,1315,2439,962,1302,641,3119,823,2287,761,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3685249,21922,371330,12482,178531,7566,88551,5546,192799,9625,38319,3567,27657,2820,154480,8635,124652,7999,3313919,25328,2649923,23511,852595,14911,663996,13567,207714,8630,98314,5834,456282,10806,229053,8109,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
