GEO_ID,C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,NAME,C17001I_001MA,C17001I_001EA,C17001I_002MA,C17001I_002EA,C17001I_003EA,C17001I_003MA,C17001I_004MA,C17001I_004EA,C17001I_005MA,C17001I_005EA,C17001I_006EA,C17001I_006MA,C17001I_007MA,C17001I_007EA,C17001I_008MA,C17001I_008EA,C17001I_009EA,C17001I_009MA,C17001I_010EA,C17001I_010MA,C17001I_011MA,C17001I_011EA,C17001I_012EA,C17001I_012MA,C17001I_013MA,C17001I_013EA,C17001I_014MA,C17001I_014EA,C17001I_015MA,C17001I_015EA,C17001I_016EA,C17001I_016MA,C17001I_017EA,C17001I_017MA,C17001I_018MA,C17001I_018EA,C17001I_019EA,C17001I_019MA,state
0400000US01,185719,1721,56351,8408,29727,4261,14907,2164,14416,2903,404,364,26624,5167,12597,3285,13580,2582,447,280,129368,8613,72579,5779,22437,2633,47961,4164,2181,778,56789,4484,19742,2669,33962,2470,3085,986,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46320,548,5960,1920,3251,1093,1457,676,1585,630,209,188,2709,1171,1038,680,1650,772,21,37,40360,2048,21590,1430,7178,1001,13613,1010,799,341,18770,1302,6361,786,11342,1093,1067,568,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1952863,2993,565074,21951,257093,12618,127974,7446,121272,7217,7847,1230,307981,12113,128683,6130,165663,7531,13635,1734,1387789,22452,714062,13083,226102,7608,444039,7560,43921,1329,673727,12357,206943,6305,416392,7669,50392,1714,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,198820,1913,67229,7048,32519,4195,18764,2932,13200,2135,555,317,34710,4030,16330,2689,17449,2098,931,691,131591,6868,72499,4012,23721,2520,46544,2757,2234,876,59092,4271,22178,2753,35038,2410,1876,891,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14463635,7796,3387770,49970,1564865,28437,754750,18749,758066,17858,52049,3914,1822905,26926,727658,15995,1010192,15762,85055,3547,11075865,50456,5701232,28894,1632771,18295,3747305,17658,321156,4042,5374633,26566,1565173,15467,3397593,16117,411867,4158,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1082294,2408,248999,14686,114184,7615,57574,4830,53715,4286,2895,923,134815,8816,54891,4831,73488,4852,6436,1321,833295,14754,435260,7030,137738,4559,273602,4186,23920,1146,398035,9080,131564,5097,238449,5424,28022,1526,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,510845,1991,131151,8987,56829,4925,26295,3023,27512,3029,3022,869,74322,5465,28538,3063,41212,3229,4572,905,379694,9007,196595,4953,57929,2976,130732,3020,7934,1026,183099,5439,53842,3104,118962,3327,10295,1116,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,79224,803,24065,4816,10738,2713,4760,1428,5885,1831,93,133,13327,2650,5776,1465,7464,1706,87,140,55159,4874,30288,2795,9816,1457,19241,1923,1231,198,24871,2540,8010,1355,15624,1692,1237,249,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,63595,693,8005,2382,3428,1152,623,526,2433,824,372,502,4577,1661,1107,888,2784,1111,686,409,55590,2323,29039,1178,7017,600,21051,776,971,502,26551,1624,6970,935,18224,1179,1357,409,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4552059,4825,1006846,36543,460820,18278,173254,10316,244247,11359,43319,3193,546026,21314,168201,9074,309786,13204,68039,4754,3545213,36954,1783124,19308,418383,10921,1200934,11707,163807,3788,1762089,20778,391638,8367,1150587,13317,219864,5086,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
