GEO_ID,B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,B15002I_018E,B15002I_018M,B15002I_019E,B15002I_019M,NAME,B15002I_001EA,B15002I_001MA,B15002I_002MA,B15002I_002EA,B15002I_003MA,B15002I_003EA,B15002I_004EA,B15002I_004MA,B15002I_005MA,B15002I_005EA,B15002I_006MA,B15002I_006EA,B15002I_007EA,B15002I_007MA,B15002I_008MA,B15002I_008EA,B15002I_009EA,B15002I_009MA,B15002I_010EA,B15002I_010MA,B15002I_011EA,B15002I_011MA,B15002I_012MA,B15002I_012EA,B15002I_013EA,B15002I_013MA,B15002I_014EA,B15002I_014MA,B15002I_015MA,B15002I_015EA,B15002I_016EA,B15002I_016MA,B15002I_017EA,B15002I_017MA,B15002I_018MA,B15002I_018EA,B15002I_019EA,B15002I_019MA,state
0400000US01,92616,3235,51762,2872,12116,1956,6578,1617,15510,2732,1381,677,7183,1450,2063,863,4334,1323,2597,915,40854,1891,9869,1760,8587,1725,8628,1618,872,507,5758,1409,1656,819,3675,919,1809,737,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23797,911,12656,904,487,326,801,402,2666,757,1589,714,4109,1032,706,346,1480,580,818,476,11141,638,315,264,502,335,2407,743,759,470,3468,885,963,442,1907,728,820,505,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1046652,2164,519083,1787,102962,5624,88013,4322,119104,5353,27432,2803,102155,5458,29768,2602,32997,2993,16652,2000,527569,1212,98030,4212,79787,5410,122770,5145,23132,2458,109678,5956,35173,3163,40649,3287,18350,1875,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,97062,2543,50972,2530,14156,1801,11673,2185,10368,1959,1285,523,8092,1656,2173,1008,1628,648,1597,845,46090,1612,12615,1827,8354,1888,10082,1613,1293,669,5619,1403,3934,1431,2785,1015,1408,585,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8092574,2083,4043862,1556,980608,16052,668128,15884,931978,17346,121790,5279,719248,13172,202631,8523,306806,8982,112673,5009,4048712,1641,995268,15008,573042,12734,873122,16525,98351,4438,774141,13685,249544,8068,339207,8569,146037,6121,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,589344,3911,298811,2583,47191,3597,53025,4513,68874,4152,20799,2633,57975,3783,15229,1932,24898,2782,10820,1563,290533,2248,42028,3228,43396,3889,65834,3613,16686,2012,64148,3647,19090,2010,25039,2425,14312,1916,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,289889,1290,141745,1286,28356,2883,19536,2701,38836,3404,7468,1552,22261,2573,6369,1559,10040,1670,8879,1838,148144,858,21581,2025,20473,2230,37204,3316,5218,1430,30091,3022,10487,1857,13738,1884,9352,1415,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,42095,571,22164,557,4867,1046,2953,953,5854,1140,796,511,3788,860,987,390,1528,720,1391,593,19931,595,3466,982,3702,1143,4172,1182,709,388,3473,960,949,510,2053,813,1407,536,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42017,-555555555,21778,-555555555,2649,999,1874,844,1939,842,269,274,2226,763,777,627,5529,1152,6515,1426,20239,-555555555,2624,1001,1607,669,3137,919,416,362,1931,966,798,524,3614,800,6112,1220,District of Columbia,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2965363,4133,1434962,3202,197103,8127,159381,9740,364123,11716,57578,4869,246114,9272,121757,7231,191710,8626,97196,5451,1530401,3071,187889,8225,140028,6654,392407,11457,45354,3521,265206,9983,150685,7372,247114,8851,101718,5826,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
