GEO_ID,B13014_001E,B13014_001M,B13014_002E,B13014_002M,B13014_003E,B13014_003M,B13014_004E,B13014_004M,B13014_005E,B13014_005M,B13014_006E,B13014_006M,B13014_007E,B13014_007M,B13014_008E,B13014_008M,B13014_009E,B13014_009M,B13014_010E,B13014_010M,B13014_011E,B13014_011M,B13014_012E,B13014_012M,B13014_013E,B13014_013M,B13014_014E,B13014_014M,B13014_015E,B13014_015M,B13014_016E,B13014_016M,B13014_017E,B13014_017M,B13014_018E,B13014_018M,B13014_019E,B13014_019M,B13014_020E,B13014_020M,B13014_021E,B13014_021M,B13014_022E,B13014_022M,B13014_023E,B13014_023M,B13014_024E,B13014_024M,B13014_025E,B13014_025M,B13014_026E,B13014_026M,B13014_027E,B13014_027M,NAME,B13014_001EA,B13014_001MA,B13014_002EA,B13014_002MA,B13014_003EA,B13014_003MA,B13014_004EA,B13014_004MA,B13014_005MA,B13014_005EA,B13014_006MA,B13014_006EA,B13014_007EA,B13014_007MA,B13014_008EA,B13014_008MA,B13014_009MA,B13014_009EA,B13014_010MA,B13014_010EA,B13014_011MA,B13014_011EA,B13014_012EA,B13014_012MA,B13014_013MA,B13014_013EA,B13014_014MA,B13014_014EA,B13014_015MA,B13014_015EA,B13014_016EA,B13014_016MA,B13014_017MA,B13014_017EA,B13014_018MA,B13014_018EA,B13014_019EA,B13014_019MA,B13014_020MA,B13014_020EA,B13014_021MA,B13014_021EA,B13014_022MA,B13014_022EA,B13014_023EA,B13014_023MA,B13014_024EA,B13014_024MA,B13014_025EA,B13014_025MA,B13014_026EA,B13014_026MA,B13014_027MA,B13014_027EA,state
0400000US01,1163325,5128,58053,4167,34616,3192,4088,1216,7759,1682,10688,1483,7337,1356,4744,1084,23437,2731,5210,1524,7901,1539,8889,1534,1437,754,0,192,1105272,6551,479048,9389,52239,4569,115165,5024,167604,7257,93002,4676,51038,3437,626224,10386,170266,6231,145685,6623,221217,8912,65439,4982,23617,2669,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175297,1983,10411,1560,6499,1403,229,190,1545,657,2527,840,1753,719,445,246,3912,777,965,467,1429,431,906,434,532,382,80,130,164886,2572,77427,2840,4161,893,17820,1996,29970,2253,17798,1673,7678,1351,87459,2813,22819,2015,20758,2298,28042,2183,12671,1744,3169,899,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1541860,3629,83011,4435,50203,3086,5316,1352,9736,1431,18431,2242,11022,1731,5698,1097,32808,3813,9202,1718,10416,2059,11366,1884,1458,710,366,222,1458849,5855,607915,9493,82438,4784,127879,5977,206943,6501,128129,5438,62526,3717,850934,9450,229982,5512,185833,9258,293426,9013,102262,5002,39431,3493,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686653,4426,39228,3324,23821,2380,3101,1009,6585,1378,7070,1446,4497,1173,2568,772,15407,2159,3058,1027,4500,1019,7047,1494,760,377,42,74,647425,5695,303309,7929,32898,3070,87285,4634,102124,5028,54478,3793,26524,2381,344116,6643,90377,4285,87849,5436,121736,5418,32453,3320,11701,1856,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9559090,9658,477649,10106,312881,7590,43073,3036,53136,3413,88619,4824,78095,4201,49958,3249,164768,6689,41263,3125,51932,3866,57728,4043,10124,2077,3721,878,9081441,14628,3859193,24451,672934,13230,743711,14313,1133235,15580,836222,13320,473091,9781,5222248,23839,1299573,14065,977759,17138,1835296,21436,815349,13908,294271,9698,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1274702,4137,64982,3691,45784,2972,4756,969,6405,1381,13492,1670,13273,1569,7858,1159,19198,2525,4299,1235,5956,1478,6706,1471,1617,570,620,357,1209720,5748,568299,8980,51917,3917,103381,4616,178113,6026,151726,5158,83162,3549,641421,9347,146292,4681,105145,4634,222944,7161,121112,5979,45928,3315,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,856016,2710,35904,3443,24400,2547,531,328,3665,975,4846,1169,7457,1276,7901,1335,11504,2130,2806,865,3523,1129,4016,1300,834,506,325,288,820112,4416,341183,7424,21030,2566,62517,4762,86539,4877,93386,4465,77711,3922,478929,8522,101960,4054,98100,4701,166535,5788,80000,4833,32334,2795,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219750,1801,12589,1822,7966,1406,905,575,762,385,2362,985,2459,814,1478,620,4623,967,992,478,2375,839,850,438,361,312,45,74,207161,2508,80447,3568,6875,1425,18617,2036,21996,2053,18110,2219,14849,1704,126714,3630,26979,2231,34768,2628,38665,3292,19273,2186,7029,1281,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,196799,1107,9700,1579,4990,1293,442,487,390,312,387,311,990,494,2781,823,4710,1181,960,427,1474,657,1222,564,836,480,218,200,187099,1935,41518,3093,2895,1032,6110,1127,6036,1157,9180,1574,17297,1791,145581,3299,15377,1695,21510,2621,35162,2847,37449,3216,36083,2491,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4464346,8583,212782,8764,124208,6931,10350,2237,24951,3236,38962,3451,31920,2911,18025,1905,88574,5396,23566,3330,25528,2853,32386,3519,6232,1415,862,414,4251564,12743,1734765,20269,160939,7148,423055,12616,578850,13584,387373,10346,184548,7280,2516799,19015,571008,11471,595125,14000,883529,16092,343599,11756,123538,5925,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2527147,7588,126637,6248,75248,5520,6996,1495,15209,2451,22844,2717,18315,1946,11884,1855,51389,3977,14354,2331,16724,2557,16212,2407,3637,1104,462,346,2400510,9716,1017865,11493,102357,5651,228118,7452,332471,8950,222715,8328,132204,6390,1382645,14359,347993,8090,298589,11005,471714,12538,185829,9569,78520,5065,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,318851,1719,18332,2019,12388,1787,307,190,2791,954,5024,1052,2513,774,1753,571,5944,1273,826,341,1571,517,2234,793,1063,705,250,309,300519,2760,140214,4944,5913,1225,32056,2972,50854,3094,32384,2705,19007,2220,160305,5261,29768,1495,37529,3204,55218,3804,29131,2839,8659,1209,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,366115,2423,21018,2449,16369,1990,687,378,4501,1127,6219,1448,4027,1170,935,405,4649,1330,1323,587,1173,661,2000,971,143,175,10,18,345097,3265,171932,5192,14939,2377,40181,3311,67324,3953,37789,3411,11699,1830,173165,4697,45108,2243,41233,3529,61113,3625,19922,2452,5789,1180,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
