GEO_ID,B21001I_001E,B21001I_001M,B21001I_002E,B21001I_002M,B21001I_003E,B21001I_003M,B21001I_004E,B21001I_004M,B21001I_005E,B21001I_005M,B21001I_006E,B21001I_006M,B21001I_007E,B21001I_007M,B21001I_008E,B21001I_008M,B21001I_009E,B21001I_009M,B21001I_010E,B21001I_010M,B21001I_011E,B21001I_011M,B21001I_012E,B21001I_012M,B21001I_013E,B21001I_013M,B21001I_014E,B21001I_014M,B21001I_015E,B21001I_015M,B21001I_016E,B21001I_016M,B21001I_017E,B21001I_017M,B21001I_018E,B21001I_018M,B21001I_019E,B21001I_019M,B21001I_020E,B21001I_020M,B21001I_021E,B21001I_021M,B21001I_022E,B21001I_022M,B21001I_023E,B21001I_023M,B21001I_024E,B21001I_024M,B21001I_025E,B21001I_025M,B21001I_026E,B21001I_026M,B21001I_027E,B21001I_027M,B21001I_028E,B21001I_028M,B21001I_029E,B21001I_029M,B21001I_030E,B21001I_030M,B21001I_031E,B21001I_031M,B21001I_032E,B21001I_032M,B21001I_033E,B21001I_033M,NAME,B21001I_001MA,B21001I_001EA,B21001I_002MA,B21001I_002EA,B21001I_003EA,B21001I_003MA,B21001I_004EA,B21001I_004MA,B21001I_005MA,B21001I_005EA,B21001I_006EA,B21001I_006MA,B21001I_007MA,B21001I_007EA,B21001I_008EA,B21001I_008MA,B21001I_009EA,B21001I_009MA,B21001I_010MA,B21001I_010EA,B21001I_011MA,B21001I_011EA,B21001I_012MA,B21001I_012EA,B21001I_013EA,B21001I_013MA,B21001I_014EA,B21001I_014MA,B21001I_015MA,B21001I_015EA,B21001I_016EA,B21001I_016MA,B21001I_017EA,B21001I_017MA,B21001I_018MA,B21001I_018EA,B21001I_019EA,B21001I_019MA,B21001I_020MA,B21001I_020EA,B21001I_021MA,B21001I_021EA,B21001I_022MA,B21001I_022EA,B21001I_023EA,B21001I_023MA,B21001I_024MA,B21001I_024EA,B21001I_025MA,B21001I_025EA,B21001I_026MA,B21001I_026EA,B21001I_027MA,B21001I_027EA,B21001I_028MA,B21001I_028EA,B21001I_029MA,B21001I_029EA,B21001I_030EA,B21001I_030MA,B21001I_031MA,B21001I_031EA,B21001I_032MA,B21001I_032EA,B21001I_033EA,B21001I_033MA,state
0400000US01,118481,2421,66880,2795,37893,3052,914,553,36979,2901,22126,2125,1242,804,20884,1958,4235,930,1061,506,3174,860,1690,690,321,202,1369,651,936,430,761,414,175,136,51601,1561,26384,2213,251,260,26133,2185,18924,1768,210,170,18714,1766,2682,822,52,92,2630,821,2329,816,0,192,2329,816,1282,618,0,192,1282,618,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29173,850,14769,925,7358,980,756,411,6602,940,4935,670,957,441,3978,754,1463,403,421,250,1042,338,560,243,143,132,417,239,453,324,170,209,283,261,14404,506,6762,546,176,189,6586,590,4900,656,122,122,4778,678,1649,479,22,37,1627,477,728,520,0,147,728,520,365,234,145,247,220,187,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1302507,1003,650584,1060,291665,1387,7218,1500,284447,1848,241769,932,14000,1913,227769,2074,64880,592,10333,1511,54547,1673,32820,838,11091,1433,21729,1376,19450,829,8486,1080,10964,1235,651923,365,272806,1277,2436,1152,270370,1575,242810,1281,2213,786,240597,1415,71714,727,829,503,70885,851,39003,636,189,195,38814,662,25590,640,129,159,25461,630,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,119328,1953,63592,2388,31832,2456,1058,1116,30774,2005,24348,2020,813,467,23535,2055,4514,859,726,464,3788,915,2228,811,738,454,1490,656,670,424,443,352,227,164,55736,1704,27907,2252,191,294,27716,2258,21209,1877,284,280,20925,1870,3791,992,0,192,3791,992,1521,763,77,157,1444,752,1308,724,0,192,1308,724,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9933224,2409,4988308,2757,2177404,2652,42011,3658,2135393,4569,1921151,1699,63501,2920,1857650,3416,509447,827,46946,2976,462501,3128,235950,934,43179,2938,192771,2967,144356,842,39266,2854,105090,2748,4944916,1314,2014051,1269,8336,1845,2005715,2190,1873934,963,7843,1500,1866091,1838,550804,885,2575,671,548229,1138,289241,1110,1069,499,288172,1206,216886,712,887,388,215999,849,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,716694,3362,365295,2747,159944,2661,6234,1433,153710,2564,140136,1638,10557,1736,129579,2078,37350,884,6751,1158,30599,1404,17900,806,6002,801,11898,1015,9965,624,4625,806,5340,793,351399,1946,144561,1734,1729,783,142832,1813,132439,1723,1437,614,131002,1769,39104,1675,192,144,38912,1684,19980,682,134,137,19846,692,15315,878,0,195,15315,878,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,354860,927,176090,913,79519,1068,1194,629,78325,1254,68302,881,2921,877,65381,1150,16663,361,1348,546,15315,611,7513,368,698,314,6815,528,4093,386,846,330,3247,488,178770,1021,74330,886,74,120,74256,902,69831,965,240,241,69591,951,18871,610,213,232,18658,604,9499,342,143,138,9356,362,6239,441,74,127,6165,462,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,51519,305,26848,632,12974,207,460,426,12514,469,10051,220,661,322,9390,356,2484,443,479,298,2005,512,826,256,264,209,562,250,513,264,367,244,146,134,24671,482,11262,518,349,416,10913,570,9846,520,361,356,9485,715,2225,449,40,70,2185,458,1019,325,0,189,1019,325,319,241,0,189,319,241,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,49251,400,25209,351,12219,284,99,162,12120,319,9536,225,861,665,8675,682,2111,2,197,176,1914,176,823,475,0,203,823,475,520,475,0,203,520,475,24042,79,11479,79,478,572,11001,595,8179,3,153,179,8026,179,2341,2,0,203,2341,2,1238,-555555555,0,203,1238,2,805,-555555555,0,203,805,2,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,*****,null,null,null,null,null,11
0400000US12,3444360,1367,1682721,1760,607820,2845,12594,2190,595226,3704,669632,2577,34010,3071,635622,3844,194826,1647,19779,2367,175047,2853,122361,1744,14950,1934,107411,2118,88082,1610,13136,1722,74946,2047,1761639,1682,559795,2650,2638,981,557157,2786,680125,2857,5098,1259,675027,2819,229436,1419,1476,547,227960,1501,154285,1574,832,513,153453,1597,137998,1390,181,142,137817,1380,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
