GEO_ID,C16009_001E,C16009_001M,C16009_002E,C16009_002M,C16009_003E,C16009_003M,C16009_004E,C16009_004M,C16009_005E,C16009_005M,C16009_006E,C16009_006M,C16009_007E,C16009_007M,C16009_008E,C16009_008M,C16009_009E,C16009_009M,C16009_010E,C16009_010M,C16009_011E,C16009_011M,C16009_012E,C16009_012M,C16009_013E,C16009_013M,NAME,C16009_001EA,C16009_001MA,C16009_002EA,C16009_002MA,C16009_003MA,C16009_003EA,C16009_004MA,C16009_004EA,C16009_005EA,C16009_005MA,C16009_006MA,C16009_006EA,C16009_007MA,C16009_007EA,C16009_008EA,C16009_008MA,C16009_009MA,C16009_009EA,C16009_010EA,C16009_010MA,C16009_011EA,C16009_011MA,C16009_012MA,C16009_012EA,C16009_013EA,C16009_013MA,state
0400000US01,4428010,3418,791877,18928,738721,16237,40989,6437,4248,1299,5286,1925,2633,1150,3636133,19326,3463424,17995,99666,8853,31091,4039,29969,3450,11983,4644,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,664210,1481,59501,4390,44534,3898,2867,1185,1797,1000,1264,711,9039,1178,604709,4978,517453,6300,16538,2679,13127,2325,32464,3431,25127,2262,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6054886,2728,1084669,29517,612245,20224,379601,17597,15077,2983,18510,3267,59236,5394,4970217,29356,3825697,30847,853162,21090,100055,6591,97714,5767,93589,8074,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2687495,3348,504761,14604,451802,12850,43730,5268,3299,1401,4001,1227,1929,1161,2182734,15281,2048936,15251,93849,7753,16877,3408,18673,2734,4399,2222,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35135486,7392,5720093,57940,2568405,37388,2406177,41335,212524,12008,454318,15916,78669,10308,29415393,57636,17105940,51897,7752218,50183,1348588,23149,2939706,25711,268941,17221,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4821701,3176,606705,18908,436671,14607,134998,11652,11899,3111,11023,2288,12114,2821,4214996,20092,3577292,16950,430577,16220,99073,6550,84909,4498,23145,4547,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3297533,2060,341668,13505,218033,12290,90306,6794,21220,3554,9037,2376,3072,1629,2955865,13286,2369436,15596,286814,9619,212982,10934,67467,4545,19166,4274,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,844803,1074,99560,8255,77933,6488,17321,4649,2910,1016,1130,579,266,244,745243,8349,663359,7916,36639,3885,23004,3369,16903,2298,5338,1701,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,571204,598,106377,6814,92206,6435,6781,2127,2799,938,2873,1123,1718,778,464827,6846,376899,6487,44460,3357,21515,3479,10086,1607,11867,2494,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18075396,6773,2968201,54821,1930094,41319,802504,30427,171244,10722,41632,4596,22727,5180,15107195,54166,11147973,51834,2913049,36117,740051,27439,233364,10119,72758,7746,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9072766,5742,1646009,32521,1349138,27385,214045,15399,34130,6076,29654,4752,19042,4854,7426757,33285,6491586,35852,508190,15224,198140,11645,170766,9813,58075,8163,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1278178,1183,136988,9708,99144,8113,2344,854,1614,666,33886,5127,0,185,1141190,9645,857209,12181,21363,2814,14722,2888,245840,11772,2056,954,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1472229,1930,225790,14479,185703,14014,29653,5053,4503,2511,3170,1092,2761,1897,1246439,14172,1126421,15919,88959,5909,17635,3023,9236,1718,4188,1216,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11793876,4468,1670252,30157,1213356,22125,309652,17207,64062,5800,46640,4300,36542,7082,10123624,29569,7889701,31553,1253072,19915,594976,19362,295699,11006,90176,8871,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5953808,4095,906905,20589,786878,18329,83655,7539,15563,2775,15796,2666,5013,2000,5046903,21603,4679787,20526,192566,9375,117058,8893,43605,4060,13887,2980,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
