GEO_ID,B11009_001E,B11009_001M,B11009_002E,B11009_002M,B11009_003E,B11009_003M,B11009_004E,B11009_004M,B11009_005E,B11009_005M,B11009_006E,B11009_006M,B11009_007E,B11009_007M,NAME,B11009_001MA,B11009_001EA,B11009_002EA,B11009_002MA,B11009_003EA,B11009_003MA,B11009_004MA,B11009_004EA,B11009_005MA,B11009_005EA,B11009_006EA,B11009_006MA,B11009_007MA,B11009_007EA,state
0400000US01,1822439,11200,64934,4583,2028,720,29008,2979,2222,885,31676,2976,1757505,12085,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,246015,2720,19997,1964,387,257,10475,1503,423,208,8712,1241,226018,3036,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2400809,11557,178080,6447,5767,938,82999,5264,7723,1349,81591,4456,2222729,11394,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1125899,6925,57250,4034,1234,460,26135,2582,2668,993,27213,2546,1068649,7735,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12650592,16944,881979,15543,37738,3306,408098,10949,29919,2460,406224,9444,11768613,21092,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2002800,8550,119712,5150,5861,1120,53532,3838,5734,1062,54585,4009,1883088,9224,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1339860,7005,77347,3987,1565,493,35755,2954,2562,671,37465,2654,1262513,7038,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,339071,3144,21854,2533,731,362,10561,1875,1100,769,9462,1499,317217,3634,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,271651,3228,20433,2162,3435,808,7722,1513,695,292,8581,1530,251218,3416,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7211584,26752,452203,10743,19696,2309,206037,6514,14875,1847,211595,8579,6759381,26473,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3546965,15286,178890,7019,7563,1144,83975,5019,7241,1397,80111,5618,3368075,16430,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,450120,4406,26328,2443,1258,451,13654,1834,1201,483,10215,1602,423792,4732,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,588489,5467,32077,3408,501,333,16420,2466,445,252,14711,2403,556412,6062,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4783421,13914,274971,7798,8701,1280,133861,6309,6675,870,125734,5430,4508450,14203,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2498395,10688,150042,6402,3353,775,74585,5018,5765,1187,66339,4362,2348353,11290,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1236209,7287,81997,4146,1237,437,41672,2852,1114,473,37974,3013,1154212,7910,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1113729,6143,60959,4106,1220,459,30011,2939,1503,584,28225,2657,1052770,6637,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1705623,9376,100365,5227,2742,694,44963,3350,3852,989,48808,4051,1605258,9729,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1728149,9677,97250,4744,2617,727,49846,3675,2412,625,42375,3235,1630899,10767,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,547686,5711,47335,3400,1216,422,22531,2782,1924,726,21664,2171,500351,5584,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2161680,8942,123201,5639,3724,999,57462,4486,4419,936,57596,4028,2038479,9221,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
